receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,16,15,L,401547399,2023 Regular Season,Josh Whyle,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,24,W,401547414,2023 Regular Season,Josh Whyle,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,27,3,L,401547428,2023 Regular Season,Josh Whyle,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,26,13.0,1,24,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,27,3,W,401547452,2023 Regular Season,Josh Whyle,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,23,16,L,401547458,2023 Regular Season,Josh Whyle,2023,Regular Season,5,26.0,2.0,1.0,2.0,6.5,0.5,0.25,0.5,8.666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,13.0,0.0,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T13:30:00.000+00:00,16,24,L,401547229,2023 Regular Season,Josh Whyle,2023,Regular Season,6,33.0,3.0,1.0,3.0,6.6,0.6,0.2,0.6,11.0,1.0,0.3333333333333333,1.0,7.0,0.5,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-03T00:15:00.000+00:00,20,16,L,401547512,2023 Regular Season,Josh Whyle,2023,Regular Season,7,44.0,4.0,1.0,4.0,7.333333333333333,0.6666666666666666,0.16666666666666666,0.6666666666666666,14.666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,11.0,0.3333333333333333,0,0
2,5,16,8.0,0,10,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,20,6,L,401547528,2023 Regular Season,Josh Whyle,2023,Regular Season,8,44.0,4.0,1.0,5.0,6.285714285714286,0.5714285714285714,0.14285714285714285,0.7142857142857143,6.0,0.6666666666666666,0.0,1.0,0.0,0.25,0,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,34,14,L,401547541,2023 Regular Season,Josh Whyle,2023,Regular Season,9,60.0,6.0,1.0,10.0,7.5,0.75,0.125,1.25,9.0,1.0,0.0,2.3333333333333335,8.0,0.2,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,17,10,W,401547561,2023 Regular Season,Josh Whyle,2023,Regular Season,10,67.0,7.0,1.0,12.0,7.444444444444445,0.7777777777777778,0.1111111111111111,1.3333333333333333,7.666666666666667,1.0,0.0,2.6666666666666665,7.0,0.1,0,0
1,2,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,31,L,401547570,2023 Regular Season,Josh Whyle,2023,Regular Season,11,78.0,8.0,1.0,13.0,7.8,0.8,0.1,1.3,11.333333333333334,1.3333333333333333,0.0,2.6666666666666665,11.0,0.08333333333333333,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,24,17,L,401671719,2024 Regular Season,Josh Whyle,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,13,6.5,0,12,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,17,24,L,401671636,2024 Regular Season,Josh Whyle,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,5,43,10.8,0,23,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,14,30,L,401671823,2024 Regular Season,Josh Whyle,2024,Regular Season,3,13.0,2.0,0.0,2.0,6.5,1.0,0.0,1.0,6.5,1.0,0.0,1.0,6.5,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,4,2024-09-30T23:30:00.000+00:00,12,31,W,401671683,2024 Regular Season,Josh Whyle,2024,Regular Season,4,56.0,6.0,0.0,7.0,18.666666666666668,2.0,0.0,2.3333333333333335,18.666666666666668,2.0,0.0,2.3333333333333335,10.75,0.0,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,17,20,L,401671820,2024 Regular Season,Josh Whyle,2024,Regular Season,5,61.0,7.0,0.0,8.0,15.25,1.75,0.0,2.0,20.333333333333332,2.3333333333333335,0.0,2.6666666666666665,5.0,0.0,0,0
3,4,34,11.3,0,12,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,34,10,L,401671616,2024 Regular Season,Josh Whyle,2024,Regular Season,6,63.0,8.0,0.0,9.0,12.6,1.6,0.0,1.8,16.666666666666668,2.0,0.0,2.3333333333333335,2.0,0.0,0,0
2,2,33,16.5,0,33,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,52,14,L,401671720,2024 Regular Season,Josh Whyle,2024,Regular Season,7,97.0,11.0,0.0,13.0,16.166666666666668,1.8333333333333333,0.0,2.1666666666666665,13.666666666666666,1.6666666666666667,0.0,2.0,11.333333333333334,0.0,0,0
1,2,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,20,17,W,401671822,2024 Regular Season,Josh Whyle,2024,Regular Season,8,130.0,13.0,0.0,15.0,18.571428571428573,1.8571428571428572,0.0,2.142857142857143,23.0,2.0,0.0,2.3333333333333335,16.5,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:05:00.000+00:00,27,17,L,401671751,2024 Regular Season,Josh Whyle,2024,Regular Season,9,142.0,14.0,0.0,17.0,17.75,1.75,0.0,2.125,26.333333333333332,2.0,0.0,2.6666666666666665,12.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,13,23,L,401671824,2024 Regular Season,Josh Whyle,2024,Regular Season,10,142.0,14.0,0.0,18.0,15.777777777777779,1.5555555555555556,0.0,2.0,15.0,1.0,0.0,1.6666666666666667,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2024-11-24T18:00:00.000+00:00,27,32,W,401671858,2024 Regular Season,Josh Whyle,2024,Regular Season,11,148.0,15.0,0.0,19.0,14.8,1.5,0.0,1.9,6.0,0.6666666666666666,0.0,1.3333333333333333,6.0,0.0,0,0
1,3,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,13,2024-12-01T18:00:00.000+00:00,42,19,L,401671743,2024 Regular Season,Josh Whyle,2024,Regular Season,12,148.0,15.0,0.0,19.0,13.454545454545455,1.3636363636363635,0.0,1.7272727272727273,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
