receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,5,1.7,0,5,1,4,4.0,4,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,24,19,W,401437643,2022 Regular Season,Joshua Palmer,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,8,30,7.5,1,10,0,0,0.0,0,0,0,0,0,0,2,2022-09-16T00:15:00.000+00:00,27,24,L,401434030,2022 Regular Season,Joshua Palmer,2022,Regular Season,2,5.0,3.0,0.0,4.0,5.0,3.0,0.0,4.0,5.0,3.0,0.0,4.0,1.6666666666666667,0.0,0,1
6,9,99,16.5,0,45,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:05:00.000+00:00,10,38,L,401437743,2022 Regular Season,Joshua Palmer,2022,Regular Season,3,35.0,7.0,1.0,12.0,17.5,3.5,0.5,6.0,17.5,3.5,0.5,6.0,7.5,0.0,0,0
1,1,25,25.0,0,25,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,24,34,W,401437753,2022 Regular Season,Joshua Palmer,2022,Regular Season,4,134.0,13.0,1.0,21.0,44.666666666666664,4.333333333333333,0.3333333333333333,7.0,44.666666666666664,4.333333333333333,0.3333333333333333,7.0,16.5,0.08333333333333333,0,0
3,6,24,8.0,0,9,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,28,30,W,401437764,2022 Regular Season,Joshua Palmer,2022,Regular Season,5,159.0,14.0,1.0,22.0,39.75,3.5,0.25,5.5,51.333333333333336,3.6666666666666665,0.3333333333333333,6.0,25.0,0.047619047619047616,0,0
9,12,57,6.3,0,14,0,0,0.0,0,0,0,0,1,0,6,2022-10-18T00:15:00.000+00:00,19,16,W,401437790,2022 Regular Season,Joshua Palmer,2022,Regular Season,6,183.0,17.0,1.0,28.0,36.6,3.4,0.2,5.6,49.333333333333336,3.3333333333333335,0.0,5.333333333333333,8.0,0.045454545454545456,0,0
8,10,106,13.3,0,25,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,W,401437820,2022 Regular Season,Joshua Palmer,2022,Regular Season,7,240.0,26.0,1.0,40.0,40.0,4.333333333333333,0.16666666666666666,6.666666666666667,35.333333333333336,4.333333333333333,0.0,6.333333333333333,6.333333333333333,0.03571428571428571,0,0
3,8,44,14.7,0,25,0,0,0.0,0,0,0,0,0,0,10,2022-11-14T01:20:00.000+00:00,22,16,L,401437842,2022 Regular Season,Joshua Palmer,2022,Regular Season,8,346.0,34.0,1.0,50.0,49.42857142857143,4.857142857142857,0.14285714285714285,7.142857142857143,62.333333333333336,6.666666666666667,0.0,9.333333333333334,13.25,0.025,0,0
8,10,106,13.3,2,50,0,0,0.0,0,0,0,0,0,0,11,2022-11-21T01:20:00.000+00:00,27,30,L,401437854,2022 Regular Season,Joshua Palmer,2022,Regular Season,9,390.0,37.0,1.0,58.0,48.75,4.625,0.125,7.25,69.0,6.666666666666667,0.0,10.0,14.666666666666666,0.02,0,1
5,7,56,11.2,0,18,0,0,0.0,0,0,1,0,0,0,12,2022-11-27T21:05:00.000+00:00,24,25,W,401437867,2022 Regular Season,Joshua Palmer,2022,Regular Season,10,496.0,45.0,3.0,68.0,55.111111111111114,5.0,0.3333333333333333,7.555555555555555,85.33333333333333,6.333333333333333,0.6666666666666666,9.333333333333334,13.25,0.017241379310344827,0,0
7,11,60,8.6,0,15,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:25:00.000+00:00,27,20,L,401437885,2022 Regular Season,Joshua Palmer,2022,Regular Season,11,552.0,50.0,3.0,75.0,55.2,5.0,0.3,7.5,68.66666666666667,5.333333333333333,0.6666666666666666,8.333333333333334,11.2,0.04411764705882353,0,0
4,6,53,13.3,0,18,0,0,0.0,0,0,0,0,0,0,14,2022-12-12T01:20:00.000+00:00,23,17,W,401437896,2022 Regular Season,Joshua Palmer,2022,Regular Season,12,612.0,57.0,3.0,86.0,55.63636363636363,5.181818181818182,0.2727272727272727,7.818181818181818,74.0,6.666666666666667,0.6666666666666666,9.333333333333334,8.571428571428571,0.04,0,0
5,5,49,9.8,0,14,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,17,14,W,401437913,2022 Regular Season,Joshua Palmer,2022,Regular Season,13,665.0,61.0,3.0,92.0,55.416666666666664,5.083333333333333,0.25,7.666666666666667,56.333333333333336,5.333333333333333,0.0,8.0,13.25,0.03488372093023256,0,0
