receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,2,28,14.0,0,15,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,23,7,L,401437649,2022 Regular Season,Josiah Deguara,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T00:20:00.000+00:00,27,10,W,401437606,2022 Regular Season,Josiah Deguara,2022,Regular Season,2,28.0,2.0,0.0,2.0,28.0,2.0,0.0,2.0,28.0,2.0,0.0,2.0,14.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,14,W,401437607,2022 Regular Season,Josiah Deguara,2022,Regular Season,3,28.0,2.0,0.0,2.0,14.0,1.0,0.0,1.0,14.0,1.0,0.0,1.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,27,24,W,401437759,2022 Regular Season,Josiah Deguara,2022,Regular Season,4,28.0,2.0,0.0,2.0,9.333333333333334,0.6666666666666666,0.0,0.6666666666666666,9.333333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
2,2,19,9.5,0,12,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T13:30:00.000+00:00,22,27,L,401435640,2022 Regular Season,Josiah Deguara,2022,Regular Season,5,28.0,2.0,0.0,3.0,7.0,0.5,0.0,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,10,27,L,401437780,2022 Regular Season,Josiah Deguara,2022,Regular Season,6,47.0,4.0,0.0,5.0,9.4,0.8,0.0,1.0,6.333333333333333,0.6666666666666666,0.0,1.0,9.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,21,L,401437798,2022 Regular Season,Josiah Deguara,2022,Regular Season,7,56.0,5.0,0.0,6.0,9.333333333333334,0.8333333333333334,0.0,1.0,9.333333333333334,1.0,0.0,1.3333333333333333,9.0,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,8,2022-10-31T00:20:00.000+00:00,27,17,L,401437817,2022 Regular Season,Josiah Deguara,2022,Regular Season,8,56.0,5.0,0.0,6.0,8.0,0.7142857142857143,0.0,0.8571428571428571,9.333333333333334,1.0,0.0,1.0,0.0,0.0,0,0
5,5,41,8.2,0,25,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,15,9,L,401437823,2022 Regular Season,Josiah Deguara,2022,Regular Season,9,65.0,6.0,0.0,7.0,8.125,0.75,0.0,0.875,6.0,0.6666666666666666,0.0,0.6666666666666666,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,31,28,W,401437131,2022 Regular Season,Josiah Deguara,2022,Regular Season,10,106.0,11.0,0.0,12.0,11.777777777777779,1.2222222222222223,0.0,1.3333333333333333,16.666666666666668,2.0,0.0,2.0,8.2,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-18T01:15:00.000+00:00,17,27,L,401437844,2022 Regular Season,Josiah Deguara,2022,Regular Season,11,106.0,11.0,0.0,12.0,10.6,1.1,0.0,1.2,16.666666666666668,2.0,0.0,2.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-28T01:20:00.000+00:00,40,33,L,401437871,2022 Regular Season,Josiah Deguara,2022,Regular Season,12,106.0,11.0,0.0,12.0,9.636363636363637,1.0,0.0,1.0909090909090908,13.666666666666666,1.6666666666666667,0.0,1.6666666666666667,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,19,28,W,401437876,2022 Regular Season,Josiah Deguara,2022,Regular Season,13,106.0,11.0,0.0,12.0,8.833333333333334,0.9166666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,15,2022-12-20T01:15:00.000+00:00,24,12,W,401437916,2022 Regular Season,Josiah Deguara,2022,Regular Season,14,106.0,11.0,0.0,13.0,8.153846153846153,0.8461538461538461,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
