receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
6,8,79,13.2,0,20,0,0,0.0,0,0,2,1,0,0,1,2022-09-11T20:25:00.000+00:00,21,44,W,401437653,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,3,10,3.3,0,4,0,0,0.0,0,0,0,0,0,0,2,2022-09-16T00:15:00.000+00:00,27,24,W,401434030,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,2,79.0,6.0,0.0,8.0,79.0,6.0,0.0,8.0,79.0,6.0,0.0,8.0,13.166666666666666,0.0,0,0
5,8,89,17.8,0,53,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,L,401437638,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,3,89.0,9.0,0.0,11.0,44.5,4.5,0.0,5.5,44.5,4.5,0.0,5.5,3.3333333333333335,0.0,0,0
5,8,46,9.2,0,19,0,0,0.0,0,0,0,0,0,0,4,2022-10-03T00:20:00.000+00:00,31,41,W,401437470,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,4,178.0,14.0,0.0,19.0,59.333333333333336,4.666666666666667,0.0,6.333333333333333,59.333333333333336,4.666666666666667,0.0,6.333333333333333,17.8,0.0,0,0
3,8,33,11.0,0,13,0,0,0.0,0,0,0,0,0,0,5,2022-10-11T00:15:00.000+00:00,30,29,W,401437776,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,5,224.0,19.0,0.0,27.0,56.0,4.75,0.0,6.75,48.333333333333336,4.333333333333333,0.0,6.333333333333333,9.2,0.0,0,0
5,5,113,22.6,1,42,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:25:00.000+00:00,20,24,L,401437788,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,6,257.0,22.0,0.0,35.0,51.4,4.4,0.0,7.0,56.0,4.333333333333333,0.0,8.0,11.0,0.0,0,1
7,8,124,17.7,1,45,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,44,W,401437802,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,7,370.0,27.0,1.0,40.0,61.666666666666664,4.5,0.16666666666666666,6.666666666666667,64.0,4.333333333333333,0.3333333333333333,7.0,22.6,0.0,0,1
10,12,88,8.8,0,17,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,W,401437830,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,8,494.0,34.0,2.0,48.0,70.57142857142857,4.857142857142857,0.2857142857142857,6.857142857142857,90.0,5.0,0.6666666666666666,7.0,17.714285714285715,0.025,0,0
2,4,33,16.5,0,25,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,27,17,W,401437835,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,9,582.0,44.0,2.0,60.0,72.75,5.5,0.25,7.5,108.33333333333333,7.333333333333333,0.6666666666666666,8.333333333333334,8.8,0.041666666666666664,0,0
3,3,38,12.7,0,15,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,26,10,W,401437869,2022 Regular Season,JuJu Smith-Schuster,2022,Regular Season,10,615.0,46.0,2.0,64.0,68.33333333333333,5.111111111111111,0.2222222222222222,7.111111111111111,81.66666666666667,6.333333333333333,0.3333333333333333,8.0,16.5,0.03333333333333333,0,0
