receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,70,20,W,401547429,2023 Regular Season,Julian Hill,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,48,20,L,401547443,2023 Regular Season,Julian Hill,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,31,16,W,401547465,2023 Regular Season,Julian Hill,2023,Regular Season,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,42,21,W,401547473,2023 Regular Season,Julian Hill,2023,Regular Season,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-23T00:20:00.000+00:00,31,17,L,401547494,2023 Regular Season,Julian Hill,2023,Regular Season,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,31,17,W,401547497,2023 Regular Season,Julian Hill,2023,Regular Season,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T14:30:00.000+00:00,21,14,L,401547230,2023 Regular Season,Julian Hill,2023,Regular Season,7,4.0,1.0,0.0,3.0,0.6666666666666666,0.16666666666666666,0.0,0.5,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,4.0,0.0,0,0
1,1,10,10.0,0,10,0,0,0.0,0,0,1,1,0,0,11,2023-11-19T18:00:00.000+00:00,20,13,W,401547542,2023 Regular Season,Julian Hill,2023,Regular Season,8,4.0,1.0,0.0,3.0,0.5714285714285714,0.14285714285714285,0.0,0.42857142857142855,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-24T20:00:00.000+00:00,13,34,W,401547242,2023 Regular Season,Julian Hill,2023,Regular Season,9,14.0,2.0,0.0,4.0,1.75,0.25,0.0,0.5,4.666666666666667,0.6666666666666666,0.0,1.0,10.0,0.0,0,0
2,2,23,11.5,0,18,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,15,45,W,401547574,2023 Regular Season,Julian Hill,2023,Regular Season,10,14.0,2.0,0.0,4.0,1.5555555555555556,0.2222222222222222,0.0,0.4444444444444444,3.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,14,2023-12-12T01:15:00.000+00:00,27,28,L,401547592,2023 Regular Season,Julian Hill,2023,Regular Season,11,37.0,4.0,0.0,6.0,3.7,0.4,0.0,0.6,11.0,1.0,0.0,1.0,11.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,30,0,W,401547594,2023 Regular Season,Julian Hill,2023,Regular Season,12,37.0,4.0,0.0,6.0,3.3636363636363638,0.36363636363636365,0.0,0.5454545454545454,7.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T21:25:00.000+00:00,22,20,W,401547620,2023 Regular Season,Julian Hill,2023,Regular Season,13,37.0,4.0,0.0,6.0,3.0833333333333335,0.3333333333333333,0.0,0.5,7.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,56,19,L,401547625,2023 Regular Season,Julian Hill,2023,Regular Season,14,37.0,4.0,0.0,6.0,2.8461538461538463,0.3076923076923077,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,18,2024-01-08T01:20:00.000+00:00,14,21,L,401547647,2023 Regular Season,Julian Hill,2023,Regular Season,15,46.0,5.0,0.0,7.0,3.2857142857142856,0.35714285714285715,0.0,0.5,3.0,0.3333333333333333,0.0,0.3333333333333333,9.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,20,17,W,401671849,2024 Regular Season,Julian Hill,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-13T00:15:00.000+00:00,10,31,L,401671807,2024 Regular Season,Julian Hill,2024,Regular Season,2,6.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,6.0,0.0,0,0
