receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
9,11,184,20.4,2,64,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,23,7,W,401437649,2022 Regular Season,Justin Jefferson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,12,48,8.0,0,11,0,0,0.0,0,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,L,401436832,2022 Regular Season,Justin Jefferson,2022,Regular Season,2,184.0,9.0,2.0,11.0,184.0,9.0,2.0,11.0,184.0,9.0,2.0,11.0,20.444444444444443,0.0,0,0
3,6,14,4.7,0,6,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,28,24,W,401437739,2022 Regular Season,Justin Jefferson,2022,Regular Season,3,232.0,15.0,2.0,23.0,116.0,7.5,1.0,11.5,116.0,7.5,1.0,11.5,8.0,0.18181818181818182,0,0
10,13,147,14.7,0,41,1,3,3.0,3,1,0,0,0,0,4,2022-10-02T13:30:00.000+00:00,25,28,W,401435639,2022 Regular Season,Justin Jefferson,2022,Regular Season,4,246.0,18.0,2.0,29.0,82.0,6.0,0.6666666666666666,9.666666666666666,82.0,6.0,0.6666666666666666,9.666666666666666,4.666666666666667,0.08695652173913043,0,0
12,13,154,12.8,0,31,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,22,W,401437766,2022 Regular Season,Justin Jefferson,2022,Regular Season,5,393.0,28.0,2.0,42.0,98.25,7.0,0.5,10.5,69.66666666666667,6.333333333333333,0.0,10.333333333333334,14.7,0.06896551724137931,0,0
6,8,107,17.8,0,47,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,W,401437782,2022 Regular Season,Justin Jefferson,2022,Regular Season,6,547.0,40.0,2.0,55.0,109.4,8.0,0.4,11.0,105.0,8.333333333333334,0.0,10.666666666666666,12.833333333333334,0.047619047619047616,0,0
6,8,98,16.3,0,29,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,34,26,W,401437809,2022 Regular Season,Justin Jefferson,2022,Regular Season,7,654.0,46.0,2.0,63.0,109.0,7.666666666666667,0.3333333333333333,10.5,136.0,9.333333333333334,0.0,11.333333333333334,17.833333333333332,0.03636363636363636,0,0
7,13,115,16.4,1,47,1,10,10.0,10,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,W,401437827,2022 Regular Season,Justin Jefferson,2022,Regular Season,8,752.0,52.0,2.0,71.0,107.42857142857143,7.428571428571429,0.2857142857142857,10.142857142857142,119.66666666666667,8.0,0.0,9.666666666666666,16.333333333333332,0.031746031746031744,0,1
10,16,193,19.3,1,46,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,33,W,401437833,2022 Regular Season,Justin Jefferson,2022,Regular Season,9,867.0,59.0,3.0,84.0,108.375,7.375,0.375,10.5,106.66666666666667,6.333333333333333,0.3333333333333333,9.666666666666666,16.428571428571427,0.028169014084507043,0,1
3,5,33,11.0,0,15,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,L,401437855,2022 Regular Season,Justin Jefferson,2022,Regular Season,10,1060.0,69.0,4.0,100.0,117.77777777777777,7.666666666666667,0.4444444444444444,11.11111111111111,135.33333333333334,7.666666666666667,0.6666666666666666,12.333333333333334,19.3,0.03571428571428571,0,0
9,11,139,15.4,1,37,0,0,0.0,0,0,0,0,0,0,12,2022-11-25T01:20:00.000+00:00,33,26,W,401437859,2022 Regular Season,Justin Jefferson,2022,Regular Season,11,1093.0,72.0,4.0,105.0,109.3,7.2,0.4,10.5,113.66666666666667,6.666666666666667,0.6666666666666666,11.333333333333334,11.0,0.04,0,1
7,11,45,6.4,1,10,2,11,5.5,8,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,27,22,W,401437879,2022 Regular Season,Justin Jefferson,2022,Regular Season,12,1232.0,81.0,5.0,116.0,112.0,7.363636363636363,0.45454545454545453,10.545454545454545,121.66666666666667,7.333333333333333,0.6666666666666666,10.666666666666666,15.444444444444445,0.0380952380952381,0,1
