receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,5,43,21.5,0,26,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,W,401437650,2022 Regular Season,Juwan Johnson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,7,40,10.0,0,22,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,10,20,L,401437652,2022 Regular Season,Juwan Johnson,2022,Regular Season,2,43.0,2.0,0.0,5.0,43.0,2.0,0.0,5.0,43.0,2.0,0.0,5.0,21.5,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,22,14,L,401437736,2022 Regular Season,Juwan Johnson,2022,Regular Season,3,83.0,6.0,0.0,12.0,41.5,3.0,0.0,6.0,41.5,3.0,0.0,6.0,10.0,0.0,0,0
3,4,33,11.0,0,16,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T13:30:00.000+00:00,25,28,L,401435639,2022 Regular Season,Juwan Johnson,2022,Regular Season,4,83.0,6.0,0.0,13.0,27.666666666666668,2.0,0.0,4.333333333333333,27.666666666666668,2.0,0.0,4.333333333333333,0.0,0.0,0,0
1,2,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,39,32,W,401437768,2022 Regular Season,Juwan Johnson,2022,Regular Season,5,116.0,9.0,0.0,17.0,29.0,2.25,0.0,4.25,24.333333333333332,2.3333333333333335,0.0,4.0,11.0,0.0,0,0
4,6,41,10.3,0,20,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,26,30,L,401437783,2022 Regular Season,Juwan Johnson,2022,Regular Season,6,129.0,10.0,0.0,19.0,25.8,2.0,0.0,3.8,15.333333333333334,1.3333333333333333,0.0,2.3333333333333335,13.0,0.0,0,0
5,5,32,6.4,2,17,0,0,0.0,0,0,0,0,0,0,7,2022-10-21T00:15:00.000+00:00,42,34,L,401437791,2022 Regular Season,Juwan Johnson,2022,Regular Season,7,170.0,14.0,0.0,25.0,28.333333333333332,2.3333333333333335,0.0,4.166666666666667,29.0,2.6666666666666665,0.0,4.0,10.25,0.0,0,1
2,4,14,7.0,0,8,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,24,0,W,401437810,2022 Regular Season,Juwan Johnson,2022,Regular Season,8,202.0,19.0,2.0,30.0,28.857142857142858,2.7142857142857144,0.2857142857142857,4.285714285714286,28.666666666666668,3.3333333333333335,0.6666666666666666,4.333333333333333,6.4,0.0,0,0
2,2,42,21.0,1,41,0,0,0.0,0,0,0,0,0,0,9,2022-11-08T01:15:00.000+00:00,13,27,L,401437831,2022 Regular Season,Juwan Johnson,2022,Regular Season,9,216.0,21.0,2.0,34.0,27.0,2.625,0.25,4.25,29.0,3.6666666666666665,0.6666666666666666,5.0,7.0,0.06666666666666667,0,1
5,7,44,8.8,1,15,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,20,10,L,401437838,2022 Regular Season,Juwan Johnson,2022,Regular Season,10,258.0,23.0,3.0,36.0,28.666666666666668,2.5555555555555554,0.3333333333333333,4.0,29.333333333333332,3.0,1.0,3.6666666666666665,21.0,0.058823529411764705,0,1
3,4,47,15.7,1,26,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,20,W,401437851,2022 Regular Season,Juwan Johnson,2022,Regular Season,11,302.0,28.0,4.0,43.0,30.2,2.8,0.4,4.3,33.333333333333336,3.0,0.6666666666666666,4.333333333333333,8.8,0.08333333333333333,0,1
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,13,0,L,401437870,2022 Regular Season,Juwan Johnson,2022,Regular Season,12,349.0,31.0,5.0,47.0,31.727272727272727,2.8181818181818183,0.45454545454545453,4.2727272727272725,44.333333333333336,3.3333333333333335,1.0,4.333333333333333,15.666666666666666,0.09302325581395349,0,0
4,6,67,16.8,2,22,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,21,18,W,401437905,2022 Regular Season,Juwan Johnson,2022,Regular Season,13,349.0,31.0,5.0,49.0,29.083333333333332,2.5833333333333335,0.4166666666666667,4.083333333333333,30.333333333333332,2.6666666666666665,0.6666666666666666,4.333333333333333,0.0,0.10638297872340426,0,1
1,2,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,10,17,W,401437921,2022 Regular Season,Juwan Johnson,2022,Regular Season,14,416.0,35.0,7.0,55.0,32.0,2.6923076923076925,0.5384615384615384,4.230769230769231,38.0,2.3333333333333335,1.0,4.0,16.75,0.10204081632653061,0,0
5,7,62,12.4,0,21,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,20,W,401437940,2022 Regular Season,Juwan Johnson,2022,Regular Season,15,425.0,36.0,7.0,57.0,30.357142857142858,2.5714285714285716,0.5,4.071428571428571,25.333333333333332,1.6666666666666667,0.6666666666666666,3.3333333333333335,9.0,0.12727272727272726,0,0
1,1,21,21.0,0,21,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,7,10,L,401437956,2022 Regular Season,Juwan Johnson,2022,Regular Season,16,487.0,41.0,7.0,64.0,32.46666666666667,2.7333333333333334,0.4666666666666667,4.266666666666667,46.0,3.3333333333333335,0.6666666666666666,5.0,12.4,0.12280701754385964,0,0
3,5,36,12.0,0,27,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,16,15,W,401547399,2023 Regular Season,Juwan Johnson,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,13,6.5,0,8,0,0,0.0,0,0,0,0,0,0,2,2023-09-18T23:15:00.000+00:00,17,20,W,401547425,2023 Regular Season,Juwan Johnson,2023,Regular Season,2,36.0,3.0,0.0,5.0,36.0,3.0,0.0,5.0,36.0,3.0,0.0,5.0,12.0,0.0,0,0
2,4,12,6.0,0,7,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,18,17,L,401547434,2023 Regular Season,Juwan Johnson,2023,Regular Season,3,49.0,5.0,0.0,8.0,24.5,2.5,0.0,4.0,24.5,2.5,0.0,4.0,6.5,0.0,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,27,38,W,401547507,2023 Regular Season,Juwan Johnson,2023,Regular Season,4,61.0,7.0,0.0,12.0,20.333333333333332,2.3333333333333335,0.0,4.0,20.333333333333332,2.3333333333333335,0.0,4.0,6.0,0.0,0,0
5,5,29,5.8,1,14,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,24,17,W,401547516,2023 Regular Season,Juwan Johnson,2023,Regular Season,5,66.0,8.0,0.0,14.0,16.5,2.0,0.0,3.5,10.0,1.6666666666666667,0.0,3.0,5.0,0.0,0,1
1,3,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,19,L,401547533,2023 Regular Season,Juwan Johnson,2023,Regular Season,6,95.0,13.0,1.0,19.0,19.0,2.6,0.2,3.8,15.333333333333334,2.6666666666666665,0.3333333333333333,3.6666666666666665,5.8,0.0,0,0
4,7,45,11.3,0,23,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,24,15,L,401547559,2023 Regular Season,Juwan Johnson,2023,Regular Season,7,97.0,14.0,1.0,22.0,16.166666666666668,2.3333333333333335,0.16666666666666666,3.6666666666666665,12.0,2.3333333333333335,0.3333333333333333,3.3333333333333335,2.0,0.05263157894736842,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,33,L,401547572,2023 Regular Season,Juwan Johnson,2023,Regular Season,8,142.0,18.0,1.0,29.0,20.285714285714285,2.5714285714285716,0.14285714285714285,4.142857142857143,25.333333333333332,3.3333333333333335,0.3333333333333333,5.0,11.25,0.045454545454545456,0,0
