receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,14,4.7,0,7,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,23,7,W,401437649,2022 Regular Season,K.J. Osborn,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,25,12.5,0,15,0,0,0.0,0,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,L,401436832,2022 Regular Season,K.J. Osborn,2022,Regular Season,2,14.0,3.0,0.0,4.0,14.0,3.0,0.0,4.0,14.0,3.0,0.0,4.0,4.666666666666667,0.0,0,0
5,8,73,14.6,1,28,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,28,24,W,401437739,2022 Regular Season,K.J. Osborn,2022,Regular Season,3,39.0,5.0,0.0,6.0,19.5,2.5,0.0,3.0,19.5,2.5,0.0,3.0,12.5,0.0,0,1
1,2,6,6.0,0,6,1,-1,-1.0,-1,0,0,0,0,0,4,2022-10-02T13:30:00.000+00:00,25,28,W,401435639,2022 Regular Season,K.J. Osborn,2022,Regular Season,4,112.0,10.0,1.0,14.0,37.333333333333336,3.3333333333333335,0.3333333333333333,4.666666666666667,37.333333333333336,3.3333333333333335,0.3333333333333333,4.666666666666667,14.6,0.0,0,0
5,5,41,8.2,0,10,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,22,W,401437766,2022 Regular Season,K.J. Osborn,2022,Regular Season,5,118.0,11.0,1.0,16.0,29.5,2.75,0.25,4.0,34.666666666666664,2.6666666666666665,0.3333333333333333,4.0,6.0,0.07142857142857142,0,0
3,5,18,6.0,0,8,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,W,401437782,2022 Regular Season,K.J. Osborn,2022,Regular Season,6,159.0,16.0,1.0,21.0,31.8,3.2,0.2,4.2,40.0,3.6666666666666665,0.3333333333333333,5.0,8.2,0.0625,0,0
2,5,8,4.0,1,5,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,34,26,W,401437809,2022 Regular Season,K.J. Osborn,2022,Regular Season,7,177.0,19.0,1.0,26.0,29.5,3.1666666666666665,0.16666666666666666,4.333333333333333,21.666666666666668,3.0,0.0,4.0,6.0,0.047619047619047616,0,1
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,W,401437827,2022 Regular Season,K.J. Osborn,2022,Regular Season,8,185.0,21.0,2.0,31.0,26.428571428571427,3.0,0.2857142857142857,4.428571428571429,22.333333333333332,3.3333333333333335,0.3333333333333333,5.0,4.0,0.038461538461538464,0,0
4,11,35,8.8,0,20,1,2,2.0,2,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,33,W,401437833,2022 Regular Season,K.J. Osborn,2022,Regular Season,9,185.0,21.0,2.0,33.0,23.125,2.625,0.25,4.125,8.666666666666666,1.6666666666666667,0.3333333333333333,4.0,0.0,0.06451612903225806,0,0
2,3,17,8.5,0,12,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,L,401437855,2022 Regular Season,K.J. Osborn,2022,Regular Season,10,220.0,25.0,2.0,44.0,24.444444444444443,2.7777777777777777,0.2222222222222222,4.888888888888889,14.333333333333334,2.0,0.3333333333333333,6.0,8.75,0.06060606060606061,0,0
