receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-12T00:20:00.000+00:00,3,19,L,401437644,2022 Regular Season,KaVontae Turpin,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,1,3,3.0,3,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,20,17,W,401437734,2022 Regular Season,KaVontae Turpin,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-27T00:15:00.000+00:00,16,23,W,401437747,2022 Regular Season,KaVontae Turpin,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,W,401437751,2022 Regular Season,KaVontae Turpin,2022,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,W,401437774,2022 Regular Season,KaVontae Turpin,2022,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,L,401437789,2022 Regular Season,KaVontae Turpin,2022,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,1,3,3.0,3,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,W,401437795,2022 Regular Season,KaVontae Turpin,2022,Regular Season,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,1,11,11.0,11,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,49,29,W,401437807,2022 Regular Season,KaVontae Turpin,2022,Regular Season,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,31,28,L,401437131,2022 Regular Season,KaVontae Turpin,2022,Regular Season,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,1,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,W,401437855,2022 Regular Season,KaVontae Turpin,2022,Regular Season,10,9.0,1.0,0.0,2.0,1.0,0.1111111111111111,0.0,0.2222222222222222,3.0,0.3333333333333333,0.0,0.3333333333333333,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T21:30:00.000+00:00,28,20,W,401437858,2022 Regular Season,KaVontae Turpin,2022,Regular Season,11,9.0,1.0,0.0,2.0,0.9,0.1,0.0,0.2,3.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,W,401437886,2022 Regular Season,KaVontae Turpin,2022,Regular Season,12,9.0,1.0,0.0,2.0,0.8181818181818182,0.09090909090909091,0.0,0.18181818181818182,3.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,1,1,0,0,14,2022-12-11T18:00:00.000+00:00,27,23,W,401437891,2022 Regular Season,KaVontae Turpin,2022,Regular Season,13,9.0,1.0,0.0,2.0,0.75,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,40,34,L,401437910,2022 Regular Season,KaVontae Turpin,2022,Regular Season,14,9.0,1.0,0.0,2.0,0.6923076923076923,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T21:25:00.000+00:00,40,34,W,401437927,2022 Regular Season,KaVontae Turpin,2022,Regular Season,15,9.0,1.0,0.0,2.0,0.6428571428571429,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2022-12-30T01:15:00.000+00:00,13,27,W,401437932,2022 Regular Season,KaVontae Turpin,2022,Regular Season,16,9.0,1.0,0.0,2.0,0.6,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,1,1,0,0,18,2023-01-08T21:25:00.000+00:00,26,6,L,401437959,2022 Regular Season,KaVontae Turpin,2022,Regular Season,17,9.0,1.0,0.0,2.0,0.5625,0.0625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,3,11,5.5,0,7,3,14,4.7,7,1,0,0,0,0,1,2023-09-11T00:20:00.000+00:00,0,40,W,401547409,2023 Regular Season,KaVontae Turpin,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,9,9.0,0,9,2,6,3.0,6,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,30,10,W,401547415,2023 Regular Season,KaVontae Turpin,2023,Regular Season,2,11.0,2.0,0.0,3.0,11.0,2.0,0.0,3.0,11.0,2.0,0.0,3.0,5.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:25:00.000+00:00,28,16,L,401547437,2023 Regular Season,KaVontae Turpin,2023,Regular Season,3,20.0,3.0,0.0,4.0,10.0,1.5,0.0,2.0,10.0,1.5,0.0,2.0,9.0,0.0,0,0
1,1,5,5.0,0,5,1,46,46.0,46,0,1,0,0,0,4,2023-10-01T20:25:00.000+00:00,38,3,W,401547453,2023 Regular Season,KaVontae Turpin,2023,Regular Season,4,20.0,3.0,0.0,4.0,6.666666666666667,1.0,0.0,1.3333333333333333,6.666666666666667,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
1,1,26,26.0,1,26,0,0,0.0,0,0,0,0,0,0,5,2023-10-09T00:20:00.000+00:00,42,10,L,401547354,2023 Regular Season,KaVontae Turpin,2023,Regular Season,5,25.0,4.0,0.0,5.0,6.25,1.0,0.0,1.25,4.666666666666667,0.6666666666666666,0.0,0.6666666666666666,5.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-17T00:15:00.000+00:00,17,20,W,401547482,2023 Regular Season,KaVontae Turpin,2023,Regular Season,6,51.0,5.0,1.0,6.0,10.2,1.0,0.2,1.2,10.333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,26.0,0.0,0,0
1,2,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,43,20,W,401547505,2023 Regular Season,KaVontae Turpin,2023,Regular Season,7,51.0,5.0,1.0,6.0,8.5,0.8333333333333334,0.16666666666666666,1.0,10.333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,0,0
1,1,5,5.0,1,5,1,0,0.0,0,0,0,0,0,0,9,2023-11-05T21:25:00.000+00:00,28,23,L,401547522,2023 Regular Season,KaVontae Turpin,2023,Regular Season,8,64.0,6.0,1.0,8.0,9.142857142857142,0.8571428571428571,0.14285714285714285,1.1428571428571428,13.0,0.6666666666666666,0.3333333333333333,1.0,13.0,0.16666666666666666,0,1
2,3,10,5.0,0,10,1,13,13.0,13,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,10,33,W,401547545,2023 Regular Season,KaVontae Turpin,2023,Regular Season,9,69.0,7.0,2.0,9.0,8.625,0.875,0.25,1.125,6.0,0.6666666666666666,0.3333333333333333,1.0,5.0,0.125,0,0
1,1,34,34.0,1,34,0,0,0.0,0,0,0,0,0,0,12,2023-11-23T21:30:00.000+00:00,45,10,W,401547551,2023 Regular Season,KaVontae Turpin,2023,Regular Season,10,79.0,9.0,2.0,12.0,8.777777777777779,1.0,0.2222222222222222,1.3333333333333333,9.333333333333334,1.3333333333333333,0.3333333333333333,2.0,5.0,0.2222222222222222,0,1
1,3,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,13,2023-12-01T01:15:00.000+00:00,41,35,W,401547566,2023 Regular Season,KaVontae Turpin,2023,Regular Season,11,113.0,10.0,3.0,13.0,11.3,1.0,0.3,1.3,16.333333333333332,1.3333333333333333,0.6666666666666666,1.6666666666666667,34.0,0.16666666666666666,0,0
0,1,0,0.0,0,0,1,22,22.0,22,0,0,0,0,0,14,2023-12-11T01:20:00.000+00:00,33,13,W,401547590,2023 Regular Season,KaVontae Turpin,2023,Regular Season,12,123.0,11.0,3.0,16.0,11.181818181818182,1.0,0.2727272727272727,1.4545454545454546,18.0,1.3333333333333333,0.3333333333333333,2.3333333333333335,10.0,0.23076923076923078,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T21:25:00.000+00:00,31,10,L,401547600,2023 Regular Season,KaVontae Turpin,2023,Regular Season,13,123.0,11.0,3.0,17.0,10.25,0.9166666666666666,0.25,1.4166666666666667,14.666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,0.1875,0,0
1,1,4,4.0,0,4,1,4,4.0,4,0,0,0,0,0,16,2023-12-24T21:25:00.000+00:00,22,20,L,401547620,2023 Regular Season,KaVontae Turpin,2023,Regular Season,14,123.0,11.0,3.0,17.0,9.461538461538462,0.8461538461538461,0.23076923076923078,1.3076923076923077,3.3333333333333335,0.3333333333333333,0.0,1.3333333333333333,0.0,0.17647058823529413,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T01:15:00.000+00:00,20,19,W,401547624,2023 Regular Season,KaVontae Turpin,2023,Regular Season,15,127.0,12.0,3.0,18.0,9.071428571428571,0.8571428571428571,0.21428571428571427,1.2857142857142858,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,4.0,0.17647058823529413,0,0
0,0,0,0.0,0,0,1,5,5.0,5,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,10,38,W,401547653,2023 Regular Season,KaVontae Turpin,2023,Regular Season,16,127.0,12.0,3.0,18.0,8.466666666666667,0.8,0.2,1.2,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:25:00.000+00:00,17,33,W,401671761,2024 Regular Season,KaVontae Turpin,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,4,4,2.0,0,5,1,2,2.0,2,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,19,44,L,401671709,2024 Regular Season,KaVontae Turpin,2024,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
3,3,51,17.0,1,23,1,1,1.0,1,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,25,28,L,401671763,2024 Regular Season,KaVontae Turpin,2024,Regular Season,3,4.0,2.0,0.0,5.0,2.0,1.0,0.0,2.5,2.0,1.0,0.0,2.5,2.0,0.0,0,1
