receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,2,23,11.5,19,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,20,21,W,401437640,2022 Regular Season,Kadarius Toney,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,0,0.0,0,2,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,19,16,W,401437645,2022 Regular Season,Kadarius Toney,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,12,6.0,0,10,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,W,401437830,2022 Regular Season,Kadarius Toney,2022,Regular Season,3,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.5,0.0,1.0,0.0,1.5,0.0,0.0,0,0
4,5,57,14.3,1,23,2,33,16.5,32,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,27,17,W,401437835,2022 Regular Season,Kadarius Toney,2022,Regular Season,4,12.0,4.0,0.0,5.0,4.0,1.3333333333333333,0.0,1.6666666666666667,4.0,1.3333333333333333,0.0,1.6666666666666667,6.0,0.0,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-21T01:20:00.000+00:00,27,30,W,401437854,2022 Regular Season,Kadarius Toney,2022,Regular Season,5,69.0,8.0,1.0,10.0,17.25,2.0,0.25,2.5,23.0,2.6666666666666665,0.3333333333333333,3.3333333333333335,14.25,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,24,30,W,401437909,2022 Regular Season,Kadarius Toney,2022,Regular Season,6,69.0,8.0,1.0,11.0,13.8,1.6,0.2,2.2,23.0,2.0,0.3333333333333333,2.6666666666666665,0.0,0.1,0,0
1,2,8,8.0,1,8,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,24,10,W,401437922,2022 Regular Season,Kadarius Toney,2022,Regular Season,7,74.0,9.0,1.0,12.0,12.333333333333334,1.5,0.16666666666666666,2.0,20.666666666666668,1.6666666666666667,0.3333333333333333,2.3333333333333335,5.0,0.09090909090909091,0,1
4,4,71,17.8,0,38,0,0,0.0,0,0,1,1,0,0,17,2023-01-01T18:00:00.000+00:00,27,24,W,401437937,2022 Regular Season,Kadarius Toney,2022,Regular Season,8,82.0,10.0,2.0,14.0,11.714285714285714,1.4285714285714286,0.2857142857142857,2.0,4.333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,8.0,0.08333333333333333,0,0
2,2,18,9.0,0,10,3,26,8.7,14,1,0,0,0,0,18,2023-01-07T21:30:00.000+00:00,13,31,W,401437961,2022 Regular Season,Kadarius Toney,2022,Regular Season,9,153.0,14.0,2.0,18.0,19.125,1.75,0.25,2.25,28.0,2.0,0.3333333333333333,2.3333333333333335,17.75,0.14285714285714285,0,0
1,5,1,1.0,0,1,1,-1,-1.0,-1,0,0,0,0,0,1,2023-09-08T00:20:00.000+00:00,20,21,L,401547353,2023 Regular Season,Kadarius Toney,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,5,35,7.0,0,17,1,3,3.0,3,0,1,0,0,0,2,2023-09-17T17:00:00.000+00:00,9,17,W,401547413,2023 Regular Season,Kadarius Toney,2023,Regular Season,2,1.0,1.0,0.0,5.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,5.0,1.0,0.0,0,0
1,1,-1,-1.0,0,-1,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:25:00.000+00:00,41,10,W,401547438,2023 Regular Season,Kadarius Toney,2023,Regular Season,3,36.0,6.0,0.0,10.0,18.0,3.0,0.0,5.0,18.0,3.0,0.0,5.0,7.0,0.0,0,0
2,2,22,11.0,0,15,0,0,0.0,0,0,0,0,0,0,4,2023-10-02T00:20:00.000+00:00,20,23,W,401547455,2023 Regular Season,Kadarius Toney,2023,Regular Season,4,35.0,7.0,0.0,11.0,11.666666666666666,2.3333333333333335,0.0,3.6666666666666665,11.666666666666666,2.3333333333333335,0.0,3.6666666666666665,-1.0,0.0,0,0
5,6,26,5.2,0,9,1,1,1.0,1,0,0,0,0,0,5,2023-10-08T20:25:00.000+00:00,20,27,W,401547462,2023 Regular Season,Kadarius Toney,2023,Regular Season,5,57.0,9.0,0.0,13.0,14.25,2.25,0.0,3.25,18.666666666666668,2.6666666666666665,0.0,2.6666666666666665,11.0,0.0,0,0
3,6,9,3.0,1,5,2,-5,-2.5,-2,0,0,0,0,0,6,2023-10-13T00:15:00.000+00:00,19,8,W,401547469,2023 Regular Season,Kadarius Toney,2023,Regular Season,6,83.0,14.0,0.0,19.0,16.6,2.8,0.0,3.8,15.666666666666666,2.6666666666666665,0.0,3.0,5.2,0.0,0,1
1,1,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:25:00.000+00:00,31,17,W,401547488,2023 Regular Season,Kadarius Toney,2023,Regular Season,7,92.0,17.0,1.0,25.0,15.333333333333334,2.8333333333333335,0.16666666666666666,4.166666666666667,19.0,3.3333333333333335,0.3333333333333333,4.666666666666667,3.0,0.0,0,0
1,1,4,4.0,0,4,1,-3,-3.0,-3,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,9,L,401547502,2023 Regular Season,Kadarius Toney,2023,Regular Season,8,105.0,18.0,1.0,26.0,15.0,2.5714285714285716,0.14285714285714285,3.7142857142857144,16.0,3.0,0.3333333333333333,4.333333333333333,13.0,0.04,0,0
1,1,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T14:30:00.000+00:00,21,14,W,401547230,2023 Regular Season,Kadarius Toney,2023,Regular Season,9,109.0,19.0,1.0,27.0,13.625,2.375,0.125,3.375,8.666666666666666,1.6666666666666667,0.3333333333333333,2.6666666666666665,4.0,0.038461538461538464,0,0
2,2,12,6.0,0,7,2,14,7.0,14,0,0,0,0,0,11,2023-11-21T01:15:00.000+00:00,17,21,L,401547345,2023 Regular Season,Kadarius Toney,2023,Regular Season,10,127.0,20.0,1.0,28.0,14.11111111111111,2.2222222222222223,0.1111111111111111,3.111111111111111,11.666666666666666,1.0,0.0,1.0,18.0,0.037037037037037035,0,0
0,0,0,0.0,0,0,1,6,6.0,6,0,0,0,0,0,13,2023-12-04T01:20:00.000+00:00,27,19,L,401547576,2023 Regular Season,Kadarius Toney,2023,Regular Season,11,139.0,22.0,1.0,30.0,13.9,2.2,0.1,3.0,11.333333333333334,1.3333333333333333,0.0,1.3333333333333333,6.0,0.03571428571428571,0,0
3,4,25,8.3,0,9,2,16,8.0,14,0,0,0,0,0,14,2023-12-10T21:25:00.000+00:00,17,20,L,401547583,2023 Regular Season,Kadarius Toney,2023,Regular Season,12,139.0,22.0,1.0,30.0,12.636363636363637,2.0,0.09090909090909091,2.727272727272727,10.0,1.0,0.0,1.0,0.0,0.03333333333333333,0,0
2,4,5,2.5,0,3,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,17,27,W,401547608,2023 Regular Season,Kadarius Toney,2023,Regular Season,13,164.0,25.0,1.0,34.0,13.666666666666666,2.0833333333333335,0.08333333333333333,2.8333333333333335,12.333333333333334,1.6666666666666667,0.0,2.0,8.333333333333334,0.03333333333333333,0,0
0,0,0,0.0,0,0,1,-7,-7.0,-7,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,35,14,L,401671746,2024 Regular Season,Kadarius Toney,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,1,3,3.0,3,0,0,0,-,-,13,2024-12-03T01:15:00.000+00:00,41,32,L,401671686,2024 Regular Season,Kadarius Toney,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
