receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,4,66,16.5,0,42,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,24,19,W,401437643,2022 Regular Season,Keenan Allen,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,11,5.5,0,10,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,L,401437801,2022 Regular Season,Keenan Allen,2022,Regular Season,2,66.0,4.0,0.0,4.0,66.0,4.0,0.0,4.0,66.0,4.0,0.0,4.0,16.5,0.0,0,0
5,8,94,18.8,0,46,0,0,0.0,0,0,1,1,0,0,11,2022-11-21T01:20:00.000+00:00,27,30,L,401437854,2022 Regular Season,Keenan Allen,2022,Regular Season,3,77.0,6.0,0.0,6.0,38.5,3.0,0.0,3.0,38.5,3.0,0.0,3.0,5.5,0.0,0,0
5,7,49,9.8,1,16,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,24,25,W,401437867,2022 Regular Season,Keenan Allen,2022,Regular Season,4,171.0,11.0,0.0,14.0,57.0,3.6666666666666665,0.0,4.666666666666667,57.0,3.6666666666666665,0.0,4.666666666666667,18.8,0.0,0,1
6,14,88,14.7,1,35,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:25:00.000+00:00,27,20,L,401437885,2022 Regular Season,Keenan Allen,2022,Regular Season,5,220.0,16.0,1.0,21.0,55.0,4.0,0.25,5.25,51.333333333333336,4.0,0.3333333333333333,5.666666666666667,9.8,0.0,0,1
12,14,92,7.7,0,18,0,0,0.0,0,0,0,0,0,0,14,2022-12-12T01:20:00.000+00:00,23,17,W,401437896,2022 Regular Season,Keenan Allen,2022,Regular Season,6,308.0,22.0,2.0,35.0,61.6,4.4,0.4,7.0,77.0,5.333333333333333,0.6666666666666666,9.666666666666666,14.666666666666666,0.047619047619047616,0,0
8,9,86,10.8,0,31,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,17,14,W,401437913,2022 Regular Season,Keenan Allen,2022,Regular Season,7,400.0,34.0,2.0,49.0,66.66666666666667,5.666666666666667,0.3333333333333333,8.166666666666666,76.33333333333333,7.666666666666667,0.6666666666666666,11.666666666666666,7.666666666666667,0.05714285714285714,0,0
11,14,104,9.5,0,25,0,0,0.0,0,0,0,0,0,0,16,2022-12-27T01:15:00.000+00:00,3,20,W,401437931,2022 Regular Season,Keenan Allen,2022,Regular Season,8,486.0,42.0,2.0,58.0,69.42857142857143,6.0,0.2857142857142857,8.285714285714286,88.66666666666667,8.666666666666666,0.3333333333333333,12.333333333333334,10.75,0.04081632653061224,0,0
5,6,60,12.0,0,28,1,8,8.0,8,0,0,0,0,0,17,2023-01-01T21:25:00.000+00:00,31,10,W,401437946,2022 Regular Season,Keenan Allen,2022,Regular Season,9,590.0,53.0,2.0,72.0,73.75,6.625,0.25,9.0,94.0,10.333333333333334,0.0,12.333333333333334,9.454545454545455,0.034482758620689655,0,0
8,11,102,12.8,2,30,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,31,28,L,401437960,2022 Regular Season,Keenan Allen,2022,Regular Season,10,650.0,58.0,2.0,78.0,72.22222222222223,6.444444444444445,0.2222222222222222,8.666666666666666,83.33333333333333,8.0,0.0,9.666666666666666,12.0,0.027777777777777776,0,1
