receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,41,41.0,0,41,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,L,401437630,2022 Regular Season,Kendrick Bourne,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,16,8.0,0,10,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,14,17,W,401437636,2022 Regular Season,Kendrick Bourne,2022,Regular Season,2,41.0,1.0,0.0,1.0,41.0,1.0,0.0,1.0,41.0,1.0,0.0,1.0,41.0,0.0,0,0
4,5,58,14.5,0,26,0,0,0.0,0,0,1,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,L,401437631,2022 Regular Season,Kendrick Bourne,2022,Regular Season,3,57.0,3.0,0.0,4.0,28.5,1.5,0.0,2.0,28.5,1.5,0.0,2.0,8.0,0.0,0,0
2,3,23,11.5,0,16,1,15,15.0,15,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,27,24,L,401437759,2022 Regular Season,Kendrick Bourne,2022,Regular Season,4,115.0,7.0,0.0,9.0,38.333333333333336,2.3333333333333335,0.0,3.0,38.333333333333336,2.3333333333333335,0.0,3.0,14.5,0.0,0,0
1,1,1,1.0,0,1,1,-1,-1.0,-1,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,0,W,401437767,2022 Regular Season,Kendrick Bourne,2022,Regular Season,5,138.0,9.0,0.0,12.0,34.5,2.25,0.0,3.0,32.333333333333336,2.6666666666666665,0.0,3.6666666666666665,11.5,0.0,0,0
1,1,17,17.0,0,17,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,W,401437779,2022 Regular Season,Kendrick Bourne,2022,Regular Season,6,139.0,10.0,0.0,13.0,27.8,2.0,0.0,2.6,27.333333333333332,2.3333333333333335,0.0,3.0,1.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,W,401437811,2022 Regular Season,Kendrick Bourne,2022,Regular Season,7,156.0,11.0,0.0,14.0,26.0,1.8333333333333333,0.0,2.3333333333333335,13.666666666666666,1.3333333333333333,0.0,1.6666666666666667,17.0,0.0,0,0
3,4,11,3.7,0,10,1,1,1.0,1,0,1,0,0,0,9,2022-11-06T18:00:00.000+00:00,26,3,W,401437825,2022 Regular Season,Kendrick Bourne,2022,Regular Season,8,156.0,11.0,0.0,15.0,22.285714285714285,1.5714285714285714,0.0,2.142857142857143,6.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,W,401437850,2022 Regular Season,Kendrick Bourne,2022,Regular Season,9,167.0,14.0,0.0,19.0,20.875,1.75,0.0,2.375,9.333333333333334,1.3333333333333333,0.0,2.0,3.6666666666666665,0.0,0,0
3,4,36,12.0,0,17,1,-7,-7.0,-7,0,0,0,0,0,12,2022-11-25T01:20:00.000+00:00,33,26,L,401437859,2022 Regular Season,Kendrick Bourne,2022,Regular Season,10,175.0,15.0,0.0,20.0,19.444444444444443,1.6666666666666667,0.0,2.2222222222222223,6.333333333333333,1.3333333333333333,0.0,2.0,8.0,0.0,0,0
