receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,3,38,12.7,0,18,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,L,401437650,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,57,28.5,0,39,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,31,27,L,401437733,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,2,38.0,3.0,0.0,3.0,38.0,3.0,0.0,3.0,38.0,3.0,0.0,3.0,12.666666666666666,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,W,401437745,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,3,95.0,5.0,0.0,6.0,47.5,2.5,0.0,3.0,47.5,2.5,0.0,3.0,28.5,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,23,20,W,401437749,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,4,95.0,5.0,0.0,6.0,31.666666666666668,1.6666666666666667,0.0,2.0,31.666666666666668,1.6666666666666667,0.0,2.0,0.0,0.0,0,0
3,5,33,11.0,0,13,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,21,15,L,401437770,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,5,95.0,5.0,0.0,7.0,23.75,1.25,0.0,1.75,19.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,28,14,W,401437778,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,6,128.0,8.0,0.0,12.0,25.6,1.6,0.0,2.4,11.0,1.0,0.0,2.0,11.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,35,17,L,401437794,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,7,128.0,8.0,0.0,12.0,21.333333333333332,1.3333333333333333,0.0,2.0,11.0,1.0,0.0,2.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,37,34,W,401437806,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,8,128.0,8.0,0.0,12.0,18.285714285714285,1.1428571428571428,0.0,1.7142857142857142,11.0,1.0,0.0,1.6666666666666667,0.0,0.0,0,0
1,2,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,L,401437820,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,9,128.0,8.0,0.0,12.0,16.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,37,18.5,1,25,0,0,0.0,0,0,0,0,0,0,10,2022-11-11T01:15:00.000+00:00,25,15,L,401437832,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,10,147.0,9.0,0.0,14.0,16.333333333333332,1.0,0.0,1.5555555555555556,6.333333333333333,0.3333333333333333,0.0,0.6666666666666666,19.0,0.0,0,1
1,1,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,24,W,401437845,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,11,184.0,11.0,1.0,16.0,18.4,1.1,0.1,1.6,18.666666666666668,1.0,0.3333333333333333,1.3333333333333333,18.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,19,13,L,401437866,2022 Regular Season,KhaDarel Hodge,2022,Regular Season,12,197.0,12.0,1.0,17.0,17.90909090909091,1.0909090909090908,0.09090909090909091,1.5454545454545454,23.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,13.0,0.0625,0,0
