receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T23:15:00.000+00:00,41,7,W,401436831,2022 Regular Season,Khalil Shakir,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,23,11.5,0,14,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,W,401437750,2022 Regular Season,Khalil Shakir,2022,Regular Season,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
3,5,75,25.0,1,31,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,38,3,W,401437763,2022 Regular Season,Khalil Shakir,2022,Regular Season,3,23.0,2.0,0.0,4.0,11.5,1.0,0.0,2.0,11.5,1.0,0.0,2.0,11.5,0.0,0,1
1,2,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:25:00.000+00:00,20,24,W,401437788,2022 Regular Season,Khalil Shakir,2022,Regular Season,4,98.0,5.0,1.0,9.0,32.666666666666664,1.6666666666666667,0.3333333333333333,3.0,32.666666666666664,1.6666666666666667,0.3333333333333333,3.0,25.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-31T00:20:00.000+00:00,27,17,W,401437817,2022 Regular Season,Khalil Shakir,2022,Regular Season,5,112.0,6.0,1.0,11.0,28.0,1.5,0.25,2.75,37.333333333333336,2.0,0.3333333333333333,3.0,14.0,0.1111111111111111,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,20,17,L,401437826,2022 Regular Season,Khalil Shakir,2022,Regular Season,6,112.0,6.0,1.0,13.0,22.4,1.2,0.2,2.6,29.666666666666668,1.3333333333333333,0.3333333333333333,3.0,0.0,0.09090909090909091,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,33,L,401437833,2022 Regular Season,Khalil Shakir,2022,Regular Season,7,112.0,6.0,1.0,13.0,18.666666666666668,1.0,0.16666666666666666,2.1666666666666665,4.666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,0.07692307692307693,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,31,23,W,401437847,2022 Regular Season,Khalil Shakir,2022,Regular Season,8,118.0,7.0,1.0,15.0,16.857142857142858,1.0,0.14285714285714285,2.142857142857143,2.0,0.3333333333333333,0.0,1.3333333333333333,6.0,0.07692307692307693,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T17:30:00.000+00:00,25,28,W,401437857,2022 Regular Season,Khalil Shakir,2022,Regular Season,9,118.0,7.0,1.0,15.0,14.75,0.875,0.125,1.875,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.06666666666666667,0,0
1,1,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,13,2022-12-02T01:15:00.000+00:00,10,24,W,401437873,2022 Regular Season,Khalil Shakir,2022,Regular Season,10,118.0,7.0,1.0,15.0,13.11111111111111,0.7777777777777778,0.1111111111111111,1.6666666666666667,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.06666666666666667,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,20,12,W,401437889,2022 Regular Season,Khalil Shakir,2022,Regular Season,11,128.0,8.0,1.0,16.0,12.8,0.8,0.1,1.6,3.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,10.0,0.06666666666666667,0,0
