receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-12T00:20:00.000+00:00,3,19,W,401437644,2022 Regular Season,Ko Kieft,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,10,20,W,401437652,2022 Regular Season,Ko Kieft,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,14,L,401437607,2022 Regular Season,Ko Kieft,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,4,2022-10-03T00:20:00.000+00:00,31,41,L,401437470,2022 Regular Season,Ko Kieft,2022,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,21,15,W,401437770,2022 Regular Season,Ko Kieft,2022,Regular Season,5,19.0,1.0,0.0,1.0,4.75,0.25,0.0,0.25,6.333333333333333,0.3333333333333333,0.0,0.3333333333333333,19.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,20,18,L,401437785,2022 Regular Season,Ko Kieft,2022,Regular Season,6,19.0,1.0,0.0,1.0,3.8,0.2,0.0,0.2,6.333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,21,3,L,401437793,2022 Regular Season,Ko Kieft,2022,Regular Season,7,19.0,1.0,0.0,1.0,3.1666666666666665,0.16666666666666666,0.0,0.16666666666666666,6.333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,L,401437805,2022 Regular Season,Ko Kieft,2022,Regular Season,8,37.0,2.0,0.0,2.0,5.285714285714286,0.2857142857142857,0.0,0.2857142857142857,6.0,0.3333333333333333,0.0,0.3333333333333333,18.0,0.0,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:25:00.000+00:00,16,13,W,401437829,2022 Regular Season,Ko Kieft,2022,Regular Season,9,46.0,3.0,0.0,3.0,5.75,0.375,0.0,0.375,9.0,0.6666666666666666,0.0,0.6666666666666666,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,W,401435638,2022 Regular Season,Ko Kieft,2022,Regular Season,10,52.0,4.0,0.0,5.0,5.777777777777778,0.4444444444444444,0.0,0.5555555555555556,11.0,1.0,0.0,1.3333333333333333,6.0,0.0,0,0
