receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,7,19,9.5,0,11,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,L,401437650,2022 Regular Season,Kyle Pitts,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,19,9.5,0,13,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,31,27,L,401437733,2022 Regular Season,Kyle Pitts,2022,Regular Season,2,19.0,2.0,0.0,7.0,19.0,2.0,0.0,7.0,19.0,2.0,0.0,7.0,9.5,0.0,0,0
5,8,87,17.4,0,28,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,W,401437745,2022 Regular Season,Kyle Pitts,2022,Regular Season,3,38.0,4.0,0.0,10.0,19.0,2.0,0.0,5.0,19.0,2.0,0.0,5.0,9.5,0.0,0,0
1,4,25,25.0,0,25,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,23,20,W,401437749,2022 Regular Season,Kyle Pitts,2022,Regular Season,4,125.0,9.0,0.0,18.0,41.666666666666664,3.0,0.0,6.0,41.666666666666664,3.0,0.0,6.0,17.4,0.0,0,0
3,3,19,6.3,1,7,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,28,14,W,401437778,2022 Regular Season,Kyle Pitts,2022,Regular Season,5,150.0,10.0,0.0,22.0,37.5,2.5,0.0,5.5,43.666666666666664,2.6666666666666665,0.0,5.0,25.0,0.0,0,1
3,5,9,3.0,0,7,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,35,17,L,401437794,2022 Regular Season,Kyle Pitts,2022,Regular Season,6,169.0,13.0,1.0,25.0,33.8,2.6,0.2,5.0,43.666666666666664,3.0,0.3333333333333333,5.0,6.333333333333333,0.0,0,0
5,9,80,16.0,1,33,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,37,34,W,401437806,2022 Regular Season,Kyle Pitts,2022,Regular Season,7,178.0,16.0,1.0,30.0,29.666666666666668,2.6666666666666665,0.16666666666666666,5.0,17.666666666666668,2.3333333333333335,0.3333333333333333,4.0,3.0,0.04,0,1
2,7,27,13.5,0,18,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,L,401437820,2022 Regular Season,Kyle Pitts,2022,Regular Season,8,258.0,21.0,2.0,39.0,36.857142857142854,3.0,0.2857142857142857,5.571428571428571,36.0,3.6666666666666665,0.6666666666666666,5.666666666666667,16.0,0.03333333333333333,0,0
2,8,28,14.0,0,18,0,0,0.0,0,0,0,0,0,0,10,2022-11-11T01:15:00.000+00:00,25,15,L,401437832,2022 Regular Season,Kyle Pitts,2022,Regular Season,9,285.0,23.0,2.0,46.0,35.625,2.875,0.25,5.75,38.666666666666664,3.3333333333333335,0.3333333333333333,7.0,13.5,0.05128205128205128,0,0
3,5,43,14.3,0,18,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,24,W,401437845,2022 Regular Season,Kyle Pitts,2022,Regular Season,10,313.0,25.0,2.0,54.0,34.77777777777778,2.7777777777777777,0.2222222222222222,6.0,45.0,3.0,0.3333333333333333,8.0,14.0,0.043478260869565216,0,0
