receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,7,22,7.3,0,12,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,20,T,401437637,2022 Regular Season,Kylen Granson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,14,7.0,0,8,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,24,0,L,401437639,2022 Regular Season,Kylen Granson,2022,Regular Season,2,22.0,3.0,0.0,7.0,22.0,3.0,0.0,7.0,22.0,3.0,0.0,7.0,7.333333333333333,0.0,0,0
2,2,7,3.5,0,5,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,W,401437638,2022 Regular Season,Kylen Granson,2022,Regular Season,3,36.0,5.0,0.0,9.0,18.0,2.5,0.0,4.5,18.0,2.5,0.0,4.5,7.0,0.0,0,0
4,4,62,15.5,0,20,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,17,24,L,401437754,2022 Regular Season,Kylen Granson,2022,Regular Season,4,43.0,7.0,0.0,11.0,14.333333333333334,2.3333333333333335,0.0,3.6666666666666665,14.333333333333334,2.3333333333333335,0.0,3.6666666666666665,3.5,0.0,0,0
1,3,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,5,2022-10-07T00:15:00.000+00:00,9,12,W,401437762,2022 Regular Season,Kylen Granson,2022,Regular Season,5,105.0,11.0,0.0,15.0,26.25,2.75,0.0,3.75,27.666666666666668,2.6666666666666665,0.0,2.6666666666666665,15.5,0.0,0,0
4,4,38,9.5,0,17,0,0,0.0,0,0,1,0,0,0,6,2022-10-16T17:00:00.000+00:00,34,27,W,401437781,2022 Regular Season,Kylen Granson,2022,Regular Season,6,121.0,12.0,0.0,18.0,24.2,2.4,0.0,3.6,28.333333333333332,2.3333333333333335,0.0,3.0,16.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,19,10,L,401437797,2022 Regular Season,Kylen Granson,2022,Regular Season,7,159.0,16.0,0.0,22.0,26.5,2.6666666666666665,0.0,3.6666666666666665,38.666666666666664,3.0,0.0,3.6666666666666665,9.5,0.0,0,0
3,3,11,3.7,0,15,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,16,17,L,401437814,2022 Regular Season,Kylen Granson,2022,Regular Season,8,165.0,17.0,0.0,23.0,23.571428571428573,2.4285714285714284,0.0,3.2857142857142856,20.0,2.0,0.0,2.6666666666666665,6.0,0.0,0,0
0,1,0,0.0,0,0,1,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,26,3,L,401437825,2022 Regular Season,Kylen Granson,2022,Regular Season,9,176.0,20.0,0.0,26.0,22.0,2.5,0.0,3.25,18.333333333333332,2.6666666666666665,0.0,2.6666666666666665,3.6666666666666665,0.0,0,0
4,4,57,14.3,0,32,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:05:00.000+00:00,20,25,W,401437840,2022 Regular Season,Kylen Granson,2022,Regular Season,10,176.0,20.0,0.0,27.0,19.555555555555557,2.2222222222222223,0.0,3.0,5.666666666666667,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
1,1,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,L,401437849,2022 Regular Season,Kylen Granson,2022,Regular Season,11,233.0,24.0,0.0,31.0,23.3,2.4,0.0,3.1,22.666666666666668,2.3333333333333335,0.0,2.6666666666666665,14.25,0.0,0,0
4,6,19,4.8,0,9,0,0,0.0,0,0,0,0,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,L,401437886,2022 Regular Season,Kylen Granson,2022,Regular Season,12,249.0,25.0,0.0,32.0,22.636363636363637,2.272727272727273,0.0,2.909090909090909,24.333333333333332,1.6666666666666667,0.0,2.0,16.0,0.0,0,0
2,2,34,17.0,0,21,0,0,0.0,0,0,0,0,0,0,15,2022-12-17T18:00:00.000+00:00,39,36,L,401437904,2022 Regular Season,Kylen Granson,2022,Regular Season,13,268.0,29.0,0.0,38.0,22.333333333333332,2.4166666666666665,0.0,3.1666666666666665,30.666666666666668,3.0,0.0,3.6666666666666665,4.75,0.0,0,0
4,6,39,9.8,0,14,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,21,31,L,401547404,2023 Regular Season,Kylen Granson,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,4,16,5.3,1,11,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,20,31,W,401547419,2023 Regular Season,Kylen Granson,2023,Regular Season,2,39.0,4.0,0.0,6.0,39.0,4.0,0.0,6.0,39.0,4.0,0.0,6.0,9.75,0.0,0,1
2,4,9,4.5,0,7,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,19,22,W,401547427,2023 Regular Season,Kylen Granson,2023,Regular Season,3,55.0,7.0,1.0,10.0,27.5,3.5,0.5,5.0,27.5,3.5,0.5,5.0,5.333333333333333,0.0,0,0
2,5,24,12.0,0,17,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,23,29,L,401547449,2023 Regular Season,Kylen Granson,2023,Regular Season,4,64.0,9.0,1.0,14.0,21.333333333333332,3.0,0.3333333333333333,4.666666666666667,21.333333333333332,3.0,0.3333333333333333,4.666666666666667,4.5,0.1,0,0
2,3,15,7.5,0,9,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,23,16,W,401547458,2023 Regular Season,Kylen Granson,2023,Regular Season,5,88.0,11.0,1.0,19.0,22.0,2.75,0.25,4.75,16.333333333333332,2.3333333333333335,0.3333333333333333,4.333333333333333,12.0,0.07142857142857142,0,0
3,4,67,22.3,0,45,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,37,20,L,401547472,2023 Regular Season,Kylen Granson,2023,Regular Season,6,103.0,13.0,1.0,22.0,20.6,2.6,0.2,4.4,16.0,2.0,0.0,4.0,7.5,0.05263157894736842,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T21:05:00.000+00:00,13,27,W,401547517,2023 Regular Season,Kylen Granson,2023,Regular Season,7,170.0,16.0,1.0,26.0,28.333333333333332,2.6666666666666665,0.16666666666666666,4.333333333333333,35.333333333333336,2.3333333333333335,0.0,4.0,22.333333333333332,0.045454545454545456,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T14:30:00.000+00:00,6,10,W,401547231,2023 Regular Season,Kylen Granson,2023,Regular Season,8,170.0,16.0,1.0,28.0,24.285714285714285,2.2857142857142856,0.14285714285714285,4.0,27.333333333333332,1.6666666666666667,0.0,3.0,0.0,0.038461538461538464,0,0
