receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
5,7,39,7.8,1,11,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:05:00.000+00:00,22,10,W,401671659,2024 Regular Season,Ladd McConkey,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,4,26,13.0,0,15,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,3,26,W,401671652,2024 Regular Season,Ladd McConkey,2024,Regular Season,2,39.0,5.0,1.0,7.0,39.0,5.0,1.0,7.0,39.0,5.0,1.0,7.0,7.8,0.0,0,0
3,6,44,14.7,0,18,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,20,10,L,401671632,2024 Regular Season,Ladd McConkey,2024,Regular Season,3,65.0,7.0,1.0,11.0,32.5,3.5,0.5,5.5,32.5,3.5,0.5,5.5,13.0,0.14285714285714285,0,0
5,7,67,13.4,1,37,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:25:00.000+00:00,10,17,L,401671674,2024 Regular Season,Ladd McConkey,2024,Regular Season,4,109.0,10.0,1.0,17.0,36.333333333333336,3.3333333333333335,0.3333333333333333,5.666666666666667,36.333333333333336,3.3333333333333335,0.3333333333333333,5.666666666666667,14.666666666666666,0.09090909090909091,0,1
4,8,43,10.8,0,15,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T20:05:00.000+00:00,16,23,W,401671655,2024 Regular Season,Ladd McConkey,2024,Regular Season,5,176.0,15.0,2.0,24.0,44.0,3.75,0.5,6.0,45.666666666666664,3.3333333333333335,0.3333333333333333,5.666666666666667,13.4,0.058823529411764705,0,0
5,7,46,9.2,0,21,0,0,0.0,0,0,1,0,0,0,7,2024-10-22T01:00:00.000+00:00,17,15,L,401671699,2024 Regular Season,Ladd McConkey,2024,Regular Season,6,219.0,19.0,2.0,32.0,43.8,3.8,0.4,6.4,51.333333333333336,4.0,0.3333333333333333,7.0,10.75,0.08333333333333333,0,0
6,6,111,18.5,2,60,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:05:00.000+00:00,26,8,W,401671750,2024 Regular Season,Ladd McConkey,2024,Regular Season,7,265.0,24.0,2.0,39.0,44.166666666666664,4.0,0.3333333333333333,6.5,52.0,4.666666666666667,0.3333333333333333,7.333333333333333,9.2,0.0625,0,1
5,7,64,12.8,0,20,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,10,27,W,401671629,2024 Regular Season,Ladd McConkey,2024,Regular Season,8,376.0,30.0,4.0,45.0,53.714285714285715,4.285714285714286,0.5714285714285714,6.428571428571429,66.66666666666667,5.0,0.6666666666666666,7.0,18.5,0.05128205128205128,0,0
2,2,52,26.0,0,37,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:05:00.000+00:00,27,17,W,401671751,2024 Regular Season,Ladd McConkey,2024,Regular Season,9,440.0,35.0,4.0,52.0,55.0,4.375,0.5,6.5,73.66666666666667,5.333333333333333,0.6666666666666666,6.666666666666667,12.8,0.08888888888888889,0,0
6,9,123,20.5,0,28,0,0,0.0,0,0,0,0,0,0,11,2024-11-18T01:20:00.000+00:00,34,27,W,401671675,2024 Regular Season,Ladd McConkey,2024,Regular Season,10,492.0,37.0,4.0,54.0,54.666666666666664,4.111111111111111,0.4444444444444444,6.0,75.66666666666667,4.333333333333333,0.6666666666666666,5.0,26.0,0.07692307692307693,0,0
6,6,83,13.8,0,19,0,0,0.0,0,0,0,0,-,-,12,2024-11-26T01:15:00.000+00:00,23,30,L,401671689,2024 Regular Season,Ladd McConkey,2024,Regular Season,11,615.0,43.0,4.0,63.0,61.5,4.3,0.4,6.3,79.66666666666667,4.333333333333333,0.0,6.0,20.5,0.07407407407407407,0,0
9,12,117,13.0,0,48,0,0,0.0,0,0,1,0,-,-,13,2024-12-01T18:00:00.000+00:00,13,17,W,401671649,2024 Regular Season,Ladd McConkey,2024,Regular Season,12,698.0,49.0,4.0,69.0,63.45454545454545,4.454545454545454,0.36363636363636365,6.2727272727272725,86.0,4.666666666666667,0.0,5.666666666666667,13.833333333333334,0.06349206349206349,0,0
