receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,L,401437630,2022 Regular Season,Lil'Jordan Humphrey,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,14,17,W,401437636,2022 Regular Season,Lil'Jordan Humphrey,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,L,401437631,2022 Regular Season,Lil'Jordan Humphrey,2022,Regular Season,3,11.0,1.0,0.0,2.0,5.5,0.5,0.0,1.0,5.5,0.5,0.0,1.0,11.0,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,27,24,L,401437759,2022 Regular Season,Lil'Jordan Humphrey,2022,Regular Season,4,11.0,1.0,0.0,3.0,3.6666666666666665,0.3333333333333333,0.0,1.0,3.6666666666666665,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,0,W,401437767,2022 Regular Season,Lil'Jordan Humphrey,2022,Regular Season,5,20.0,2.0,0.0,4.0,5.0,0.5,0.0,1.0,6.666666666666667,0.6666666666666666,0.0,1.3333333333333333,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,W,401437779,2022 Regular Season,Lil'Jordan Humphrey,2022,Regular Season,6,20.0,2.0,0.0,4.0,4.0,0.4,0.0,0.8,3.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
2,2,11,5.5,1,6,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,16,17,L,401547400,2023 Regular Season,Lil'Jordan Humphrey,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,33,35,L,401547416,2023 Regular Season,Lil'Jordan Humphrey,2023,Regular Season,2,11.0,2.0,1.0,2.0,11.0,2.0,1.0,2.0,11.0,2.0,1.0,2.0,5.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,70,20,L,401547429,2023 Regular Season,Lil'Jordan Humphrey,2023,Regular Season,3,15.0,3.0,1.0,4.0,7.5,1.5,0.5,2.0,7.5,1.5,0.5,2.0,4.0,0.5,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,28,31,W,401547444,2023 Regular Season,Lil'Jordan Humphrey,2023,Regular Season,4,15.0,3.0,1.0,4.0,5.0,1.0,0.3333333333333333,1.3333333333333333,5.0,1.0,0.3333333333333333,1.3333333333333333,0.0,0.25,0,0
