receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-06T01:15:00.000+00:00,17,16,L,401437887,2022 Regular Season,Lucas Krull,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-14T01:15:00.000+00:00,22,24,W,401547537,2023 Regular Season,Lucas Krull,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,22,17,L,401547571,2023 Regular Season,Lucas Krull,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
1,1,35,35.0,0,35,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T21:25:00.000+00:00,7,24,W,401547584,2023 Regular Season,Lucas Krull,2023,Regular Season,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
1,3,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T01:15:00.000+00:00,42,17,L,401547606,2023 Regular Season,Lucas Krull,2023,Regular Season,4,35.0,1.0,0.0,3.0,11.666666666666666,0.3333333333333333,0.0,1.0,11.666666666666666,0.3333333333333333,0.0,1.0,35.0,0.0,0,0
4,5,28,7.0,1,9,0,0,0.0,0,0,0,0,0,0,16,2023-12-25T01:15:00.000+00:00,23,26,L,401547621,2023 Regular Season,Lucas Krull,2023,Regular Season,5,53.0,2.0,0.0,6.0,13.25,0.5,0.0,1.5,17.666666666666668,0.6666666666666666,0.0,1.6666666666666667,18.0,0.0,0,1
2,2,14,7.0,0,11,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T21:25:00.000+00:00,16,9,W,401547630,2023 Regular Season,Lucas Krull,2023,Regular Season,6,81.0,6.0,1.0,11.0,16.2,1.2,0.2,2.2,27.0,2.0,0.3333333333333333,3.0,7.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,27,14,L,401547646,2023 Regular Season,Lucas Krull,2023,Regular Season,7,95.0,8.0,1.0,13.0,15.833333333333334,1.3333333333333333,0.16666666666666666,2.1666666666666665,20.0,2.3333333333333335,0.3333333333333333,3.3333333333333335,7.0,0.09090909090909091,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:05:00.000+00:00,34,18,W,401671747,2024 Regular Season,Lucas Krull,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,4,11,5.5,0,8,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T20:05:00.000+00:00,16,23,L,401671655,2024 Regular Season,Lucas Krull,2024,Regular Season,2,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,0.0,0,0
