receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,3,18,6.0,0,10,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:25:00.000+00:00,37,20,L,401671770,2024 Regular Season,Luke McCaffrey,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,21,18,W,401671716,2024 Regular Season,Luke McCaffrey,2024,Regular Season,2,18.0,3.0,0.0,3.0,18.0,3.0,0.0,3.0,18.0,3.0,0.0,3.0,6.0,0.0,0,0
3,3,44,14.7,0,30,0,0,0.0,0,0,0,0,0,0,3,2024-09-24T00:15:00.000+00:00,33,38,W,401671490,2024 Regular Season,Luke McCaffrey,2024,Regular Season,3,18.0,3.0,0.0,3.0,9.0,1.5,0.0,1.5,9.0,1.5,0.0,1.5,0.0,0.0,0,0
1,1,17,17.0,0,17,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,14,42,W,401671755,2024 Regular Season,Luke McCaffrey,2024,Regular Season,4,62.0,6.0,0.0,6.0,20.666666666666668,2.0,0.0,2.0,20.666666666666668,2.0,0.0,2.0,14.666666666666666,0.0,0,0
3,3,19,6.3,0,9,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,34,13,W,401671718,2024 Regular Season,Luke McCaffrey,2024,Regular Season,5,79.0,7.0,0.0,7.0,19.75,1.75,0.0,1.75,20.333333333333332,1.3333333333333333,0.0,1.3333333333333333,17.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,30,23,L,401671625,2024 Regular Season,Luke McCaffrey,2024,Regular Season,6,98.0,10.0,0.0,10.0,19.6,2.0,0.0,2.0,26.666666666666668,2.3333333333333335,0.0,2.3333333333333335,6.333333333333333,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,40,7,W,401671640,2024 Regular Season,Luke McCaffrey,2024,Regular Season,7,103.0,11.0,0.0,11.0,17.166666666666668,1.8333333333333333,0.0,1.8333333333333333,13.666666666666666,1.6666666666666667,0.0,1.6666666666666667,5.0,0.0,0,0
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,18,15,W,401671599,2024 Regular Season,Luke McCaffrey,2024,Regular Season,8,103.0,11.0,0.0,11.0,14.714285714285714,1.5714285714285714,0.0,1.5714285714285714,8.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,22,27,W,401671711,2024 Regular Season,Luke McCaffrey,2024,Regular Season,9,111.0,12.0,0.0,13.0,13.875,1.5,0.0,1.625,4.333333333333333,0.6666666666666666,0.0,1.0,8.0,0.0,0,0
1,3,23,23.0,0,23,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,27,28,L,401671641,2024 Regular Season,Luke McCaffrey,2024,Regular Season,10,111.0,12.0,0.0,13.0,12.333333333333334,1.3333333333333333,0.0,1.4444444444444444,2.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,11,2024-11-15T01:15:00.000+00:00,26,18,L,401671813,2024 Regular Season,Luke McCaffrey,2024,Regular Season,11,134.0,13.0,0.0,16.0,13.4,1.3,0.0,1.6,10.333333333333334,0.6666666666666666,0.0,1.6666666666666667,23.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,12,2024-11-24T18:00:00.000+00:00,26,34,L,401671715,2024 Regular Season,Luke McCaffrey,2024,Regular Season,12,134.0,13.0,0.0,17.0,12.181818181818182,1.1818181818181819,0.0,1.5454545454545454,7.666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
2,2,13,6.5,0,7,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,42,19,W,401671743,2024 Regular Season,Luke McCaffrey,2024,Regular Season,13,142.0,14.0,0.0,18.0,11.833333333333334,1.1666666666666667,0.0,1.5,10.333333333333334,0.6666666666666666,0.0,1.6666666666666667,8.0,0.0,0,0
