receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,24,19,L,401437643,2022 Regular Season,Mack Hollins,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,8,66,13.2,0,23,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,23,29,L,401437642,2022 Regular Season,Mack Hollins,2022,Regular Season,2,16.0,1.0,0.0,1.0,16.0,1.0,0.0,1.0,16.0,1.0,0.0,1.0,16.0,0.0,0,0
8,11,158,19.8,1,60,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,24,22,L,401437741,2022 Regular Season,Mack Hollins,2022,Regular Season,3,82.0,6.0,0.0,9.0,41.0,3.0,0.0,4.5,41.0,3.0,0.0,4.5,13.2,0.0,0,1
3,5,33,11.0,0,16,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,32,23,W,401437760,2022 Regular Season,Mack Hollins,2022,Regular Season,4,240.0,14.0,1.0,20.0,80.0,4.666666666666667,0.3333333333333333,6.666666666666667,80.0,4.666666666666667,0.3333333333333333,6.666666666666667,19.75,0.0,0,0
0,4,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-11T00:15:00.000+00:00,30,29,L,401437776,2022 Regular Season,Mack Hollins,2022,Regular Season,5,273.0,17.0,1.0,25.0,68.25,4.25,0.25,6.25,85.66666666666667,5.333333333333333,0.3333333333333333,8.0,11.0,0.05,0,0
2,3,44,22.0,1,26,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,38,20,W,401437800,2022 Regular Season,Mack Hollins,2022,Regular Season,6,273.0,17.0,1.0,29.0,54.6,3.4,0.2,5.8,63.666666666666664,3.6666666666666665,0.3333333333333333,6.666666666666667,0.0,0.04,0,1
7,8,64,9.1,0,14,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,24,0,L,401437810,2022 Regular Season,Mack Hollins,2022,Regular Season,7,317.0,19.0,2.0,32.0,52.833333333333336,3.1666666666666665,0.3333333333333333,5.333333333333333,25.666666666666668,1.6666666666666667,0.3333333333333333,4.0,22.0,0.034482758620689655,0,0
2,4,17,8.5,0,13,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,27,20,L,401437824,2022 Regular Season,Mack Hollins,2022,Regular Season,8,381.0,26.0,2.0,40.0,54.42857142857143,3.7142857142857144,0.2857142857142857,5.714285714285714,36.0,3.0,0.3333333333333333,5.0,9.142857142857142,0.0625,0,0
2,6,18,9.0,0,12,1,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:05:00.000+00:00,20,25,L,401437840,2022 Regular Season,Mack Hollins,2022,Regular Season,9,398.0,28.0,2.0,44.0,49.75,3.5,0.25,5.5,41.666666666666664,3.6666666666666665,0.3333333333333333,5.0,8.5,0.05,0,0
6,9,52,8.7,0,18,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:05:00.000+00:00,16,22,W,401437853,2022 Regular Season,Mack Hollins,2022,Regular Season,10,416.0,30.0,2.0,50.0,46.22222222222222,3.3333333333333335,0.2222222222222222,5.555555555555555,33.0,3.6666666666666665,0.0,6.0,9.0,0.045454545454545456,0,0
4,5,63,15.8,1,36,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,34,40,W,401437868,2022 Regular Season,Mack Hollins,2022,Regular Season,11,468.0,36.0,2.0,59.0,46.8,3.6,0.2,5.9,29.0,3.3333333333333335,0.0,6.333333333333333,8.666666666666666,0.04,0,1
5,9,35,7.0,0,14,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:25:00.000+00:00,27,20,W,401437885,2022 Regular Season,Mack Hollins,2022,Regular Season,12,531.0,40.0,3.0,64.0,48.27272727272727,3.6363636363636362,0.2727272727272727,5.818181818181818,44.333333333333336,4.0,0.3333333333333333,6.666666666666667,15.75,0.03389830508474576,0,0
2,4,22,11.0,0,15,3,40,13.3,17,0,0,0,0,0,14,2022-12-09T01:15:00.000+00:00,17,16,L,401437888,2022 Regular Season,Mack Hollins,2022,Regular Season,13,566.0,45.0,3.0,73.0,47.166666666666664,3.75,0.25,6.083333333333333,50.0,5.0,0.3333333333333333,7.666666666666667,7.0,0.046875,0,0
4,8,40,10.0,1,13,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,30,24,W,401437915,2022 Regular Season,Mack Hollins,2022,Regular Season,14,588.0,47.0,3.0,77.0,45.23076923076923,3.6153846153846154,0.23076923076923078,5.923076923076923,40.0,3.6666666666666665,0.3333333333333333,6.0,11.0,0.0410958904109589,0,1
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T01:15:00.000+00:00,13,10,L,401437928,2022 Regular Season,Mack Hollins,2022,Regular Season,15,628.0,51.0,4.0,85.0,44.857142857142854,3.642857142857143,0.2857142857142857,6.071428571428571,32.333333333333336,3.6666666666666665,0.3333333333333333,7.0,10.0,0.03896103896103896,0,0
3,4,40,13.3,0,21,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:05:00.000+00:00,34,37,L,401437943,2022 Regular Season,Mack Hollins,2022,Regular Season,16,635.0,52.0,4.0,87.0,42.333333333333336,3.466666666666667,0.26666666666666666,5.8,23.0,2.3333333333333335,0.3333333333333333,4.666666666666667,7.0,0.047058823529411764,0,0
2,3,15,7.5,0,12,0,0,0.0,0,0,0,0,0,0,18,2023-01-07T21:30:00.000+00:00,13,31,L,401437961,2022 Regular Season,Mack Hollins,2022,Regular Season,17,675.0,55.0,4.0,91.0,42.1875,3.4375,0.25,5.6875,29.0,2.6666666666666665,0.3333333333333333,4.666666666666667,13.333333333333334,0.04597701149425287,0,0
3,4,31,10.3,0,11,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,10,W,401547403,2023 Regular Season,Mack Hollins,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,6,60,20.0,0,45,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,25,24,W,401547417,2023 Regular Season,Mack Hollins,2023,Regular Season,2,31.0,3.0,0.0,4.0,31.0,3.0,0.0,4.0,31.0,3.0,0.0,4.0,10.333333333333334,0.0,0,0
1,4,23,23.0,0,23,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,20,6,L,401547433,2023 Regular Season,Mack Hollins,2023,Regular Season,3,91.0,6.0,0.0,10.0,45.5,3.0,0.0,5.0,45.5,3.0,0.0,5.0,20.0,0.0,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T13:30:00.000+00:00,23,7,L,401547227,2023 Regular Season,Mack Hollins,2023,Regular Season,4,114.0,7.0,0.0,14.0,38.0,2.3333333333333335,0.0,4.666666666666667,38.0,2.3333333333333335,0.0,4.666666666666667,23.0,0.0,0,0
2,2,29,14.5,0,19,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,21,19,W,401547463,2023 Regular Season,Mack Hollins,2023,Regular Season,5,114.0,7.0,0.0,17.0,28.5,1.75,0.0,4.25,27.666666666666668,1.3333333333333333,0.0,4.333333333333333,0.0,0.0,0,0
3,4,41,13.7,0,18,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,16,24,L,401547470,2023 Regular Season,Mack Hollins,2023,Regular Season,6,143.0,9.0,0.0,19.0,28.6,1.8,0.0,3.8,17.333333333333332,1.0,0.0,3.0,14.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,13,16,W,401547491,2023 Regular Season,Mack Hollins,2023,Regular Season,7,184.0,12.0,0.0,23.0,30.666666666666668,2.0,0.0,3.8333333333333335,23.333333333333332,1.6666666666666667,0.0,3.0,13.666666666666666,0.0,0,0
2,3,27,13.5,0,20,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,28,23,L,401547500,2023 Regular Season,Mack Hollins,2023,Regular Season,8,184.0,12.0,0.0,23.0,26.285714285714285,1.7142857142857142,0.0,3.2857142857142856,23.333333333333332,1.6666666666666667,0.0,2.0,0.0,0.0,0,0
3,3,36,12.0,0,18,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,28,31,L,401547518,2023 Regular Season,Mack Hollins,2023,Regular Season,9,211.0,14.0,0.0,26.0,26.375,1.75,0.0,3.25,22.666666666666668,1.6666666666666667,0.0,2.3333333333333335,13.5,0.0,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,25,29,L,401547579,2023 Regular Season,Mack Hollins,2023,Regular Season,10,247.0,17.0,0.0,29.0,27.444444444444443,1.8888888888888888,0.0,3.2222222222222223,21.0,1.6666666666666667,0.0,2.0,12.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,29,10,W,401547616,2023 Regular Season,Mack Hollins,2023,Regular Season,11,251.0,18.0,0.0,30.0,25.1,1.8,0.0,3.0,22.333333333333332,2.0,0.0,2.3333333333333335,4.0,0.0,0,0
