receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
5,7,66,13.2,0,25,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,6,28,L,401671712,2024 Regular Season,Malik Nabers,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
10,18,127,12.7,1,28,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,21,18,L,401671716,2024 Regular Season,Malik Nabers,2024,Regular Season,2,66.0,5.0,0.0,7.0,66.0,5.0,0.0,7.0,66.0,5.0,0.0,7.0,13.2,0.0,0,1
8,12,78,9.8,2,28,2,4,2.0,2,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,15,21,W,401671855,2024 Regular Season,Malik Nabers,2024,Regular Season,3,193.0,15.0,1.0,25.0,96.5,7.5,0.5,12.5,96.5,7.5,0.5,12.5,12.7,0.0,0,1
12,15,115,9.6,0,39,1,-4,-4.0,-4,0,0,0,0,0,4,2024-09-27T00:15:00.000+00:00,15,20,L,401671812,2024 Regular Season,Malik Nabers,2024,Regular Season,4,271.0,23.0,3.0,37.0,90.33333333333333,7.666666666666667,1.0,12.333333333333334,90.33333333333333,7.666666666666667,1.0,12.333333333333334,9.75,0.04,0,0
4,8,41,10.3,0,14,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,3,28,L,401671710,2024 Regular Season,Malik Nabers,2024,Regular Season,5,386.0,35.0,3.0,52.0,96.5,8.75,0.75,13.0,106.66666666666667,10.0,1.0,15.0,9.583333333333334,0.08108108108108109,0,0
7,13,71,10.1,0,16,0,0,0.0,0,0,0,0,0,0,8,2024-10-29T00:15:00.000+00:00,26,18,L,401671685,2024 Regular Season,Malik Nabers,2024,Regular Season,6,427.0,39.0,3.0,60.0,85.4,7.8,0.6,12.0,78.0,8.0,0.6666666666666666,11.666666666666666,10.25,0.057692307692307696,0,0
9,11,59,6.6,0,16,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,22,27,L,401671711,2024 Regular Season,Malik Nabers,2024,Regular Season,7,498.0,46.0,3.0,73.0,83.0,7.666666666666667,0.5,12.166666666666666,75.66666666666667,7.666666666666667,0.0,12.0,10.142857142857142,0.05,0,0
6,10,50,8.3,0,19,1,-2,-2.0,-2,0,0,0,0,0,10,2024-11-10T14:30:00.000+00:00,20,17,L,401671803,2024 Regular Season,Malik Nabers,2024,Regular Season,8,557.0,55.0,3.0,84.0,79.57142857142857,7.857142857142857,0.42857142857142855,12.0,57.0,6.666666666666667,0.0,10.666666666666666,6.555555555555555,0.0410958904109589,0,0
6,9,64,10.7,0,21,0,0,0.0,0,0,1,0,-,-,12,2024-11-24T18:00:00.000+00:00,7,30,L,401671638,2024 Regular Season,Malik Nabers,2024,Regular Season,9,607.0,61.0,3.0,94.0,75.875,7.625,0.375,11.75,60.0,7.333333333333333,0.0,11.333333333333334,8.333333333333334,0.03571428571428571,0,0
8,13,69,8.6,0,18,1,4,4.0,4,0,0,0,-,-,13,2024-11-28T21:30:00.000+00:00,27,20,L,401671779,2024 Regular Season,Malik Nabers,2024,Regular Season,10,671.0,67.0,3.0,103.0,74.55555555555556,7.444444444444445,0.3333333333333333,11.444444444444445,57.666666666666664,7.0,0.0,10.0,10.666666666666666,0.031914893617021274,0,0
