receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,23,7,L,401437649,2022 Regular Season,Marcedes Lewis,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T00:20:00.000+00:00,27,10,W,401437606,2022 Regular Season,Marcedes Lewis,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,14,W,401437607,2022 Regular Season,Marcedes Lewis,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,27,24,W,401437759,2022 Regular Season,Marcedes Lewis,2022,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,2,2.0,1,2,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T13:30:00.000+00:00,22,27,L,401435640,2022 Regular Season,Marcedes Lewis,2022,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,10,27,L,401437780,2022 Regular Season,Marcedes Lewis,2022,Regular Season,6,2.0,1.0,1.0,1.0,0.4,0.2,0.2,0.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,21,L,401437798,2022 Regular Season,Marcedes Lewis,2022,Regular Season,7,2.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-31T00:20:00.000+00:00,27,17,L,401437817,2022 Regular Season,Marcedes Lewis,2022,Regular Season,8,2.0,1.0,1.0,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0,0
1,1,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,15,9,L,401437823,2022 Regular Season,Marcedes Lewis,2022,Regular Season,9,2.0,1.0,1.0,1.0,0.25,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1,1,-1,-1.0,0,-1,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,31,28,W,401437131,2022 Regular Season,Marcedes Lewis,2022,Regular Season,10,21.0,2.0,1.0,2.0,2.3333333333333335,0.2222222222222222,0.1111111111111111,0.2222222222222222,6.333333333333333,0.3333333333333333,0.0,0.3333333333333333,19.0,1.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-18T01:15:00.000+00:00,17,27,L,401437844,2022 Regular Season,Marcedes Lewis,2022,Regular Season,11,20.0,3.0,1.0,3.0,2.0,0.3,0.1,0.3,6.0,0.6666666666666666,0.0,0.6666666666666666,-1.0,0.5,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-28T01:20:00.000+00:00,40,33,L,401437871,2022 Regular Season,Marcedes Lewis,2022,Regular Season,12,20.0,3.0,1.0,3.0,1.8181818181818181,0.2727272727272727,0.09090909090909091,0.2727272727272727,6.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,19,28,W,401437876,2022 Regular Season,Marcedes Lewis,2022,Regular Season,13,20.0,3.0,1.0,3.0,1.6666666666666667,0.25,0.08333333333333333,0.25,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0
1,1,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,15,2022-12-20T01:15:00.000+00:00,24,12,W,401437916,2022 Regular Season,Marcedes Lewis,2022,Regular Season,14,20.0,3.0,1.0,4.0,1.5384615384615385,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0
2,2,32,16.0,1,31,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T18:00:00.000+00:00,20,26,W,401437929,2022 Regular Season,Marcedes Lewis,2022,Regular Season,15,34.0,4.0,1.0,5.0,2.4285714285714284,0.2857142857142857,0.07142857142857142,0.35714285714285715,4.666666666666667,0.3333333333333333,0.0,0.6666666666666666,14.0,0.25,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:25:00.000+00:00,41,17,W,401437945,2022 Regular Season,Marcedes Lewis,2022,Regular Season,16,66.0,6.0,2.0,7.0,4.4,0.4,0.13333333333333333,0.4666666666666667,15.333333333333334,1.0,0.3333333333333333,1.3333333333333333,16.0,0.2,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-09T01:20:00.000+00:00,16,20,L,401437952,2022 Regular Season,Marcedes Lewis,2022,Regular Season,17,66.0,6.0,2.0,7.0,4.125,0.375,0.125,0.4375,15.333333333333334,1.0,0.3333333333333333,1.0,0.0,0.2857142857142857,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,38,L,401547407,2023 Regular Season,Marcedes Lewis,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,17,L,401547420,2023 Regular Season,Marcedes Lewis,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:25:00.000+00:00,41,10,L,401547438,2023 Regular Season,Marcedes Lewis,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,28,31,L,401547444,2023 Regular Season,Marcedes Lewis,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-06T00:15:00.000+00:00,20,40,W,401547457,2023 Regular Season,Marcedes Lewis,2023,Regular Season,5,8.0,1.0,0.0,1.0,2.0,0.25,0.0,0.25,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,13,19,L,401547475,2023 Regular Season,Marcedes Lewis,2023,Regular Season,6,8.0,1.0,0.0,1.0,1.6,0.2,0.0,0.2,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,30,12,W,401547490,2023 Regular Season,Marcedes Lewis,2023,Regular Season,7,8.0,1.0,0.0,1.0,1.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-30T00:20:00.000+00:00,30,13,L,401547510,2023 Regular Season,Marcedes Lewis,2023,Regular Season,8,24.0,2.0,0.0,2.0,3.4285714285714284,0.2857142857142857,0.0,0.2857142857142857,5.333333333333333,0.3333333333333333,0.0,0.3333333333333333,16.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,24,17,L,401547516,2023 Regular Season,Marcedes Lewis,2023,Regular Season,9,24.0,2.0,0.0,2.0,3.0,0.25,0.0,0.25,5.333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
