receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
5,7,52,10.4,0,17,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,W,401437632,2022 Regular Season,Mark Andrews,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
9,11,104,11.6,1,25,1,3,3.0,3,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,L,401437633,2022 Regular Season,Mark Andrews,2022,Regular Season,2,52.0,5.0,0.0,7.0,52.0,5.0,0.0,7.0,52.0,5.0,0.0,7.0,10.4,0.0,0,1
8,13,89,11.1,2,25,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,W,401437631,2022 Regular Season,Mark Andrews,2022,Regular Season,3,156.0,14.0,1.0,18.0,78.0,7.0,0.5,9.0,78.0,7.0,0.5,9.0,11.555555555555555,0.0,0,1
2,5,15,7.5,0,9,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,L,401437750,2022 Regular Season,Mark Andrews,2022,Regular Season,4,245.0,22.0,3.0,31.0,81.66666666666667,7.333333333333333,1.0,10.333333333333334,81.66666666666667,7.333333333333333,1.0,10.333333333333334,11.125,0.05555555555555555,0,0
8,10,89,11.1,1,20,0,0,0.0,0,0,0,0,0,0,5,2022-10-10T00:20:00.000+00:00,19,17,W,401437775,2022 Regular Season,Mark Andrews,2022,Regular Season,5,260.0,24.0,3.0,36.0,65.0,6.0,0.75,9.0,69.33333333333333,6.333333333333333,1.0,9.666666666666666,7.5,0.0967741935483871,0,1
7,11,106,15.1,1,18,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,L,401437784,2022 Regular Season,Mark Andrews,2022,Regular Season,6,349.0,32.0,4.0,46.0,69.8,6.4,0.8,9.2,64.33333333333333,6.0,1.0,9.333333333333334,11.125,0.08333333333333333,0,1
0,2,0,0.0,0,0,1,4,4.0,4,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,W,401437792,2022 Regular Season,Mark Andrews,2022,Regular Season,7,455.0,39.0,5.0,57.0,75.83333333333333,6.5,0.8333333333333334,9.5,70.0,5.666666666666667,0.6666666666666666,8.666666666666666,15.142857142857142,0.08695652173913043,0,0
3,5,33,11.0,0,22,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,W,401437805,2022 Regular Season,Mark Andrews,2022,Regular Season,8,455.0,39.0,5.0,59.0,65.0,5.571428571428571,0.7142857142857143,8.428571428571429,65.0,5.0,0.6666666666666666,7.666666666666667,0.0,0.08771929824561403,0,0
6,8,63,10.5,0,16,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,13,3,W,401437846,2022 Regular Season,Mark Andrews,2022,Regular Season,9,488.0,42.0,5.0,64.0,61.0,5.25,0.625,8.0,46.333333333333336,3.3333333333333335,0.3333333333333333,6.0,11.0,0.0847457627118644,0,0
4,7,50,12.5,0,25,0,0,0.0,0,0,1,0,0,0,12,2022-11-27T18:00:00.000+00:00,28,27,L,401437862,2022 Regular Season,Mark Andrews,2022,Regular Season,10,551.0,48.0,5.0,72.0,61.22222222222222,5.333333333333333,0.5555555555555556,8.0,32.0,3.0,0.0,5.0,10.5,0.078125,0,0
4,7,53,13.3,0,22,1,1,1.0,1,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,10,9,W,401437875,2022 Regular Season,Mark Andrews,2022,Regular Season,11,601.0,52.0,5.0,79.0,60.1,5.2,0.5,7.9,48.666666666666664,4.333333333333333,0.0,6.666666666666667,12.5,0.06944444444444445,0,0
2,6,17,8.5,0,10,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,14,16,W,401437894,2022 Regular Season,Mark Andrews,2022,Regular Season,12,654.0,56.0,5.0,86.0,59.45454545454545,5.090909090909091,0.45454545454545453,7.818181818181818,55.333333333333336,4.666666666666667,0.0,7.333333333333333,13.25,0.06329113924050633,0,0
3,7,31,10.3,0,19,0,0,0.0,0,0,0,0,0,0,15,2022-12-17T21:40:00.000+00:00,13,3,L,401437903,2022 Regular Season,Mark Andrews,2022,Regular Season,13,671.0,58.0,5.0,92.0,55.916666666666664,4.833333333333333,0.4166666666666667,7.666666666666667,40.0,3.3333333333333335,0.0,6.666666666666667,8.5,0.05813953488372093,0,0
3,5,45,15.0,0,36,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,17,9,W,401437918,2022 Regular Season,Mark Andrews,2022,Regular Season,14,702.0,61.0,5.0,99.0,54.0,4.6923076923076925,0.38461538461538464,7.615384615384615,33.666666666666664,3.0,0.0,6.666666666666667,10.333333333333334,0.05434782608695652,0,0
9,9,100,11.1,0,19,0,0,0.0,0,0,0,0,0,0,17,2023-01-02T01:20:00.000+00:00,13,16,L,401437934,2022 Regular Season,Mark Andrews,2022,Regular Season,15,747.0,64.0,5.0,104.0,53.357142857142854,4.571428571428571,0.35714285714285715,7.428571428571429,31.0,2.6666666666666665,0.0,6.0,15.0,0.050505050505050504,0,0
5,8,45,9.0,1,20,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,W,401547412,2023 Regular Season,Mark Andrews,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
4,5,35,8.8,0,20,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,19,22,L,401547427,2023 Regular Season,Mark Andrews,2023,Regular Season,2,45.0,5.0,1.0,8.0,45.0,5.0,1.0,8.0,45.0,5.0,1.0,8.0,9.0,0.0,0,0
5,5,80,16.0,2,36,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,3,28,W,401547445,2023 Regular Season,Mark Andrews,2023,Regular Season,3,80.0,9.0,1.0,13.0,40.0,4.5,0.5,6.5,40.0,4.5,0.5,6.5,8.75,0.125,0,1
6,10,65,10.8,0,16,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,17,10,L,401547460,2023 Regular Season,Mark Andrews,2023,Regular Season,4,160.0,14.0,3.0,18.0,53.333333333333336,4.666666666666667,1.0,6.0,53.333333333333336,4.666666666666667,1.0,6.0,16.0,0.07692307692307693,0,0
4,6,69,17.3,0,38,1,0,0.0,0,0,0,0,0,0,6,2023-10-15T13:30:00.000+00:00,16,24,W,401547229,2023 Regular Season,Mark Andrews,2023,Regular Season,5,225.0,20.0,3.0,28.0,56.25,5.0,0.75,7.0,60.0,5.0,0.6666666666666666,6.666666666666667,10.833333333333334,0.16666666666666666,0,0
4,6,63,15.8,2,22,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,6,W,401547489,2023 Regular Season,Mark Andrews,2023,Regular Season,6,294.0,24.0,3.0,34.0,58.8,4.8,0.6,6.8,71.33333333333333,5.0,0.6666666666666666,7.0,17.25,0.10714285714285714,0,1
4,5,40,10.0,1,13,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,31,W,401547501,2023 Regular Season,Mark Andrews,2023,Regular Season,7,357.0,28.0,5.0,40.0,59.5,4.666666666666667,0.8333333333333334,6.666666666666667,65.66666666666667,4.666666666666667,0.6666666666666666,7.333333333333333,15.75,0.08823529411764706,0,1
9,10,80,8.9,0,16,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,W,401547513,2023 Regular Season,Mark Andrews,2023,Regular Season,8,397.0,32.0,6.0,45.0,56.714285714285715,4.571428571428571,0.8571428571428571,6.428571428571429,57.333333333333336,4.0,1.0,5.666666666666667,10.0,0.125,0,0
2,4,44,22.0,0,36,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,31,33,L,401547531,2023 Regular Season,Mark Andrews,2023,Regular Season,9,477.0,41.0,6.0,55.0,59.625,5.125,0.75,6.875,61.0,5.666666666666667,1.0,7.0,8.88888888888889,0.13333333333333333,0,0
2,2,23,11.5,0,14,0,0,0.0,0,0,1,0,0,0,11,2023-11-17T01:15:00.000+00:00,34,20,W,401547538,2023 Regular Season,Mark Andrews,2023,Regular Season,10,521.0,43.0,6.0,59.0,57.888888888888886,4.777777777777778,0.6666666666666666,6.555555555555555,54.666666666666664,5.0,0.3333333333333333,6.333333333333333,22.0,0.10909090909090909,0,0
2,2,14,7.0,0,11,0,0,0.0,0,0,0,0,0,0,1,2024-09-06T00:40:00.000+00:00,27,20,L,401671789,2024 Regular Season,Mark Andrews,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
