receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,4,44,11.0,0,17,1,-3,-3.0,-3,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,21,44,W,401437653,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,7,13,6.5,0,7,0,0,0.0,0,0,0,0,0,0,2,2022-09-16T00:15:00.000+00:00,27,24,W,401434030,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,2,44.0,4.0,0.0,4.0,44.0,4.0,0.0,4.0,44.0,4.0,0.0,4.0,11.0,0.0,0,0
4,7,48,12.0,0,24,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,L,401437638,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,3,57.0,6.0,0.0,11.0,28.5,3.0,0.0,5.5,28.5,3.0,0.0,5.5,6.5,0.0,0,0
3,5,63,21.0,0,36,0,0,0.0,0,0,0,0,0,0,4,2022-10-03T00:20:00.000+00:00,31,41,W,401437470,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,4,105.0,10.0,0.0,18.0,35.0,3.3333333333333335,0.0,6.0,35.0,3.3333333333333335,0.0,6.0,12.0,0.0,0,0
6,8,90,15.0,0,23,0,0,0.0,0,0,0,0,0,0,5,2022-10-11T00:15:00.000+00:00,30,29,W,401437776,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,5,168.0,13.0,0.0,23.0,42.0,3.25,0.0,5.75,41.333333333333336,3.0,0.0,6.333333333333333,21.0,0.0,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:25:00.000+00:00,20,24,L,401437788,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,6,258.0,19.0,0.0,31.0,51.6,3.8,0.0,6.2,67.0,4.333333333333333,0.0,6.666666666666667,15.0,0.0,0,0
3,4,111,37.0,0,57,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,44,W,401437802,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,7,258.0,19.0,0.0,34.0,43.0,3.1666666666666665,0.0,5.666666666666667,51.0,3.0,0.0,5.333333333333333,0.0,0.0,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,W,401437830,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,8,369.0,22.0,0.0,38.0,52.714285714285715,3.142857142857143,0.0,5.428571428571429,67.0,3.0,0.0,5.0,37.0,0.0,0,0
3,4,60,20.0,1,36,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,27,17,W,401437835,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,9,381.0,23.0,0.0,39.0,47.625,2.875,0.0,4.875,41.0,1.3333333333333333,0.0,2.6666666666666665,12.0,0.0,0,1
1,4,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,11,2022-11-21T01:20:00.000+00:00,27,30,W,401437854,2022 Regular Season,Marquez Valdes-Scantling,2022,Regular Season,10,441.0,26.0,1.0,43.0,49.0,2.888888888888889,0.1111111111111111,4.777777777777778,61.0,2.3333333333333335,0.3333333333333333,3.0,20.0,0.0,0,0
