receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,3,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,34,28,L,401671617,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,8,130,32.5,2,60,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:05:00.000+00:00,41,10,W,401671754,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,2,4.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,0.0,0,1
5,11,64,12.8,1,17,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,13,20,L,401671771,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,3,134.0,5.0,2.0,11.0,67.0,2.5,1.0,5.5,67.0,2.5,1.0,5.5,32.5,0.0,0,1
5,6,45,9.0,1,19,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,14,42,L,401671755,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,4,198.0,10.0,3.0,22.0,66.0,3.3333333333333335,1.0,7.333333333333333,66.0,3.3333333333333335,1.0,7.333333333333333,12.8,0.18181818181818182,0,1
2,7,36,18.0,0,22,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:05:00.000+00:00,23,24,W,401671756,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,5,243.0,15.0,4.0,28.0,60.75,3.75,1.0,7.0,79.66666666666667,4.666666666666667,1.3333333333333333,8.333333333333334,9.0,0.13636363636363635,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,34,13,L,401671722,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,6,279.0,17.0,4.0,35.0,55.8,3.4,0.8,7.0,48.333333333333336,4.0,0.6666666666666666,8.0,18.0,0.14285714285714285,0,0
3,6,21,7.0,0,10,0,0,0.0,0,0,0,0,0,0,7,2024-10-22T01:00:00.000+00:00,17,15,W,401671699,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,7,279.0,17.0,4.0,37.0,46.5,2.8333333333333335,0.6666666666666666,6.166666666666667,27.0,2.3333333333333335,0.3333333333333333,5.0,0.0,0.11428571428571428,0,0
6,7,111,18.5,1,25,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,27,28,W,401671850,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,8,300.0,20.0,4.0,43.0,42.857142857142854,2.857142857142857,0.5714285714285714,6.142857142857143,19.0,1.6666666666666667,0.0,5.0,7.0,0.10810810810810811,0,1
2,5,34,17.0,0,21,0,0,0.0,0,0,1,1,0,0,9,2024-11-03T21:05:00.000+00:00,29,9,W,401671661,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,9,411.0,26.0,5.0,50.0,51.375,3.25,0.625,6.25,44.0,3.0,0.3333333333333333,5.0,18.5,0.09302325581395349,0,0
5,5,54,10.8,1,18,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:25:00.000+00:00,31,6,W,401671678,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,10,445.0,28.0,5.0,55.0,49.44444444444444,3.111111111111111,0.5555555555555556,6.111111111111111,55.333333333333336,3.6666666666666665,0.3333333333333333,6.0,17.0,0.1,0,1
3,6,47,15.7,0,22,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T21:25:00.000+00:00,16,6,L,401671775,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,11,499.0,33.0,6.0,60.0,49.9,3.3,0.6,6.0,66.33333333333333,4.333333333333333,0.6666666666666666,5.666666666666667,10.8,0.09090909090909091,0,0
5,12,60,12.0,1,16,0,0,0.0,0,0,0,0,0,0,13,2024-12-01T18:00:00.000+00:00,23,22,L,401671726,2024 Regular Season,Marvin Harrison Jr.,2024,Regular Season,12,546.0,36.0,6.0,66.0,49.63636363636363,3.272727272727273,0.5454545454545454,6.0,45.0,3.3333333333333335,0.3333333333333333,5.333333333333333,15.666666666666666,0.1,0,1
