receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,2,9,4.5,0,5,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,16,17,L,401547400,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,113,56.5,1,60,2,10,5.0,8,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,33,35,L,401547416,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,2,9.0,2.0,0.0,2.0,9.0,2.0,0.0,2.0,9.0,2.0,0.0,2.0,4.5,0.0,0,1
3,5,73,24.3,0,38,1,3,3.0,3,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,70,20,L,401547429,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,3,122.0,4.0,1.0,4.0,61.0,2.0,0.5,2.0,61.0,2.0,0.5,2.0,56.5,0.0,0,0
2,2,47,23.5,0,48,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,28,31,W,401547444,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,4,195.0,7.0,1.0,9.0,65.0,2.3333333333333335,0.3333333333333333,3.0,65.0,2.3333333333333335,0.3333333333333333,3.0,24.333333333333332,0.25,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,1,1,0,0,5,2023-10-08T20:25:00.000+00:00,21,31,L,401547461,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,5,242.0,9.0,1.0,11.0,60.5,2.25,0.25,2.75,77.66666666666667,2.3333333333333335,0.3333333333333333,3.0,23.5,0.1111111111111111,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-13T00:15:00.000+00:00,19,8,L,401547469,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,6,246.0,10.0,1.0,12.0,49.2,2.0,0.2,2.4,41.333333333333336,2.0,0.0,2.6666666666666665,4.0,0.09090909090909091,0,0
0,1,0,0.0,0,0,1,-11,-11.0,-11,0,0,0,0,0,7,2023-10-22T20:25:00.000+00:00,19,17,W,401547487,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,7,246.0,10.0,1.0,12.0,41.0,1.6666666666666667,0.16666666666666666,2.0,17.0,1.0,0.0,1.0,0.0,0.08333333333333333,0,0
1,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,9,W,401547502,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,8,246.0,10.0,1.0,13.0,35.142857142857146,1.4285714285714286,0.14285714285714285,1.8571428571428572,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0,0
0,1,0,0.0,0,0,1,-3,-3.0,-3,0,0,0,0,0,10,2023-11-14T01:15:00.000+00:00,22,24,W,401547537,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,9,246.0,11.0,1.0,14.0,30.75,1.375,0.125,1.75,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.07692307692307693,0,0
2,3,12,6.0,0,8,0,0,0.0,0,0,0,0,0,0,11,2023-11-20T01:20:00.000+00:00,21,20,W,401547550,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,10,246.0,11.0,1.0,15.0,27.333333333333332,1.2222222222222223,0.1111111111111111,1.6666666666666667,0.0,0.3333333333333333,0.0,1.0,0.0,0.07142857142857142,0,0
2,3,24,12.0,0,16,1,11,11.0,11,0,0,0,0,0,12,2023-11-26T21:05:00.000+00:00,29,12,W,401547563,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,11,258.0,13.0,1.0,18.0,25.8,1.3,0.1,1.8,4.0,1.0,0.0,1.6666666666666667,6.0,0.06666666666666667,0,0
1,2,5,5.0,0,5,1,8,8.0,8,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,22,17,L,401547571,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,12,282.0,15.0,1.0,21.0,25.636363636363637,1.3636363636363635,0.09090909090909091,1.9090909090909092,12.0,1.3333333333333333,0.0,2.3333333333333335,12.0,0.05555555555555555,0,0
2,3,11,5.5,0,8,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T21:25:00.000+00:00,7,24,W,401547584,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,13,287.0,16.0,1.0,23.0,23.916666666666668,1.3333333333333333,0.08333333333333333,1.9166666666666667,13.666666666666666,1.6666666666666667,0.0,2.6666666666666665,5.0,0.047619047619047616,0,0
0,2,0,0.0,0,0,1,11,11.0,11,0,0,0,0,0,15,2023-12-17T01:15:00.000+00:00,42,17,L,401547606,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,14,298.0,18.0,1.0,26.0,22.923076923076923,1.3846153846153846,0.07692307692307693,2.0,13.333333333333334,1.6666666666666667,0.0,2.6666666666666665,5.5,0.043478260869565216,0,0
3,4,63,21.0,0,47,0,0,0.0,0,0,1,1,0,0,16,2023-12-25T01:15:00.000+00:00,23,26,L,401547621,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,15,298.0,18.0,1.0,28.0,21.285714285714285,1.2857142857142858,0.07142857142857142,2.0,5.333333333333333,1.0,0.0,2.3333333333333335,0.0,0.038461538461538464,0,0
1,1,16,16.0,0,16,1,1,1.0,1,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,27,14,L,401547646,2023 Regular Season,Marvin Mims Jr.,2023,Regular Season,16,361.0,21.0,1.0,32.0,24.066666666666666,1.4,0.06666666666666667,2.1333333333333333,24.666666666666668,1.6666666666666667,0.0,3.0,21.0,0.03571428571428571,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:05:00.000+00:00,26,20,L,401671664,2024 Regular Season,Marvin Mims Jr.,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,10,10.0,0,8,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:25:00.000+00:00,6,13,L,401671668,2024 Regular Season,Marvin Mims Jr.,2024,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
