receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,6,16,5.3,1,8,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,21,44,W,401437653,2022 Regular Season,Mecole Hardman,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,4,49,16.3,0,30,1,-4,-4.0,-4,0,0,0,0,0,2,2022-09-16T00:15:00.000+00:00,27,24,W,401434030,2022 Regular Season,Mecole Hardman,2022,Regular Season,2,16.0,3.0,1.0,6.0,16.0,3.0,1.0,6.0,16.0,3.0,1.0,6.0,5.333333333333333,0.0,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,L,401437638,2022 Regular Season,Mecole Hardman,2022,Regular Season,3,65.0,6.0,1.0,10.0,32.5,3.0,0.5,5.0,32.5,3.0,0.5,5.0,16.333333333333332,0.16666666666666666,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,4,2022-10-03T00:20:00.000+00:00,31,41,W,401437470,2022 Regular Season,Mecole Hardman,2022,Regular Season,4,67.0,7.0,1.0,11.0,22.333333333333332,2.3333333333333335,0.3333333333333333,3.6666666666666665,22.333333333333332,2.3333333333333335,0.3333333333333333,3.6666666666666665,2.0,0.1,0,0
4,5,73,18.3,0,36,1,7,7.0,7,0,0,0,0,0,5,2022-10-11T00:15:00.000+00:00,30,29,W,401437776,2022 Regular Season,Mecole Hardman,2022,Regular Season,5,71.0,8.0,1.0,12.0,17.75,2.0,0.25,3.0,18.333333333333332,1.6666666666666667,0.0,2.0,4.0,0.09090909090909091,0,0
3,4,42,14.0,1,26,0,0,0.0,0,0,1,0,0,0,6,2022-10-16T20:25:00.000+00:00,20,24,L,401437788,2022 Regular Season,Mecole Hardman,2022,Regular Season,6,144.0,12.0,1.0,17.0,28.8,2.4,0.2,3.4,26.333333333333332,2.0,0.0,2.3333333333333335,18.25,0.08333333333333333,0,1
4,4,32,8.0,1,18,2,28,14.0,25,2,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,44,W,401437802,2022 Regular Season,Mecole Hardman,2022,Regular Season,7,186.0,15.0,2.0,21.0,31.0,2.5,0.3333333333333333,3.5,39.666666666666664,2.6666666666666665,0.3333333333333333,3.3333333333333335,14.0,0.058823529411764705,0,1
6,9,79,13.2,1,33,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,W,401437830,2022 Regular Season,Mecole Hardman,2022,Regular Season,8,218.0,19.0,3.0,25.0,31.142857142857142,2.7142857142857144,0.42857142857142855,3.5714285714285716,49.0,3.6666666666666665,0.6666666666666666,4.333333333333333,8.0,0.09523809523809523,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-12T00:15:00.000+00:00,22,16,W,401547352,2023 Regular Season,Mecole Hardman,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,30,10,L,401547415,2023 Regular Season,Mecole Hardman,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,10,15,L,401547430,2023 Regular Season,Mecole Hardman,2023,Regular Season,3,6.0,1.0,0.0,1.0,3.0,0.5,0.0,0.5,3.0,0.5,0.0,0.5,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,4,2023-10-02T00:20:00.000+00:00,20,23,L,401547455,2023 Regular Season,Mecole Hardman,2023,Regular Season,4,6.0,1.0,0.0,1.0,2.0,0.3333333333333333,0.0,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,20,14,W,401547480,2023 Regular Season,Mecole Hardman,2023,Regular Season,5,6.0,1.0,0.0,1.0,1.5,0.25,0.0,0.25,2.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,3,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:25:00.000+00:00,31,17,W,401547488,2023 Regular Season,Mecole Hardman,2023,Regular Season,6,6.0,1.0,0.0,3.0,1.2,0.2,0.0,0.6,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
2,2,13,6.5,0,12,1,3,3.0,3,0,1,1,0,0,8,2023-10-29T20:25:00.000+00:00,24,9,L,401547502,2023 Regular Season,Mecole Hardman,2023,Regular Season,7,12.0,2.0,0.0,6.0,2.0,0.3333333333333333,0.0,1.0,2.0,0.3333333333333333,0.0,1.6666666666666667,6.0,0.0,0,0
3,3,10,3.3,0,10,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T14:30:00.000+00:00,21,14,W,401547230,2023 Regular Season,Mecole Hardman,2023,Regular Season,8,25.0,4.0,0.0,8.0,3.5714285714285716,0.5714285714285714,0.0,1.1428571428571428,6.333333333333333,1.0,0.0,2.3333333333333335,6.5,0.0,0,0
2,2,12,6.0,0,7,0,0,0.0,0,0,0,0,0,0,11,2023-11-21T01:15:00.000+00:00,17,21,L,401547345,2023 Regular Season,Mecole Hardman,2023,Regular Season,9,35.0,7.0,0.0,11.0,4.375,0.875,0.0,1.375,9.666666666666666,2.0,0.0,2.6666666666666665,3.3333333333333335,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T21:25:00.000+00:00,25,17,W,401547235,2023 Regular Season,Mecole Hardman,2023,Regular Season,10,47.0,9.0,0.0,13.0,5.222222222222222,1.0,0.0,1.4444444444444444,11.666666666666666,2.3333333333333335,0.0,2.3333333333333335,6.0,0.0,0,0
6,11,77,12.8,0,37,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,12,13,W,401547645,2023 Regular Season,Mecole Hardman,2023,Regular Season,11,47.0,9.0,0.0,13.0,4.7,0.9,0.0,1.3,7.333333333333333,1.6666666666666667,0.0,1.6666666666666667,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-06T00:40:00.000+00:00,27,20,W,401671789,2024 Regular Season,Mecole Hardman,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:25:00.000+00:00,26,25,W,401671670,2024 Regular Season,Mecole Hardman,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-23T00:20:00.000+00:00,17,22,W,401671793,2024 Regular Season,Mecole Hardman,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:25:00.000+00:00,10,17,W,401671674,2024 Regular Season,Mecole Hardman,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,4,33,8.3,0,15,0,0,0.0,0,0,0,0,0,0,5,2024-10-08T00:15:00.000+00:00,26,13,W,401671687,2024 Regular Season,Mecole Hardman,2024,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,17,17.0,0,17,2,38,19.0,20,1,0,0,0,0,7,2024-10-20T20:25:00.000+00:00,18,28,W,401671777,2024 Regular Season,Mecole Hardman,2024,Regular Season,6,33.0,4.0,0.0,4.0,6.6,0.8,0.0,0.8,11.0,1.3333333333333333,0.0,1.3333333333333333,8.25,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,20,27,W,401671671,2024 Regular Season,Mecole Hardman,2024,Regular Season,7,50.0,5.0,0.0,6.0,8.333333333333334,0.8333333333333334,0.0,1.0,16.666666666666668,1.6666666666666667,0.0,2.0,17.0,0.0,0,0
3,3,17,5.7,0,12,0,0,0.0,0,0,0,0,0,0,9,2024-11-05T01:15:00.000+00:00,30,24,W,401671688,2024 Regular Season,Mecole Hardman,2024,Regular Season,8,58.0,6.0,0.0,7.0,8.285714285714286,0.8571428571428571,0.0,1.0,19.333333333333332,2.0,0.0,2.3333333333333335,8.0,0.0,0,0
1,1,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,16,14,W,401671637,2024 Regular Season,Mecole Hardman,2024,Regular Season,9,75.0,9.0,0.0,10.0,9.375,1.125,0.0,1.25,14.0,1.6666666666666667,0.0,2.0,5.666666666666667,0.0,0,0
2,3,12,6.0,0,12,1,9,9.0,9,0,0,0,-,-,11,2024-11-17T21:25:00.000+00:00,30,21,L,401671665,2024 Regular Season,Mecole Hardman,2024,Regular Season,10,78.0,10.0,0.0,11.0,8.666666666666666,1.1111111111111112,0.0,1.2222222222222223,9.333333333333334,1.6666666666666667,0.0,1.6666666666666667,3.0,0.0,0,0
0,0,0,0.0,0,0,2,15,7.5,9,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,27,30,W,401671651,2024 Regular Season,Mecole Hardman,2024,Regular Season,11,90.0,12.0,0.0,14.0,9.0,1.2,0.0,1.4,10.666666666666666,2.0,0.0,2.3333333333333335,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,13,2024-11-29T20:00:00.000+00:00,19,17,W,401671806,2024 Regular Season,Mecole Hardman,2024,Regular Season,12,90.0,12.0,0.0,14.0,8.181818181818182,1.0909090909090908,0.0,1.2727272727272727,5.0,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
