receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,16,17,W,401547400,2023 Regular Season,Michael Mayer,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,38,10,L,401547411,2023 Regular Season,Michael Mayer,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T00:20:00.000+00:00,18,23,L,401547439,2023 Regular Season,Michael Mayer,2023,Regular Season,3,2.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,2.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:05:00.000+00:00,24,17,L,401547447,2023 Regular Season,Michael Mayer,2023,Regular Season,4,2.0,1.0,0.0,2.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
2,3,39,19.5,0,20,0,0,0.0,0,0,0,0,0,0,5,2023-10-10T00:15:00.000+00:00,17,13,W,401547468,2023 Regular Season,Michael Mayer,2023,Regular Season,5,2.0,1.0,0.0,2.0,0.5,0.25,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
5,6,75,15.0,0,32,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:05:00.000+00:00,21,17,W,401547474,2023 Regular Season,Michael Mayer,2023,Regular Season,6,41.0,3.0,0.0,5.0,8.2,0.6,0.0,1.0,13.0,0.6666666666666666,0.0,1.3333333333333333,19.5,0.0,0,0
2,4,13,6.5,0,11,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,30,12,L,401547490,2023 Regular Season,Michael Mayer,2023,Regular Season,7,116.0,8.0,0.0,11.0,19.333333333333332,1.3333333333333333,0.0,1.8333333333333333,38.0,2.3333333333333335,0.0,3.0,15.0,0.0,0,0
1,2,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,8,2023-10-31T00:15:00.000+00:00,26,14,L,401547511,2023 Regular Season,Michael Mayer,2023,Regular Season,8,129.0,10.0,0.0,15.0,18.428571428571427,1.4285714285714286,0.0,2.142857142857143,42.333333333333336,3.0,0.0,4.333333333333333,6.5,0.0,0,0
2,2,11,5.5,0,7,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T21:25:00.000+00:00,30,6,W,401547521,2023 Regular Season,Michael Mayer,2023,Regular Season,9,148.0,11.0,0.0,17.0,18.5,1.375,0.0,2.125,35.666666666666664,2.6666666666666665,0.0,4.0,19.0,0.0,0,0
3,5,19,6.3,1,7,0,0,0.0,0,0,0,0,0,0,10,2023-11-13T01:20:00.000+00:00,16,12,W,401547536,2023 Regular Season,Michael Mayer,2023,Regular Season,10,159.0,13.0,0.0,19.0,17.666666666666668,1.4444444444444444,0.0,2.111111111111111,14.333333333333334,1.6666666666666667,0.0,2.6666666666666665,5.5,0.0,0,1
4,5,46,11.5,0,17,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,20,13,L,401547542,2023 Regular Season,Michael Mayer,2023,Regular Season,11,178.0,16.0,1.0,24.0,17.8,1.6,0.1,2.4,16.333333333333332,2.0,0.3333333333333333,3.0,6.333333333333333,0.0,0,0
2,4,27,13.5,0,17,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:25:00.000+00:00,17,31,L,401547557,2023 Regular Season,Michael Mayer,2023,Regular Season,12,224.0,20.0,1.0,29.0,20.363636363636363,1.8181818181818181,0.09090909090909091,2.6363636363636362,25.333333333333332,3.0,0.3333333333333333,4.0,11.5,0.041666666666666664,0,0
1,2,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T21:05:00.000+00:00,0,3,L,401547588,2023 Regular Season,Michael Mayer,2023,Regular Season,13,251.0,22.0,1.0,33.0,20.916666666666668,1.8333333333333333,0.08333333333333333,2.75,30.666666666666668,3.0,0.3333333333333333,4.666666666666667,13.5,0.034482758620689655,0,0
4,5,39,9.8,1,13,0,0,0.0,0,0,0,0,0,0,15,2023-12-15T01:15:00.000+00:00,63,21,W,401547593,2023 Regular Season,Michael Mayer,2023,Regular Season,14,265.0,23.0,1.0,35.0,20.384615384615383,1.7692307692307692,0.07692307692307693,2.6923076923076925,29.0,2.3333333333333335,0.0,3.6666666666666665,14.0,0.030303030303030304,0,1
2,3,3,1.5,0,3,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:05:00.000+00:00,22,10,L,401671659,2024 Regular Season,Michael Mayer,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,23,26,W,401671624,2024 Regular Season,Michael Mayer,2024,Regular Season,2,3.0,2.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0,3.0,1.5,0.0,0,0
1,3,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:05:00.000+00:00,22,36,L,401671658,2024 Regular Season,Michael Mayer,2024,Regular Season,3,14.0,3.0,0.0,4.0,7.0,1.5,0.0,2.0,7.0,1.5,0.0,2.0,11.0,0.0,0,0
1,3,5,5.0,0,5,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,34,19,L,401671851,2024 Regular Season,Michael Mayer,2024,Regular Season,4,21.0,4.0,0.0,7.0,7.0,1.3333333333333333,0.0,2.3333333333333335,7.0,1.3333333333333333,0.0,2.3333333333333335,7.0,0.0,0,0
