receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
9,13,121,13.4,1,28,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,20,T,401437637,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
8,9,72,9.0,0,26,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,W,401437638,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,2,121.0,9.0,1.0,13.0,121.0,9.0,1.0,13.0,121.0,9.0,1.0,13.0,13.444444444444445,0.0,0,0
3,6,31,10.3,0,14,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,17,24,L,401437754,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,3,193.0,17.0,1.0,22.0,96.5,8.5,0.5,11.0,96.5,8.5,0.5,11.0,9.0,0.07692307692307693,0,0
5,8,59,11.8,0,19,0,0,0.0,0,0,0,0,0,0,5,2022-10-07T00:15:00.000+00:00,9,12,W,401437762,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,4,224.0,20.0,1.0,28.0,74.66666666666667,6.666666666666667,0.3333333333333333,9.333333333333334,74.66666666666667,6.666666666666667,0.3333333333333333,9.333333333333334,10.333333333333334,0.045454545454545456,0,0
13,16,134,10.3,0,20,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,34,27,W,401437781,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,5,283.0,25.0,1.0,36.0,70.75,6.25,0.25,9.0,54.0,5.333333333333333,0.0,7.666666666666667,11.8,0.03571428571428571,0,0
6,9,58,9.7,0,14,0,0,0.0,0,0,1,1,0,0,7,2022-10-23T17:00:00.000+00:00,19,10,L,401437797,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,6,417.0,38.0,1.0,52.0,83.4,7.6,0.2,10.4,74.66666666666667,7.0,0.0,10.0,10.307692307692308,0.027777777777777776,0,0
7,9,53,7.6,0,16,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,16,17,L,401437814,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,7,475.0,44.0,1.0,61.0,79.16666666666667,7.333333333333333,0.16666666666666666,10.166666666666666,83.66666666666667,8.0,0.0,11.0,9.666666666666666,0.019230769230769232,0,0
3,6,22,7.3,0,10,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,26,3,L,401437825,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,8,528.0,51.0,1.0,70.0,75.42857142857143,7.285714285714286,0.14285714285714285,10.0,81.66666666666667,8.666666666666666,0.0,11.333333333333334,7.571428571428571,0.01639344262295082,0,0
7,9,53,7.6,0,18,0,0,0.0,0,0,1,0,0,0,10,2022-11-13T21:05:00.000+00:00,20,25,W,401437840,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,9,550.0,54.0,1.0,76.0,68.75,6.75,0.125,9.5,44.333333333333336,5.333333333333333,0.0,8.0,7.333333333333333,0.014285714285714285,0,0
6,7,75,12.5,0,24,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,L,401437849,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,10,603.0,61.0,1.0,85.0,67.0,6.777777777777778,0.1111111111111111,9.444444444444445,42.666666666666664,5.666666666666667,0.0,8.0,7.571428571428571,0.013157894736842105,0,0
7,11,61,8.7,1,28,0,0,0.0,0,0,0,0,0,0,12,2022-11-29T01:15:00.000+00:00,17,24,L,401437872,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,11,678.0,67.0,1.0,92.0,67.8,6.7,0.1,9.2,50.0,5.333333333333333,0.0,7.333333333333333,12.5,0.011764705882352941,0,1
2,4,16,8.0,0,11,0,0,0.0,0,0,0,0,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,L,401437886,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,12,739.0,74.0,2.0,103.0,67.18181818181819,6.7272727272727275,0.18181818181818182,9.363636363636363,63.0,6.666666666666667,0.3333333333333333,9.0,8.714285714285714,0.010869565217391304,0,0
10,14,60,6.0,0,15,2,30,15.0,19,0,0,0,0,0,15,2022-12-17T18:00:00.000+00:00,39,36,L,401437904,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,13,755.0,76.0,2.0,107.0,62.916666666666664,6.333333333333333,0.16666666666666666,8.916666666666666,50.666666666666664,5.0,0.3333333333333333,7.333333333333333,8.0,0.019417475728155338,0,0
4,7,39,9.8,0,19,0,0,0.0,0,0,0,0,0,0,16,2022-12-27T01:15:00.000+00:00,3,20,L,401437931,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,14,815.0,86.0,2.0,121.0,62.69230769230769,6.615384615384615,0.15384615384615385,9.307692307692308,45.666666666666664,6.333333333333333,0.3333333333333333,9.666666666666666,6.0,0.018691588785046728,0,0
6,8,41,6.8,1,15,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,38,10,L,401437939,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,15,854.0,90.0,2.0,128.0,61.0,6.428571428571429,0.14285714285714285,9.142857142857142,38.333333333333336,5.333333333333333,0.0,8.333333333333334,9.75,0.01652892561983471,0,1
3,5,30,10.0,1,23,1,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,31,32,L,401437953,2022 Regular Season,Michael Pittman Jr.,2022,Regular Season,16,895.0,96.0,3.0,136.0,59.666666666666664,6.4,0.2,9.066666666666666,46.666666666666664,6.666666666666667,0.3333333333333333,9.666666666666666,6.833333333333333,0.015625,0,1
8,11,97,12.1,1,39,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,21,31,L,401547404,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
8,12,56,7.0,0,12,0,0,0.0,0,0,1,0,0,0,2,2023-09-17T17:00:00.000+00:00,20,31,W,401547419,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,2,97.0,8.0,1.0,11.0,97.0,8.0,1.0,11.0,97.0,8.0,1.0,11.0,12.125,0.0,0,0
9,11,77,8.6,0,34,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,19,22,W,401547427,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,3,153.0,16.0,1.0,23.0,76.5,8.0,0.5,11.5,76.5,8.0,0.5,11.5,7.0,0.09090909090909091,0,0
1,5,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,23,29,L,401547449,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,4,230.0,25.0,1.0,34.0,76.66666666666667,8.333333333333334,0.3333333333333333,11.333333333333334,76.66666666666667,8.333333333333334,0.3333333333333333,11.333333333333334,8.555555555555555,0.043478260869565216,0,0
5,7,52,10.4,0,27,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,23,16,W,401547458,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,5,245.0,26.0,1.0,39.0,61.25,6.5,0.25,9.75,49.333333333333336,6.0,0.0,9.333333333333334,15.0,0.029411764705882353,0,0
9,14,109,12.1,0,40,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,37,20,L,401547472,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,6,297.0,31.0,1.0,46.0,59.4,6.2,0.2,9.2,48.0,5.0,0.0,7.666666666666667,10.4,0.02564102564102564,0,0
2,5,83,41.5,1,75,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,39,L,401547484,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,7,406.0,40.0,1.0,60.0,67.66666666666667,6.666666666666667,0.16666666666666666,10.0,58.666666666666664,5.0,0.0,8.666666666666666,12.11111111111111,0.021739130434782608,0,1
8,13,40,5.0,1,10,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,27,38,L,401547507,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,8,489.0,42.0,2.0,65.0,69.85714285714286,6.0,0.2857142857142857,9.285714285714286,81.33333333333333,5.333333333333333,0.3333333333333333,8.666666666666666,41.5,0.016666666666666666,0,1
8,8,64,8.0,0,16,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T21:05:00.000+00:00,13,27,W,401547517,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,9,529.0,50.0,3.0,78.0,66.125,6.25,0.375,9.75,77.33333333333333,6.333333333333333,0.6666666666666666,10.666666666666666,5.0,0.03076923076923077,0,0
8,12,84,10.5,0,14,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T14:30:00.000+00:00,6,10,W,401547231,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,10,593.0,58.0,3.0,86.0,65.88888888888889,6.444444444444445,0.3333333333333333,9.555555555555555,62.333333333333336,6.0,0.6666666666666666,8.666666666666666,8.0,0.038461538461538464,0,0
10,13,107,10.7,0,24,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,27,20,W,401547556,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,11,677.0,66.0,3.0,98.0,67.7,6.6,0.3,9.8,62.666666666666664,8.0,0.3333333333333333,11.0,10.5,0.03488372093023256,0,0
11,16,105,9.5,1,14,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,31,W,401547570,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,12,784.0,76.0,3.0,111.0,71.27272727272727,6.909090909090909,0.2727272727272727,10.090909090909092,85.0,8.666666666666666,0.0,11.0,10.7,0.030612244897959183,0,1
8,11,95,11.9,0,31,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,34,14,L,401547580,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,13,889.0,87.0,4.0,127.0,74.08333333333333,7.25,0.3333333333333333,10.583333333333334,98.66666666666667,9.666666666666666,0.3333333333333333,13.666666666666666,9.545454545454545,0.02702702702702703,0,0
4,5,78,19.5,0,42,0,0,0.0,0,0,0,0,0,0,15,2023-12-16T21:30:00.000+00:00,30,13,W,401547607,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,14,984.0,95.0,4.0,138.0,75.6923076923077,7.3076923076923075,0.3076923076923077,10.615384615384615,102.33333333333333,9.666666666666666,0.3333333333333333,13.333333333333334,11.875,0.031496062992125984,0,0
5,7,46,9.2,0,20,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,23,20,W,401547628,2023 Regular Season,Michael Pittman Jr.,2023,Regular Season,15,1062.0,99.0,4.0,143.0,75.85714285714286,7.071428571428571,0.2857142857142857,10.214285714285714,92.66666666666667,7.666666666666667,0.3333333333333333,10.666666666666666,19.5,0.028985507246376812,0,0
