receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,4,19,9.5,0,15,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,20,16,L,401547406,2023 Regular Season,Michael Wilson,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,3,56,18.7,0,21,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,28,31,L,401547421,2023 Regular Season,Michael Wilson,2023,Regular Season,2,19.0,2.0,0.0,4.0,19.0,2.0,0.0,4.0,19.0,2.0,0.0,4.0,9.5,0.0,0,0
2,2,86,43.0,0,69,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:25:00.000+00:00,28,16,W,401547437,2023 Regular Season,Michael Wilson,2023,Regular Season,3,75.0,5.0,0.0,7.0,37.5,2.5,0.0,3.5,37.5,2.5,0.0,3.5,18.666666666666668,0.0,0,0
7,7,76,10.9,2,33,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:25:00.000+00:00,35,16,L,401547454,2023 Regular Season,Michael Wilson,2023,Regular Season,4,161.0,7.0,0.0,9.0,53.666666666666664,2.3333333333333335,0.0,3.0,53.666666666666664,2.3333333333333335,0.0,3.0,43.0,0.0,0,1
1,2,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,20,34,L,401547466,2023 Regular Season,Michael Wilson,2023,Regular Season,5,237.0,14.0,2.0,16.0,59.25,3.5,0.5,4.0,72.66666666666667,4.0,0.6666666666666666,4.0,10.857142857142858,0.0,0,0
3,4,62,20.7,0,26,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,26,9,L,401547479,2023 Regular Season,Michael Wilson,2023,Regular Season,6,255.0,15.0,2.0,18.0,51.0,3.0,0.4,3.6,60.0,3.3333333333333335,0.6666666666666666,3.6666666666666665,18.0,0.125,0,0
3,5,26,8.7,0,11,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,20,10,L,401547493,2023 Regular Season,Michael Wilson,2023,Regular Season,7,317.0,18.0,2.0,22.0,52.833333333333336,3.0,0.3333333333333333,3.6666666666666665,52.0,3.6666666666666665,0.6666666666666666,4.333333333333333,20.666666666666668,0.1111111111111111,0,0
4,6,58,14.5,0,29,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,31,L,401547501,2023 Regular Season,Michael Wilson,2023,Regular Season,8,343.0,21.0,2.0,27.0,49.0,3.0,0.2857142857142857,3.857142857142857,35.333333333333336,2.3333333333333335,0.0,3.6666666666666665,8.666666666666666,0.09090909090909091,0,0
3,6,34,11.3,0,16,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,25,23,W,401547529,2023 Regular Season,Michael Wilson,2023,Regular Season,9,401.0,25.0,2.0,33.0,50.125,3.125,0.25,4.125,48.666666666666664,3.3333333333333335,0.0,5.0,14.5,0.07407407407407407,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T21:05:00.000+00:00,29,45,L,401547596,2023 Regular Season,Michael Wilson,2023,Regular Season,10,435.0,28.0,2.0,39.0,48.333333333333336,3.111111111111111,0.2222222222222222,4.333333333333333,39.333333333333336,3.3333333333333335,0.0,5.666666666666667,11.333333333333334,0.06060606060606061,0,0
0,4,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T21:25:00.000+00:00,27,16,L,401547619,2023 Regular Season,Michael Wilson,2023,Regular Season,11,435.0,28.0,2.0,42.0,43.5,2.8,0.2,4.2,30.666666666666668,2.3333333333333335,0.0,5.0,0.0,0.05128205128205128,0,0
