receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,L,401437779,2022 Regular Season,Michael Woods II,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,L,401437792,2022 Regular Season,Michael Woods II,2022,Regular Season,2,15.0,1.0,0.0,2.0,15.0,1.0,0.0,2.0,15.0,1.0,0.0,2.0,15.0,0.0,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,8,2022-11-01T00:15:00.000+00:00,32,13,W,401437818,2022 Regular Season,Michael Woods II,2022,Regular Season,3,15.0,1.0,0.0,2.0,7.5,0.5,0.0,1.0,7.5,0.5,0.0,1.0,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,L,401437836,2022 Regular Season,Michael Woods II,2022,Regular Season,4,21.0,2.0,0.0,4.0,7.0,0.6666666666666666,0.0,1.3333333333333333,7.0,0.6666666666666666,0.0,1.3333333333333333,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,31,23,L,401437847,2022 Regular Season,Michael Woods II,2022,Regular Season,5,21.0,2.0,0.0,6.0,5.25,0.5,0.0,1.5,2.0,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,23,10,L,401437890,2022 Regular Season,Michael Woods II,2022,Regular Season,6,21.0,2.0,0.0,6.0,4.2,0.4,0.0,1.2,2.0,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
1,2,4,4.0,0,4,1,-5,-5.0,-5,0,0,0,0,0,15,2022-12-17T21:40:00.000+00:00,13,3,W,401437903,2022 Regular Season,Michael Woods II,2022,Regular Season,7,21.0,2.0,0.0,6.0,3.5,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,10,17,L,401437921,2022 Regular Season,Michael Woods II,2022,Regular Season,8,25.0,3.0,0.0,8.0,3.5714285714285716,0.42857142857142855,0.0,1.1428571428571428,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,4.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,24,W,401437942,2022 Regular Season,Michael Woods II,2022,Regular Season,9,30.0,4.0,0.0,9.0,3.75,0.5,0.0,1.125,3.0,0.6666666666666666,0.0,1.0,5.0,0.0,0,0
1,1,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,28,14,L,401437958,2022 Regular Season,Michael Woods II,2022,Regular Season,10,30.0,4.0,0.0,9.0,3.3333333333333335,0.4444444444444444,0.0,1.0,3.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
3,5,43,14.3,0,16,0,0,0.0,0,0,0,0,-,-,13,2024-12-03T01:15:00.000+00:00,41,32,L,401671686,2024 Regular Season,Michael Woods II,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
