receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
5,7,71,14.2,1,20,0,0,0.0,0,0,0,0,0,0,1,2022-09-12T00:20:00.000+00:00,3,19,W,401437644,2022 Regular Season,Mike Evans,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,4,61,20.3,0,41,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,10,20,W,401437652,2022 Regular Season,Mike Evans,2022,Regular Season,2,71.0,5.0,1.0,7.0,71.0,5.0,1.0,7.0,71.0,5.0,1.0,7.0,14.2,0.0,0,0
8,10,103,12.9,2,30,0,0,0.0,0,0,0,0,0,0,4,2022-10-03T00:20:00.000+00:00,31,41,L,401437470,2022 Regular Season,Mike Evans,2022,Regular Season,3,132.0,8.0,1.0,11.0,66.0,4.0,0.5,5.5,66.0,4.0,0.5,5.5,20.333333333333332,0.14285714285714285,0,1
4,8,81,20.3,0,40,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,21,15,W,401437770,2022 Regular Season,Mike Evans,2022,Regular Season,4,235.0,16.0,3.0,21.0,78.33333333333333,5.333333333333333,1.0,7.0,78.33333333333333,5.333333333333333,1.0,7.0,12.875,0.09090909090909091,0,0
4,4,42,10.5,0,20,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,20,18,L,401437785,2022 Regular Season,Mike Evans,2022,Regular Season,5,316.0,20.0,3.0,29.0,79.0,5.0,0.75,7.25,81.66666666666667,5.0,0.6666666666666666,7.333333333333333,20.25,0.14285714285714285,0,0
9,15,96,10.7,0,20,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,21,3,L,401437793,2022 Regular Season,Mike Evans,2022,Regular Season,6,358.0,24.0,3.0,33.0,71.6,4.8,0.6,6.6,75.33333333333333,5.333333333333333,0.6666666666666666,7.333333333333333,10.5,0.10344827586206896,0,0
6,11,123,20.5,0,51,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,L,401437805,2022 Regular Season,Mike Evans,2022,Regular Season,7,454.0,33.0,3.0,48.0,75.66666666666667,5.5,0.5,8.0,73.0,5.666666666666667,0.0,9.0,10.666666666666666,0.09090909090909091,0,0
5,11,40,8.0,0,13,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:25:00.000+00:00,16,13,W,401437829,2022 Regular Season,Mike Evans,2022,Regular Season,8,577.0,39.0,3.0,59.0,82.42857142857143,5.571428571428571,0.42857142857142855,8.428571428571429,87.0,6.333333333333333,0.0,10.0,20.5,0.0625,0,0
5,6,54,10.8,0,29,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,W,401435638,2022 Regular Season,Mike Evans,2022,Regular Season,9,617.0,44.0,3.0,70.0,77.125,5.5,0.375,8.75,86.33333333333333,6.666666666666667,0.0,12.333333333333334,8.0,0.05084745762711865,0,0
2,9,31,15.5,0,28,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,17,L,401437861,2022 Regular Season,Mike Evans,2022,Regular Season,10,671.0,49.0,3.0,76.0,74.55555555555556,5.444444444444445,0.3333333333333333,8.444444444444445,72.33333333333333,5.333333333333333,0.0,9.333333333333334,10.8,0.04285714285714286,0,0
4,4,59,14.8,0,22,0,0,0.0,0,0,0,0,0,0,13,2022-12-06T01:15:00.000+00:00,17,16,W,401437887,2022 Regular Season,Mike Evans,2022,Regular Season,11,702.0,51.0,3.0,85.0,70.2,5.1,0.3,8.5,41.666666666666664,4.0,0.0,8.666666666666666,15.5,0.039473684210526314,0,0
4,9,44,11.0,0,20,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:25:00.000+00:00,35,7,L,401437897,2022 Regular Season,Mike Evans,2022,Regular Season,12,761.0,55.0,3.0,89.0,69.18181818181819,5.0,0.2727272727272727,8.090909090909092,48.0,3.6666666666666665,0.0,6.333333333333333,14.75,0.03529411764705882,0,0
5,9,83,16.6,0,24,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,23,34,L,401437914,2022 Regular Season,Mike Evans,2022,Regular Season,13,805.0,59.0,3.0,98.0,67.08333333333333,4.916666666666667,0.25,8.166666666666666,44.666666666666664,3.3333333333333335,0.0,7.333333333333333,11.0,0.033707865168539325,0,0
