receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,W,401437630,2022 Regular Season,Mike Gesicki,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,4,41,10.3,1,14,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,W,401437633,2022 Regular Season,Mike Gesicki,2022,Regular Season,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,21,19,W,401437738,2022 Regular Season,Mike Gesicki,2022,Regular Season,3,42.0,5.0,1.0,5.0,21.0,2.5,0.5,2.5,21.0,2.5,0.5,2.5,10.25,0.0,0,0
2,4,23,11.5,0,21,0,0,0.0,0,0,0,0,0,0,4,2022-09-30T00:15:00.000+00:00,27,15,L,401437748,2022 Regular Season,Mike Gesicki,2022,Regular Season,4,48.0,6.0,1.0,6.0,16.0,2.0,0.3333333333333333,2.0,16.0,2.0,0.3333333333333333,2.0,6.0,0.2,0,0
1,2,30,30.0,0,30,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,L,401437769,2022 Regular Season,Mike Gesicki,2022,Regular Season,5,71.0,8.0,1.0,10.0,17.75,2.0,0.25,2.5,23.333333333333332,2.3333333333333335,0.3333333333333333,3.0,11.5,0.16666666666666666,0,0
6,7,69,11.5,2,18,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,L,401437782,2022 Regular Season,Mike Gesicki,2022,Regular Season,6,101.0,9.0,1.0,12.0,20.2,1.8,0.2,2.4,19.666666666666668,1.3333333333333333,0.0,2.3333333333333335,30.0,0.1,0,1
3,7,27,9.0,0,18,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,W,401437803,2022 Regular Season,Mike Gesicki,2022,Regular Season,7,170.0,15.0,3.0,19.0,28.333333333333332,2.5,0.5,3.1666666666666665,40.666666666666664,3.0,0.6666666666666666,4.333333333333333,11.5,0.08333333333333333,0,0
3,4,38,12.7,1,20,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,W,401437808,2022 Regular Season,Mike Gesicki,2022,Regular Season,8,197.0,18.0,3.0,26.0,28.142857142857142,2.5714285714285716,0.42857142857142855,3.7142857142857144,42.0,3.3333333333333335,0.6666666666666666,5.333333333333333,9.0,0.15789473684210525,0,1
1,2,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,32,35,W,401437821,2022 Regular Season,Mike Gesicki,2022,Regular Season,9,235.0,21.0,4.0,30.0,29.375,2.625,0.5,3.75,44.666666666666664,4.0,1.0,6.0,12.666666666666666,0.11538461538461539,0,0
2,3,31,15.5,0,16,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,W,401437836,2022 Regular Season,Mike Gesicki,2022,Regular Season,10,238.0,22.0,4.0,32.0,26.444444444444443,2.4444444444444446,0.4444444444444444,3.5555555555555554,22.666666666666668,2.3333333333333335,0.3333333333333333,4.333333333333333,3.0,0.13333333333333333,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,W,401437863,2022 Regular Season,Mike Gesicki,2022,Regular Season,11,269.0,24.0,4.0,35.0,26.9,2.4,0.4,3.5,24.0,2.0,0.3333333333333333,3.0,15.5,0.125,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,L,401437883,2022 Regular Season,Mike Gesicki,2022,Regular Season,12,269.0,24.0,4.0,36.0,24.454545454545453,2.1818181818181817,0.36363636363636365,3.272727272727273,11.333333333333334,1.0,0.0,2.0,0.0,0.11428571428571428,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-12T01:20:00.000+00:00,23,17,L,401437896,2022 Regular Season,Mike Gesicki,2022,Regular Season,13,269.0,24.0,4.0,37.0,22.416666666666668,2.0,0.3333333333333333,3.0833333333333335,10.333333333333334,0.6666666666666666,0.0,1.6666666666666667,0.0,0.1111111111111111,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T01:15:00.000+00:00,32,29,L,401437902,2022 Regular Season,Mike Gesicki,2022,Regular Season,14,269.0,24.0,4.0,39.0,20.692307692307693,1.8461538461538463,0.3076923076923077,3.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.10810810810810811,0,0
1,2,24,24.0,0,24,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T18:00:00.000+00:00,20,26,L,401437929,2022 Regular Season,Mike Gesicki,2022,Regular Season,15,274.0,25.0,4.0,40.0,19.571428571428573,1.7857142857142858,0.2857142857142857,2.857142857142857,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,5.0,0.10256410256410256,0,0
2,4,18,9.0,1,14,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,23,21,L,401437938,2022 Regular Season,Mike Gesicki,2022,Regular Season,16,298.0,26.0,4.0,42.0,19.866666666666667,1.7333333333333334,0.26666666666666666,2.8,9.666666666666666,0.6666666666666666,0.0,1.6666666666666667,24.0,0.1,0,1
4,6,46,11.5,0,32,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,11,6,W,401437955,2022 Regular Season,Mike Gesicki,2022,Regular Season,17,316.0,28.0,5.0,46.0,19.75,1.75,0.3125,2.875,15.666666666666666,1.3333333333333333,0.3333333333333333,2.3333333333333335,9.0,0.09523809523809523,0,0
3,3,36,12.0,0,17,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,25,L,401547402,2023 Regular Season,Mike Gesicki,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,33,6.6,0,14,0,0,0.0,0,0,0,0,0,0,2,2023-09-18T00:20:00.000+00:00,17,24,L,401547423,2023 Regular Season,Mike Gesicki,2023,Regular Season,2,36.0,3.0,0.0,3.0,36.0,3.0,0.0,3.0,36.0,3.0,0.0,3.0,12.0,0.0,0,0
1,1,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,10,15,W,401547430,2023 Regular Season,Mike Gesicki,2023,Regular Season,3,69.0,8.0,0.0,9.0,34.5,4.0,0.0,4.5,34.5,4.0,0.0,4.5,6.6,0.0,0,0
1,3,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:25:00.000+00:00,38,3,L,401547453,2023 Regular Season,Mike Gesicki,2023,Regular Season,4,87.0,9.0,0.0,10.0,29.0,3.0,0.0,3.3333333333333335,29.0,3.0,0.0,3.3333333333333335,18.0,0.0,0,0
2,4,17,8.5,0,9,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,0,34,L,401547459,2023 Regular Season,Mike Gesicki,2023,Regular Season,5,99.0,10.0,0.0,13.0,24.75,2.5,0.0,3.25,21.0,2.3333333333333335,0.0,3.3333333333333335,12.0,0.0,0,0
3,3,28,9.3,0,15,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:05:00.000+00:00,21,17,L,401547474,2023 Regular Season,Mike Gesicki,2023,Regular Season,6,116.0,12.0,0.0,17.0,23.2,2.4,0.0,3.4,15.666666666666666,1.3333333333333333,0.0,2.6666666666666665,8.5,0.0,0,0
2,2,5,2.5,1,4,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,29,25,W,401547485,2023 Regular Season,Mike Gesicki,2023,Regular Season,7,144.0,15.0,0.0,20.0,24.0,2.5,0.0,3.3333333333333335,19.0,2.0,0.0,3.3333333333333335,9.333333333333334,0.0,0,1
2,3,11,5.5,0,6,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,31,17,L,401547497,2023 Regular Season,Mike Gesicki,2023,Regular Season,8,149.0,17.0,1.0,22.0,21.285714285714285,2.4285714285714284,0.14285714285714285,3.142857142857143,16.666666666666668,2.3333333333333335,0.3333333333333333,3.0,2.5,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,17,20,L,401547520,2023 Regular Season,Mike Gesicki,2023,Regular Season,9,160.0,19.0,1.0,25.0,20.0,2.375,0.125,3.125,14.666666666666666,2.3333333333333335,0.3333333333333333,2.6666666666666665,5.5,0.045454545454545456,0,0
