receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,4,10,5.0,0,6,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,24,19,W,401437643,2022 Regular Season,Mike Williams,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
8,10,113,14.1,1,39,0,0,0.0,0,0,0,0,0,0,2,2022-09-16T00:15:00.000+00:00,27,24,L,401434030,2022 Regular Season,Mike Williams,2022,Regular Season,2,10.0,2.0,0.0,4.0,10.0,2.0,0.0,4.0,10.0,2.0,0.0,4.0,5.0,0.0,0,1
1,6,15,15.0,1,15,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:05:00.000+00:00,10,38,L,401437743,2022 Regular Season,Mike Williams,2022,Regular Season,3,123.0,10.0,1.0,14.0,61.5,5.0,0.5,7.0,61.5,5.0,0.5,7.0,14.125,0.0,0,1
7,11,120,17.1,0,50,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,24,34,W,401437753,2022 Regular Season,Mike Williams,2022,Regular Season,4,138.0,11.0,2.0,20.0,46.0,3.6666666666666665,0.6666666666666666,6.666666666666667,46.0,3.6666666666666665,0.6666666666666666,6.666666666666667,15.0,0.07142857142857142,0,0
10,13,134,13.4,0,38,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,28,30,W,401437764,2022 Regular Season,Mike Williams,2022,Regular Season,5,258.0,18.0,2.0,31.0,64.5,4.5,0.5,7.75,82.66666666666667,5.333333333333333,0.6666666666666666,9.0,17.142857142857142,0.1,0,0
2,6,17,8.5,0,9,0,0,0.0,0,0,0,0,0,0,6,2022-10-18T00:15:00.000+00:00,19,16,W,401437790,2022 Regular Season,Mike Williams,2022,Regular Season,6,392.0,28.0,2.0,44.0,78.4,5.6,0.4,8.8,89.66666666666667,6.0,0.3333333333333333,10.0,13.4,0.06451612903225806,0,0
7,9,86,12.3,1,21,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,L,401437801,2022 Regular Season,Mike Williams,2022,Regular Season,7,409.0,30.0,2.0,50.0,68.16666666666667,5.0,0.3333333333333333,8.333333333333334,90.33333333333333,6.333333333333333,0.0,10.0,8.5,0.045454545454545456,0,1
1,1,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,11,2022-11-21T01:20:00.000+00:00,27,30,L,401437854,2022 Regular Season,Mike Williams,2022,Regular Season,8,495.0,37.0,3.0,59.0,70.71428571428571,5.285714285714286,0.42857142857142855,8.428571428571429,79.0,6.333333333333333,0.3333333333333333,9.333333333333334,12.285714285714286,0.04,0,0
6,6,116,19.3,1,55,0,0,0.0,0,0,0,0,0,0,14,2022-12-12T01:20:00.000+00:00,23,17,W,401437896,2022 Regular Season,Mike Williams,2022,Regular Season,9,510.0,38.0,3.0,60.0,63.75,4.75,0.375,7.5,39.333333333333336,3.3333333333333335,0.3333333333333333,5.333333333333333,15.0,0.05084745762711865,0,1
4,8,67,16.8,0,35,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,17,14,W,401437913,2022 Regular Season,Mike Williams,2022,Regular Season,10,626.0,44.0,4.0,66.0,69.55555555555556,4.888888888888889,0.4444444444444444,7.333333333333333,72.33333333333333,4.666666666666667,0.6666666666666666,5.333333333333333,19.333333333333332,0.05,0,0
4,4,76,19.0,0,26,0,0,0.0,0,0,0,0,0,0,16,2022-12-27T01:15:00.000+00:00,3,20,W,401437931,2022 Regular Season,Mike Williams,2022,Regular Season,11,693.0,48.0,4.0,74.0,69.3,4.8,0.4,7.4,66.0,3.6666666666666665,0.3333333333333333,5.0,16.75,0.06060606060606061,0,0
7,10,94,13.4,0,26,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:25:00.000+00:00,31,10,W,401437946,2022 Regular Season,Mike Williams,2022,Regular Season,12,769.0,52.0,4.0,78.0,69.9090909090909,4.7272727272727275,0.36363636363636365,7.090909090909091,86.33333333333333,4.666666666666667,0.3333333333333333,6.0,19.0,0.05405405405405406,0,0
4,5,32,8.0,0,18,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,31,28,L,401437960,2022 Regular Season,Mike Williams,2022,Regular Season,13,863.0,59.0,4.0,88.0,71.91666666666667,4.916666666666667,0.3333333333333333,7.333333333333333,79.0,5.0,0.0,7.333333333333333,13.428571428571429,0.05128205128205128,0,0
4,5,45,11.3,0,24,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,34,36,L,401547401,2023 Regular Season,Mike Williams,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
8,13,83,10.4,0,20,1,3,3.0,3,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,24,L,401547414,2023 Regular Season,Mike Williams,2023,Regular Season,2,45.0,4.0,0.0,5.0,45.0,4.0,0.0,5.0,45.0,4.0,0.0,5.0,11.25,0.0,0,0
7,8,121,17.3,1,49,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,24,28,W,401547436,2023 Regular Season,Mike Williams,2023,Regular Season,3,128.0,12.0,0.0,18.0,64.0,6.0,0.0,9.0,64.0,6.0,0.0,9.0,10.375,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-10T00:15:00.000+00:00,32,19,L,401671696,2024 Regular Season,Mike Williams,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,17,24,W,401671636,2024 Regular Season,Mike Williams,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,4,34,11.3,0,18,0,0,0.0,0,0,0,0,0,0,3,2024-09-20T00:15:00.000+00:00,24,3,W,401671808,2024 Regular Season,Mike Williams,2024,Regular Season,3,19.0,1.0,0.0,1.0,9.5,0.5,0.0,0.5,9.5,0.5,0.0,0.5,19.0,0.0,0,0
4,5,67,16.8,0,22,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,9,10,L,401671622,2024 Regular Season,Mike Williams,2024,Regular Season,4,53.0,4.0,0.0,5.0,17.666666666666668,1.3333333333333333,0.0,1.6666666666666667,17.666666666666668,1.3333333333333333,0.0,1.6666666666666667,11.333333333333334,0.0,0,0
2,4,25,12.5,0,18,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T13:30:00.000+00:00,23,17,L,401671804,2024 Regular Season,Mike Williams,2024,Regular Season,5,120.0,8.0,0.0,10.0,30.0,2.0,0.0,2.5,40.0,2.6666666666666665,0.0,3.3333333333333335,16.75,0.0,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-15T00:15:00.000+00:00,20,23,L,401671684,2024 Regular Season,Mike Williams,2024,Regular Season,6,145.0,10.0,0.0,14.0,29.0,2.0,0.0,2.8,42.0,3.0,0.0,4.333333333333333,12.5,0.0,0,0
1,2,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,7,2024-10-21T00:20:00.000+00:00,37,15,L,401671785,2024 Regular Season,Mike Williams,2024,Regular Season,7,145.0,10.0,0.0,17.0,24.166666666666668,1.6666666666666667,0.0,2.8333333333333335,30.666666666666668,2.0,0.0,4.0,0.0,0.0,0,0
