receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,2,26,13.0,0,13,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,20,T,401437637,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,3,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,24,0,L,401437639,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,2,26.0,2.0,0.0,2.0,26.0,2.0,0.0,2.0,26.0,2.0,0.0,2.0,13.0,0.0,0,0
1,3,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,W,401437638,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,3,35.0,3.0,0.0,5.0,17.5,1.5,0.0,2.5,17.5,1.5,0.0,2.5,9.0,0.0,0,0
6,6,85,14.2,2,34,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,17,24,L,401437754,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,4,44.0,4.0,0.0,8.0,14.666666666666666,1.3333333333333333,0.0,2.6666666666666665,14.666666666666666,1.3333333333333333,0.0,2.6666666666666665,9.0,0.0,0,1
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2022-10-07T00:15:00.000+00:00,9,12,W,401437762,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,5,129.0,10.0,2.0,14.0,32.25,2.5,0.5,3.5,34.333333333333336,2.6666666666666665,0.6666666666666666,4.0,14.166666666666666,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,34,27,W,401437781,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,6,136.0,11.0,2.0,15.0,27.2,2.2,0.4,3.0,33.666666666666664,2.6666666666666665,0.6666666666666666,3.3333333333333335,7.0,0.14285714285714285,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,19,10,L,401437797,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,7,136.0,11.0,2.0,15.0,22.666666666666668,1.8333333333333333,0.3333333333333333,2.5,30.666666666666668,2.3333333333333335,0.6666666666666666,2.3333333333333335,0.0,0.13333333333333333,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,16,17,L,401437814,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,8,136.0,11.0,2.0,15.0,19.428571428571427,1.5714285714285714,0.2857142857142857,2.142857142857143,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,0.13333333333333333,0,0
2,2,13,6.5,0,8,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,26,3,L,401437825,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,9,136.0,11.0,2.0,16.0,17.0,1.375,0.25,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.13333333333333333,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:05:00.000+00:00,20,25,W,401437840,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,10,149.0,13.0,2.0,18.0,16.555555555555557,1.4444444444444444,0.2222222222222222,2.0,4.333333333333333,0.6666666666666666,0.0,1.0,6.5,0.125,0,0
1,1,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,L,401437849,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,11,149.0,13.0,2.0,18.0,14.9,1.3,0.2,1.8,4.333333333333333,0.6666666666666666,0.0,1.0,0.0,0.1111111111111111,0,0
2,3,14,7.0,0,11,0,0,0.0,0,0,0,0,0,0,12,2022-11-29T01:15:00.000+00:00,17,24,L,401437872,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,12,163.0,14.0,2.0,19.0,14.818181818181818,1.2727272727272727,0.18181818181818182,1.7272727272727273,9.0,1.0,0.0,1.0,14.0,0.1111111111111111,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,1,1,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,L,401437886,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,13,177.0,16.0,2.0,22.0,14.75,1.3333333333333333,0.16666666666666666,1.8333333333333333,9.333333333333334,1.0,0.0,1.3333333333333333,7.0,0.10526315789473684,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-17T18:00:00.000+00:00,39,36,L,401437904,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,14,183.0,17.0,2.0,23.0,14.076923076923077,1.3076923076923077,0.15384615384615385,1.7692307692307692,11.333333333333334,1.3333333333333333,0.0,1.6666666666666667,6.0,0.09090909090909091,0,0
1,2,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,16,2022-12-27T01:15:00.000+00:00,3,20,L,401437931,2022 Regular Season,Mo Alie-Cox,2022,Regular Season,15,183.0,17.0,2.0,24.0,13.071428571428571,1.2142857142857142,0.14285714285714285,1.7142857142857142,6.666666666666667,1.0,0.0,1.6666666666666667,0.0,0.08695652173913043,0,0
