receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,21,15,L,401437770,2022 Regular Season,MyCole Pruitt,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,2,2.0,1,2,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,28,14,W,401437778,2022 Regular Season,MyCole Pruitt,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,35,17,L,401437794,2022 Regular Season,MyCole Pruitt,2022,Regular Season,3,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,2.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,37,34,W,401437806,2022 Regular Season,MyCole Pruitt,2022,Regular Season,4,2.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,L,401437820,2022 Regular Season,MyCole Pruitt,2022,Regular Season,5,2.0,1.0,1.0,1.0,0.5,0.25,0.25,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,10,2022-11-11T01:15:00.000+00:00,25,15,L,401437832,2022 Regular Season,MyCole Pruitt,2022,Regular Season,6,8.0,2.0,1.0,2.0,1.6,0.4,0.2,0.4,2.0,0.3333333333333333,0.0,0.3333333333333333,6.0,1.0,0,0
1,1,17,17.0,0,17,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,24,W,401437845,2022 Regular Season,MyCole Pruitt,2022,Regular Season,7,14.0,3.0,1.0,3.0,2.3333333333333335,0.5,0.16666666666666666,0.5,4.0,0.6666666666666666,0.0,0.6666666666666666,6.0,0.5,0,0
2,3,9,4.5,1,5,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,19,13,L,401437866,2022 Regular Season,MyCole Pruitt,2022,Regular Season,8,31.0,4.0,1.0,4.0,4.428571428571429,0.5714285714285714,0.14285714285714285,0.5714285714285714,9.666666666666666,1.0,0.0,1.0,17.0,0.3333333333333333,0,1
1,1,7,7.0,1,7,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,16,19,L,401437874,2022 Regular Season,MyCole Pruitt,2022,Regular Season,9,40.0,6.0,2.0,7.0,5.0,0.75,0.25,0.875,10.666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667,4.5,0.25,0,1
2,3,20,10.0,0,14,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,21,18,L,401437905,2022 Regular Season,MyCole Pruitt,2022,Regular Season,10,47.0,7.0,3.0,8.0,5.222222222222222,0.7777777777777778,0.3333333333333333,0.8888888888888888,11.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,7.0,0.2857142857142857,0,0
