receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,33,35,L,401547416,2023 Regular Season,Nate Adkins,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,70,20,L,401547429,2023 Regular Season,Nate Adkins,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,8,4.0,0,6,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,28,31,W,401547444,2023 Regular Season,Nate Adkins,2023,Regular Season,3,11.0,1.0,0.0,1.0,5.5,0.5,0.0,0.5,5.5,0.5,0.0,0.5,11.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:25:00.000+00:00,21,31,L,401547461,2023 Regular Season,Nate Adkins,2023,Regular Season,4,19.0,3.0,0.0,3.0,6.333333333333333,1.0,0.0,1.0,6.333333333333333,1.0,0.0,1.0,4.0,0.0,0,0
1,1,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:25:00.000+00:00,19,17,W,401547487,2023 Regular Season,Nate Adkins,2023,Regular Season,5,19.0,3.0,0.0,4.0,4.75,0.75,0.0,1.0,6.333333333333333,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,9,W,401547502,2023 Regular Season,Nate Adkins,2023,Regular Season,6,22.0,4.0,0.0,5.0,4.4,0.8,0.0,1.0,3.6666666666666665,1.0,0.0,1.3333333333333333,3.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-20T01:20:00.000+00:00,21,20,W,401547550,2023 Regular Season,Nate Adkins,2023,Regular Season,7,22.0,4.0,0.0,5.0,3.6666666666666665,0.6666666666666666,0.0,0.8333333333333334,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:05:00.000+00:00,29,12,W,401547563,2023 Regular Season,Nate Adkins,2023,Regular Season,8,22.0,4.0,0.0,5.0,3.142857142857143,0.5714285714285714,0.0,0.7142857142857143,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T21:25:00.000+00:00,16,9,W,401547630,2023 Regular Season,Nate Adkins,2023,Regular Season,9,22.0,4.0,0.0,5.0,2.75,0.5,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,27,14,L,401547646,2023 Regular Season,Nate Adkins,2023,Regular Season,10,22.0,4.0,0.0,5.0,2.4444444444444446,0.4444444444444444,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0,0
