receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,5,28,9.3,0,17,0,0,0.0,0,0,1,1,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,L,401437630,2022 Regular Season,Nelson Agholor,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,6,110,18.3,1,44,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,14,17,W,401437636,2022 Regular Season,Nelson Agholor,2022,Regular Season,2,28.0,3.0,0.0,5.0,28.0,3.0,0.0,5.0,28.0,3.0,0.0,5.0,9.333333333333334,0.0,0,1
2,3,41,20.5,0,28,0,0,0.0,0,0,1,1,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,L,401437631,2022 Regular Season,Nelson Agholor,2022,Regular Season,3,138.0,9.0,1.0,11.0,69.0,4.5,0.5,5.5,69.0,4.5,0.5,5.5,18.333333333333332,0.0,0,0
3,4,46,15.3,0,27,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,27,24,L,401437759,2022 Regular Season,Nelson Agholor,2022,Regular Season,4,179.0,11.0,1.0,14.0,59.666666666666664,3.6666666666666665,0.3333333333333333,4.666666666666667,59.666666666666664,3.6666666666666665,0.3333333333333333,4.666666666666667,20.5,0.09090909090909091,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,0,W,401437767,2022 Regular Season,Nelson Agholor,2022,Regular Season,5,225.0,14.0,1.0,18.0,56.25,3.5,0.25,4.5,65.66666666666667,3.6666666666666665,0.3333333333333333,4.333333333333333,15.333333333333334,0.07142857142857142,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-25T00:15:00.000+00:00,14,33,L,401437804,2022 Regular Season,Nelson Agholor,2022,Regular Season,6,225.0,14.0,1.0,19.0,45.0,2.8,0.2,3.8,29.0,1.6666666666666667,0.0,2.6666666666666665,0.0,0.05555555555555555,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,W,401437811,2022 Regular Season,Nelson Agholor,2022,Regular Season,7,225.0,14.0,1.0,20.0,37.5,2.3333333333333335,0.16666666666666666,3.3333333333333335,15.333333333333334,1.0,0.0,2.0,0.0,0.05263157894736842,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,26,3,W,401437825,2022 Regular Season,Nelson Agholor,2022,Regular Season,8,227.0,15.0,1.0,21.0,32.42857142857143,2.142857142857143,0.14285714285714285,3.0,0.6666666666666666,0.3333333333333333,0.0,1.0,2.0,0.05,0,0
2,3,18,9.0,0,11,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,W,401437850,2022 Regular Season,Nelson Agholor,2022,Regular Season,9,227.0,15.0,1.0,21.0,28.375,1.875,0.125,2.625,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.047619047619047616,0,0
6,8,65,10.8,1,34,0,0,0.0,0,0,0,0,0,0,12,2022-11-25T01:20:00.000+00:00,33,26,L,401437859,2022 Regular Season,Nelson Agholor,2022,Regular Season,10,245.0,17.0,1.0,24.0,27.22222222222222,1.8888888888888888,0.1111111111111111,2.6666666666666665,6.666666666666667,1.0,0.0,1.3333333333333333,9.0,0.047619047619047616,0,1
2,3,17,8.5,0,11,0,0,0.0,0,0,0,0,0,0,13,2022-12-02T01:15:00.000+00:00,10,24,L,401437873,2022 Regular Season,Nelson Agholor,2022,Regular Season,11,310.0,23.0,2.0,32.0,31.0,2.3,0.2,3.2,27.666666666666668,2.6666666666666665,0.3333333333333333,3.6666666666666665,10.833333333333334,0.041666666666666664,0,0
5,10,32,6.4,0,13,0,0,0.0,0,0,0,0,0,0,14,2022-12-13T01:15:00.000+00:00,13,27,W,401437900,2022 Regular Season,Nelson Agholor,2022,Regular Season,12,327.0,25.0,2.0,35.0,29.727272727272727,2.272727272727273,0.18181818181818182,3.1818181818181817,33.333333333333336,3.3333333333333335,0.3333333333333333,4.666666666666667,8.5,0.0625,0,0
1,6,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,30,24,L,401437915,2022 Regular Season,Nelson Agholor,2022,Regular Season,13,359.0,30.0,2.0,45.0,29.916666666666668,2.5,0.16666666666666666,3.75,38.0,4.333333333333333,0.3333333333333333,7.0,6.4,0.05714285714285714,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,18,22,L,401437924,2022 Regular Season,Nelson Agholor,2022,Regular Season,14,362.0,31.0,2.0,51.0,27.846153846153847,2.3846153846153846,0.15384615384615385,3.923076923076923,17.333333333333332,2.6666666666666665,0.0,6.333333333333333,3.0,0.044444444444444446,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,23,21,W,401437938,2022 Regular Season,Nelson Agholor,2022,Regular Season,15,362.0,31.0,2.0,51.0,25.857142857142858,2.2142857142857144,0.14285714285714285,3.642857142857143,11.666666666666666,2.0,0.0,5.333333333333333,0.0,0.0392156862745098,0,0
