receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,22,14,L,401437736,2022 Regular Season,Nick Vannett,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-21T00:15:00.000+00:00,42,34,L,401437791,2022 Regular Season,Nick Vannett,2022,Regular Season,2,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,24,0,W,401437810,2022 Regular Season,Nick Vannett,2022,Regular Season,3,5.0,1.0,0.0,1.0,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,20,20,T,401437880,2022 Regular Season,Nick Vannett,2022,Regular Season,4,13.0,2.0,0.0,2.0,4.333333333333333,0.6666666666666666,0.0,0.6666666666666666,4.333333333333333,0.6666666666666666,0.0,0.6666666666666666,8.0,0.0,0,0
1,2,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,22,48,L,401437893,2022 Regular Season,Nick Vannett,2022,Regular Season,5,13.0,2.0,0.0,2.0,3.25,0.5,0.0,0.5,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,15,2022-12-19T01:20:00.000+00:00,12,20,W,401437906,2022 Regular Season,Nick Vannett,2022,Regular Season,6,22.0,3.0,0.0,4.0,4.4,0.6,0.0,0.8,5.666666666666667,0.6666666666666666,0.0,1.0,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,27,24,L,401437923,2022 Regular Season,Nick Vannett,2022,Regular Season,7,37.0,4.0,0.0,5.0,6.166666666666667,0.6666666666666666,0.0,0.8333333333333334,8.0,0.6666666666666666,0.0,1.0,15.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,38,10,W,401437939,2022 Regular Season,Nick Vannett,2022,Regular Season,8,37.0,4.0,0.0,5.0,5.285714285714286,0.5714285714285714,0.0,0.7142857142857143,8.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
2,4,18,9.0,0,12,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,22,16,L,401437957,2022 Regular Season,Nick Vannett,2022,Regular Season,9,37.0,4.0,0.0,5.0,4.625,0.5,0.0,0.625,5.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-07T01:15:00.000+00:00,6,27,W,401547524,2023 Regular Season,Nick Vannett,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
