receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,20,21,L,401437640,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,4,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T23:15:00.000+00:00,41,7,L,401436831,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,2,13.0,1.0,0.0,2.0,13.0,1.0,0.0,2.0,13.0,1.0,0.0,2.0,13.0,0.0,0,0
3,3,40,13.3,0,15,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,24,22,W,401437741,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,3,26.0,2.0,0.0,6.0,13.0,1.0,0.0,3.0,13.0,1.0,0.0,3.0,13.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,17,24,W,401437754,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,4,66.0,5.0,0.0,9.0,22.0,1.6666666666666667,0.0,3.0,22.0,1.6666666666666667,0.0,3.0,13.333333333333334,0.0,0,0
2,3,72,36.0,0,61,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,17,21,W,401437771,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,5,66.0,5.0,0.0,9.0,16.5,1.25,0.0,2.25,17.666666666666668,1.3333333333333333,0.0,2.3333333333333335,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,19,10,W,401437797,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,6,138.0,7.0,0.0,12.0,27.6,1.4,0.0,2.4,37.333333333333336,1.6666666666666667,0.0,2.0,36.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:05:00.000+00:00,10,17,W,401437813,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,7,138.0,7.0,0.0,14.0,23.0,1.1666666666666667,0.0,2.3333333333333335,24.0,0.6666666666666666,0.0,1.6666666666666667,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,L,401437830,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,8,138.0,7.0,0.0,14.0,19.714285714285715,1.0,0.0,2.0,24.0,0.6666666666666666,0.0,1.6666666666666667,0.0,0.0,0,0
5,8,119,23.8,2,63,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,17,10,W,401437839,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,9,138.0,7.0,0.0,15.0,17.25,0.875,0.0,1.875,0.0,0.0,0.0,1.0,0.0,0.0,0,1
2,2,28,14.0,0,19,0,0,0.0,0,0,0,0,0,0,11,2022-11-18T01:15:00.000+00:00,17,27,W,401437844,2022 Regular Season,Nick Westbrook-Ikhine,2022,Regular Season,10,257.0,12.0,2.0,23.0,28.555555555555557,1.3333333333333333,0.2222222222222222,2.5555555555555554,39.666666666666664,1.6666666666666667,0.6666666666666666,3.0,23.8,0.0,0,0
