receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,3,26,13.0,0,18,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,20,T,401437637,2022 Regular Season,Nico Collins,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,9,58,14.5,0,29,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,16,9,L,401437641,2022 Regular Season,Nico Collins,2022,Regular Season,2,26.0,2.0,0.0,3.0,26.0,2.0,0.0,3.0,26.0,2.0,0.0,3.0,13.0,0.0,0,0
2,4,41,20.5,0,22,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,23,20,L,401437737,2022 Regular Season,Nico Collins,2022,Regular Season,3,84.0,6.0,0.0,12.0,42.0,3.0,0.0,6.0,42.0,3.0,0.0,6.0,14.5,0.0,0,0
3,5,82,27.3,0,58,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,24,34,L,401437753,2022 Regular Season,Nico Collins,2022,Regular Season,4,125.0,8.0,0.0,16.0,41.666666666666664,2.6666666666666665,0.0,5.333333333333333,41.666666666666664,2.6666666666666665,0.0,5.333333333333333,20.5,0.0,0,0
4,6,65,16.3,0,23,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,6,13,W,401437765,2022 Regular Season,Nico Collins,2022,Regular Season,5,207.0,11.0,0.0,21.0,51.75,2.75,0.0,5.25,60.333333333333336,3.0,0.0,6.0,27.333333333333332,0.0,0,0
3,3,33,11.0,0,15,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,38,20,L,401437800,2022 Regular Season,Nico Collins,2022,Regular Season,6,272.0,15.0,0.0,27.0,54.4,3.0,0.0,5.4,62.666666666666664,3.0,0.0,5.0,16.25,0.0,0,0
5,10,49,9.8,1,13,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,24,16,L,401437837,2022 Regular Season,Nico Collins,2022,Regular Season,7,305.0,18.0,0.0,30.0,50.833333333333336,3.0,0.0,5.0,60.0,3.3333333333333335,0.0,4.666666666666667,11.0,0.0,0,1
5,7,48,9.6,0,22,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,23,L,401437848,2022 Regular Season,Nico Collins,2022,Regular Season,8,354.0,23.0,1.0,40.0,50.57142857142857,3.2857142857142856,0.14285714285714285,5.714285714285714,49.0,4.0,0.3333333333333333,6.333333333333333,9.8,0.0,0,0
6,9,44,7.3,0,12,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,L,401437863,2022 Regular Season,Nico Collins,2022,Regular Season,9,402.0,28.0,1.0,47.0,50.25,3.5,0.125,5.875,43.333333333333336,4.333333333333333,0.3333333333333333,6.666666666666667,9.6,0.025,0,0
3,10,35,11.7,1,16,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,14,27,L,401437878,2022 Regular Season,Nico Collins,2022,Regular Season,10,446.0,34.0,1.0,56.0,49.55555555555556,3.7777777777777777,0.1111111111111111,6.222222222222222,47.0,5.333333333333333,0.3333333333333333,8.666666666666666,7.333333333333333,0.02127659574468085,0,1
