receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
5,9,68,13.6,0,22,0,0,0.0,0,0,0,0,0,0,1,2022-09-12T00:20:00.000+00:00,3,19,L,401437644,2022 Regular Season,Noah Brown,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,5,91,18.2,1,28,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,20,17,W,401437734,2022 Regular Season,Noah Brown,2022,Regular Season,2,68.0,5.0,0.0,9.0,68.0,5.0,0.0,9.0,68.0,5.0,0.0,9.0,13.6,0.0,0,1
5,7,54,10.8,0,19,0,0,0.0,0,0,0,0,0,0,3,2022-09-27T00:15:00.000+00:00,16,23,W,401437747,2022 Regular Season,Noah Brown,2022,Regular Season,3,159.0,10.0,1.0,14.0,79.5,5.0,0.5,7.0,79.5,5.0,0.5,7.0,18.2,0.0,0,0
3,6,61,20.3,0,45,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,W,401437751,2022 Regular Season,Noah Brown,2022,Regular Season,4,213.0,15.0,1.0,21.0,71.0,5.0,0.3333333333333333,7.0,71.0,5.0,0.3333333333333333,7.0,10.8,0.07142857142857142,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,W,401437774,2022 Regular Season,Noah Brown,2022,Regular Season,5,274.0,18.0,1.0,27.0,68.5,4.5,0.25,6.75,68.66666666666667,4.333333333333333,0.3333333333333333,6.0,20.333333333333332,0.047619047619047616,0,0
1,3,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,L,401437789,2022 Regular Season,Noah Brown,2022,Regular Season,6,279.0,19.0,1.0,29.0,55.8,3.8,0.2,5.8,40.0,3.0,0.0,5.0,5.0,0.037037037037037035,0,0
5,7,50,10.0,0,15,0,0,0.0,0,0,1,1,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,W,401437795,2022 Regular Season,Noah Brown,2022,Regular Season,7,289.0,20.0,1.0,32.0,48.166666666666664,3.3333333333333335,0.16666666666666666,5.333333333333333,25.333333333333332,1.6666666666666667,0.0,3.6666666666666665,10.0,0.034482758620689655,0,0
1,4,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,31,28,L,401437131,2022 Regular Season,Noah Brown,2022,Regular Season,8,339.0,25.0,1.0,39.0,48.42857142857143,3.5714285714285716,0.14285714285714285,5.571428571428571,21.666666666666668,2.3333333333333335,0.0,4.0,10.0,0.03125,0,0
2,2,42,21.0,0,35,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,W,401437855,2022 Regular Season,Noah Brown,2022,Regular Season,9,342.0,26.0,1.0,43.0,42.75,3.25,0.125,5.375,21.0,2.3333333333333335,0.0,4.666666666666667,3.0,0.02564102564102564,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T21:30:00.000+00:00,28,20,W,401437858,2022 Regular Season,Noah Brown,2022,Regular Season,10,384.0,28.0,1.0,45.0,42.666666666666664,3.111111111111111,0.1111111111111111,5.0,31.666666666666668,2.6666666666666665,0.0,4.333333333333333,21.0,0.023255813953488372,0,0
2,2,15,7.5,0,9,0,0,0.0,0,0,0,0,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,W,401437886,2022 Regular Season,Noah Brown,2022,Regular Season,11,384.0,28.0,1.0,45.0,38.4,2.8,0.1,4.5,15.0,1.0,0.0,2.0,0.0,0.022222222222222223,0,0
4,6,85,21.3,0,51,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,27,23,W,401437891,2022 Regular Season,Noah Brown,2022,Regular Season,12,399.0,30.0,1.0,47.0,36.27272727272727,2.727272727272727,0.09090909090909091,4.2727272727272725,19.0,1.3333333333333333,0.0,1.3333333333333333,7.5,0.022222222222222223,0,0
6,9,49,8.2,2,14,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,40,34,L,401437910,2022 Regular Season,Noah Brown,2022,Regular Season,13,484.0,34.0,1.0,53.0,40.333333333333336,2.8333333333333335,0.08333333333333333,4.416666666666667,33.333333333333336,2.0,0.0,2.6666666666666665,21.25,0.02127659574468085,0,1
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T21:25:00.000+00:00,40,34,W,401437927,2022 Regular Season,Noah Brown,2022,Regular Season,14,533.0,40.0,3.0,62.0,41.0,3.076923076923077,0.23076923076923078,4.769230769230769,49.666666666666664,4.0,0.6666666666666666,5.666666666666667,8.166666666666666,0.018867924528301886,0,0
1,4,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,17,2022-12-30T01:15:00.000+00:00,13,27,W,401437932,2022 Regular Season,Noah Brown,2022,Regular Season,15,538.0,41.0,3.0,64.0,38.42857142857143,2.9285714285714284,0.21428571428571427,4.571428571428571,46.333333333333336,3.6666666666666665,0.6666666666666666,5.666666666666667,5.0,0.04838709677419355,0,0
1,6,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,26,6,L,401437959,2022 Regular Season,Noah Brown,2022,Regular Season,16,545.0,42.0,3.0,68.0,36.333333333333336,2.8,0.2,4.533333333333333,20.333333333333332,2.6666666666666665,0.6666666666666666,5.0,7.0,0.046875,0,0
3,4,20,6.7,0,7,1,-1,-1.0,-1,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,25,9,L,401547396,2023 Regular Season,Noah Brown,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,5,37,18.5,0,34,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,20,13,W,401547477,2023 Regular Season,Noah Brown,2023,Regular Season,2,20.0,3.0,0.0,4.0,20.0,3.0,0.0,4.0,20.0,3.0,0.0,4.0,6.666666666666667,0.0,0,0
3,5,57,19.0,0,31,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,15,13,L,401547504,2023 Regular Season,Noah Brown,2023,Regular Season,3,57.0,5.0,0.0,9.0,28.5,2.5,0.0,4.5,28.5,2.5,0.0,4.5,18.5,0.0,0,0
6,6,153,25.5,1,75,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,39,37,W,401547515,2023 Regular Season,Noah Brown,2023,Regular Season,4,114.0,8.0,0.0,14.0,38.0,2.6666666666666665,0.0,4.666666666666667,38.0,2.6666666666666665,0.0,4.666666666666667,19.0,0.0,0,1
7,8,172,24.6,0,34,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,30,W,401547526,2023 Regular Season,Noah Brown,2023,Regular Season,5,267.0,14.0,1.0,20.0,66.75,3.5,0.25,5.0,82.33333333333333,3.6666666666666665,0.3333333333333333,5.333333333333333,25.5,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,22,17,W,401547571,2023 Regular Season,Noah Brown,2023,Regular Season,6,439.0,21.0,1.0,28.0,87.8,4.2,0.2,5.6,127.33333333333333,5.333333333333333,0.3333333333333333,6.333333333333333,24.571428571428573,0.05,0,0
0,5,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,30,6,L,401547582,2023 Regular Season,Noah Brown,2023,Regular Season,7,439.0,21.0,1.0,30.0,73.16666666666667,3.5,0.16666666666666666,5.0,108.33333333333333,4.333333333333333,0.3333333333333333,5.333333333333333,0.0,0.03571428571428571,0,0
8,11,82,10.3,1,22,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,16,19,W,401547595,2023 Regular Season,Noah Brown,2023,Regular Season,8,439.0,21.0,1.0,35.0,62.714285714285715,3.0,0.14285714285714285,5.0,57.333333333333336,2.3333333333333335,0.0,5.0,0.0,0.03333333333333333,0,1
3,7,38,12.7,0,16,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,22,36,L,401547612,2023 Regular Season,Noah Brown,2023,Regular Season,9,521.0,29.0,2.0,46.0,65.125,3.625,0.25,5.75,27.333333333333332,2.6666666666666665,0.3333333333333333,6.0,10.25,0.02857142857142857,0,0
