receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,16,5.3,0,13,0,0,0.0,0,0,0,0,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,W,401437655,2022 Regular Season,Noah Fant,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,11,5.5,0,7,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,27,7,L,401437605,2022 Regular Season,Noah Fant,2022,Regular Season,2,16.0,3.0,0.0,4.0,16.0,3.0,0.0,4.0,16.0,3.0,0.0,4.0,5.333333333333333,0.0,0,0
4,4,27,6.8,0,16,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,L,401437745,2022 Regular Season,Noah Fant,2022,Regular Season,3,27.0,5.0,0.0,6.0,13.5,2.5,0.0,3.0,13.5,2.5,0.0,3.0,5.5,0.0,0,0
1,1,2,2.0,1,2,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,45,48,W,401437752,2022 Regular Season,Noah Fant,2022,Regular Season,4,54.0,9.0,0.0,10.0,18.0,3.0,0.0,3.3333333333333335,18.0,3.0,0.0,3.3333333333333335,6.75,0.0,0,1
3,5,49,16.3,0,32,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,39,32,L,401437768,2022 Regular Season,Noah Fant,2022,Regular Season,5,56.0,10.0,1.0,11.0,14.0,2.5,0.25,2.75,13.333333333333334,2.3333333333333335,0.3333333333333333,2.3333333333333335,2.0,0.0,0,0
6,7,45,7.5,0,15,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,19,9,W,401437787,2022 Regular Season,Noah Fant,2022,Regular Season,6,105.0,13.0,1.0,16.0,21.0,2.6,0.2,3.2,26.0,2.6666666666666665,0.3333333333333333,3.3333333333333335,16.333333333333332,0.09090909090909091,0,0
1,3,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,W,401437801,2022 Regular Season,Noah Fant,2022,Regular Season,7,150.0,19.0,1.0,23.0,25.0,3.1666666666666665,0.16666666666666666,3.8333333333333335,32.0,3.3333333333333335,0.3333333333333333,4.333333333333333,7.5,0.0625,0,0
2,2,19,9.5,0,16,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,27,13,W,401437816,2022 Regular Season,Noah Fant,2022,Regular Season,8,157.0,20.0,1.0,26.0,22.428571428571427,2.857142857142857,0.14285714285714285,3.7142857142857144,33.666666666666664,3.3333333333333335,0.0,5.0,7.0,0.043478260869565216,0,0
5,6,96,19.2,0,51,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,W,401437828,2022 Regular Season,Noah Fant,2022,Regular Season,9,176.0,22.0,1.0,28.0,22.0,2.75,0.125,3.5,23.666666666666668,3.0,0.0,4.0,9.5,0.038461538461538464,0,0
3,4,34,11.3,0,15,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,L,401435638,2022 Regular Season,Noah Fant,2022,Regular Season,10,272.0,27.0,1.0,34.0,30.22222222222222,3.0,0.1111111111111111,3.7777777777777777,40.666666666666664,2.6666666666666665,0.0,3.6666666666666665,19.2,0.03571428571428571,0,0
3,3,34,11.3,0,24,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,34,40,L,401437868,2022 Regular Season,Noah Fant,2022,Regular Season,11,306.0,30.0,1.0,38.0,30.6,3.0,0.1,3.8,49.666666666666664,3.3333333333333335,0.0,4.0,11.333333333333334,0.029411764705882353,0,0
4,5,42,10.5,1,17,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,23,27,W,401437882,2022 Regular Season,Noah Fant,2022,Regular Season,12,340.0,33.0,1.0,41.0,30.90909090909091,3.0,0.09090909090909091,3.727272727272727,54.666666666666664,3.6666666666666665,0.0,4.333333333333333,11.333333333333334,0.02631578947368421,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:25:00.000+00:00,24,30,L,401437898,2022 Regular Season,Noah Fant,2022,Regular Season,13,382.0,37.0,2.0,46.0,31.833333333333332,3.0833333333333335,0.16666666666666666,3.8333333333333335,36.666666666666664,3.3333333333333335,0.3333333333333333,4.0,10.5,0.024390243902439025,0,0
5,6,32,6.4,1,12,0,0,0.0,0,0,0,0,0,0,15,2022-12-16T01:15:00.000+00:00,13,21,L,401437901,2022 Regular Season,Noah Fant,2022,Regular Season,14,382.0,37.0,2.0,47.0,29.384615384615383,2.8461538461538463,0.15384615384615385,3.6153846153846154,25.333333333333332,2.3333333333333335,0.3333333333333333,3.0,0.0,0.043478260869565216,0,1
2,3,12,6.0,1,6,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,24,10,L,401437922,2022 Regular Season,Noah Fant,2022,Regular Season,15,414.0,42.0,3.0,53.0,29.571428571428573,3.0,0.21428571428571427,3.7857142857142856,24.666666666666668,3.0,0.6666666666666666,4.0,6.4,0.0425531914893617,0,1
2,3,40,20.0,0,29,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:05:00.000+00:00,23,6,W,401437944,2022 Regular Season,Noah Fant,2022,Regular Season,16,426.0,44.0,4.0,56.0,28.4,2.933333333333333,0.26666666666666666,3.7333333333333334,14.666666666666666,2.3333333333333335,0.6666666666666666,3.3333333333333335,6.0,0.05660377358490566,0,0
4,4,20,5.0,0,8,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,19,16,W,401437963,2022 Regular Season,Noah Fant,2022,Regular Season,17,466.0,46.0,4.0,59.0,29.125,2.875,0.25,3.6875,28.0,3.0,0.6666666666666666,4.0,20.0,0.07142857142857142,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,13,30,L,401547408,2023 Regular Season,Noah Fant,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,4,56,14.0,0,31,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,31,37,W,401547418,2023 Regular Season,Noah Fant,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,5,41,10.3,0,13,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:05:00.000+00:00,37,27,W,401547432,2023 Regular Season,Noah Fant,2023,Regular Season,3,56.0,4.0,0.0,4.0,28.0,2.0,0.0,2.0,28.0,2.0,0.0,2.0,14.0,0.0,0,0
2,2,63,31.5,0,51,0,0,0.0,0,0,0,0,0,0,4,2023-10-03T00:15:00.000+00:00,3,24,W,401547456,2023 Regular Season,Noah Fant,2023,Regular Season,4,97.0,8.0,0.0,9.0,32.333333333333336,2.6666666666666665,0.0,3.0,32.333333333333336,2.6666666666666665,0.0,3.0,10.25,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,17,13,L,401547471,2023 Regular Season,Noah Fant,2023,Regular Season,5,160.0,10.0,0.0,11.0,40.0,2.5,0.0,2.75,53.333333333333336,3.3333333333333335,0.0,3.6666666666666665,31.5,0.0,0,0
1,1,25,25.0,0,25,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,20,10,W,401547493,2023 Regular Season,Noah Fant,2023,Regular Season,6,169.0,11.0,0.0,12.0,33.8,2.2,0.0,2.4,37.666666666666664,2.3333333333333335,0.0,2.6666666666666665,9.0,0.0,0,0
2,3,32,16.0,0,27,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:05:00.000+00:00,24,20,W,401547509,2023 Regular Season,Noah Fant,2023,Regular Season,7,194.0,12.0,0.0,13.0,32.333333333333336,2.0,0.0,2.1666666666666665,32.333333333333336,1.3333333333333333,0.0,1.3333333333333333,25.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,L,401547513,2023 Regular Season,Noah Fant,2023,Regular Season,8,226.0,14.0,0.0,16.0,32.285714285714285,2.0,0.0,2.2857142857142856,22.0,1.3333333333333333,0.0,1.6666666666666667,16.0,0.0,0,0
2,3,6,3.0,0,8,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:25:00.000+00:00,29,26,W,401547535,2023 Regular Season,Noah Fant,2023,Regular Season,9,226.0,14.0,0.0,17.0,28.25,1.75,0.0,2.125,19.0,1.0,0.0,1.6666666666666667,0.0,0.0,0,0
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,17,16,L,401547544,2023 Regular Season,Noah Fant,2023,Regular Season,10,232.0,16.0,0.0,20.0,25.77777777777778,1.7777777777777777,0.0,2.2222222222222223,12.666666666666666,1.3333333333333333,0.0,2.3333333333333335,3.0,0.0,0,0
2,2,25,12.5,0,16,0,0,0.0,0,0,0,0,0,0,12,2023-11-24T01:20:00.000+00:00,13,31,L,401547553,2023 Regular Season,Noah Fant,2023,Regular Season,11,236.0,17.0,0.0,22.0,23.6,1.7,0.0,2.2,3.3333333333333335,1.0,0.0,2.0,4.0,0.0,0,0
3,4,43,14.3,0,25,0,0,0.0,0,0,0,0,0,0,13,2023-12-01T01:15:00.000+00:00,41,35,L,401547566,2023 Regular Season,Noah Fant,2023,Regular Season,12,261.0,19.0,0.0,24.0,23.727272727272727,1.7272727272727273,0.0,2.1818181818181817,11.666666666666666,1.6666666666666667,0.0,2.3333333333333335,12.5,0.0,0,0
2,4,35,17.5,0,26,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T21:05:00.000+00:00,28,16,L,401547589,2023 Regular Season,Noah Fant,2023,Regular Season,13,304.0,22.0,0.0,28.0,25.333333333333332,1.8333333333333333,0.0,2.3333333333333335,24.0,2.0,0.0,2.6666666666666665,14.333333333333334,0.0,0,0
3,5,16,5.3,0,6,0,0,0.0,0,0,0,0,0,0,15,2023-12-19T01:15:00.000+00:00,20,17,W,401547601,2023 Regular Season,Noah Fant,2023,Regular Season,14,339.0,24.0,0.0,32.0,26.076923076923077,1.8461538461538463,0.0,2.4615384615384617,34.333333333333336,2.3333333333333335,0.0,3.3333333333333335,17.5,0.0,0,0
