receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,21,44,W,401437653,2022 Regular Season,Noah Gray,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,12,6.0,0,11,0,0,0.0,0,0,0,0,0,0,2,2022-09-16T00:15:00.000+00:00,27,24,W,401434030,2022 Regular Season,Noah Gray,2022,Regular Season,2,10.0,1.0,0.0,2.0,10.0,1.0,0.0,2.0,10.0,1.0,0.0,2.0,10.0,0.0,0,0
1,2,26,26.0,0,26,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,L,401437638,2022 Regular Season,Noah Gray,2022,Regular Season,3,22.0,3.0,0.0,5.0,11.0,1.5,0.0,2.5,11.0,1.5,0.0,2.5,6.0,0.0,0,0
0,1,0,0.0,0,0,1,1,1.0,1,1,0,0,0,0,4,2022-10-03T00:20:00.000+00:00,31,41,W,401437470,2022 Regular Season,Noah Gray,2022,Regular Season,4,48.0,4.0,0.0,7.0,16.0,1.3333333333333333,0.0,2.3333333333333335,16.0,1.3333333333333333,0.0,2.3333333333333335,26.0,0.0,0,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2022-10-11T00:15:00.000+00:00,30,29,W,401437776,2022 Regular Season,Noah Gray,2022,Regular Season,5,48.0,4.0,0.0,8.0,12.0,1.0,0.0,2.0,12.666666666666666,1.0,0.0,2.0,0.0,0.0,0,0
3,3,13,4.3,0,7,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:25:00.000+00:00,20,24,L,401437788,2022 Regular Season,Noah Gray,2022,Regular Season,6,55.0,5.0,0.0,10.0,11.0,1.0,0.0,2.0,11.0,0.6666666666666666,0.0,1.6666666666666667,7.0,0.0,0,0
1,1,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,44,W,401437802,2022 Regular Season,Noah Gray,2022,Regular Season,7,68.0,8.0,0.0,13.0,11.333333333333334,1.3333333333333333,0.0,2.1666666666666665,6.666666666666667,1.3333333333333333,0.0,2.0,4.333333333333333,0.0,0,0
3,3,45,15.0,0,27,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,W,401437830,2022 Regular Season,Noah Gray,2022,Regular Season,8,78.0,9.0,0.0,14.0,11.142857142857142,1.2857142857142858,0.0,2.0,10.0,1.6666666666666667,0.0,2.0,10.0,0.0,0,0
2,2,20,10.0,1,13,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,27,17,W,401437835,2022 Regular Season,Noah Gray,2022,Regular Season,9,123.0,12.0,0.0,17.0,15.375,1.5,0.0,2.125,22.666666666666668,2.3333333333333335,0.0,2.3333333333333335,15.0,0.0,0,1
2,3,15,7.5,0,12,0,0,0.0,0,0,0,0,0,0,11,2022-11-21T01:20:00.000+00:00,27,30,W,401437854,2022 Regular Season,Noah Gray,2022,Regular Season,10,143.0,14.0,1.0,19.0,15.88888888888889,1.5555555555555556,0.1111111111111111,2.111111111111111,25.0,2.0,0.3333333333333333,2.0,10.0,0.0,0,0
2,2,16,8.0,0,9,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,26,10,W,401437869,2022 Regular Season,Noah Gray,2022,Regular Season,11,158.0,16.0,1.0,22.0,15.8,1.6,0.1,2.2,26.666666666666668,2.3333333333333335,0.3333333333333333,2.6666666666666665,7.5,0.05263157894736842,0,0
1,1,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:25:00.000+00:00,27,24,L,401437884,2022 Regular Season,Noah Gray,2022,Regular Season,12,174.0,18.0,1.0,24.0,15.818181818181818,1.6363636363636365,0.09090909090909091,2.1818181818181817,17.0,2.0,0.3333333333333333,2.3333333333333335,8.0,0.045454545454545456,0,0
3,3,45,15.0,0,25,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:05:00.000+00:00,28,34,W,401437899,2022 Regular Season,Noah Gray,2022,Regular Season,13,189.0,19.0,1.0,25.0,15.75,1.5833333333333333,0.08333333333333333,2.0833333333333335,15.333333333333334,1.6666666666666667,0.0,2.0,15.0,0.041666666666666664,0,0
3,3,31,10.3,0,13,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,24,30,W,401437909,2022 Regular Season,Noah Gray,2022,Regular Season,14,234.0,22.0,1.0,28.0,18.0,1.6923076923076923,0.07692307692307693,2.1538461538461537,25.333333333333332,2.0,0.0,2.0,15.0,0.04,0,0
