receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,3,37,18.5,0,29,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,25,9,W,401547396,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,4,29,9.7,0,15,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,W,401547412,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,2,37.0,2.0,0.0,3.0,37.0,2.0,0.0,3.0,37.0,2.0,0.0,3.0,18.5,0.0,0,0
2,4,13,6.5,0,7,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,17,10,L,401547460,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,3,66.0,5.0,0.0,7.0,33.0,2.5,0.0,3.5,33.0,2.5,0.0,3.5,9.666666666666666,0.0,0,0
2,4,34,17.0,0,32,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T13:30:00.000+00:00,16,24,W,401547229,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,4,79.0,7.0,0.0,11.0,26.333333333333332,2.3333333333333335,0.0,3.6666666666666665,26.333333333333332,2.3333333333333335,0.0,3.6666666666666665,6.5,0.0,0,0
5,7,49,9.8,0,20,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,6,W,401547489,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,5,113.0,9.0,0.0,15.0,28.25,2.25,0.0,3.75,25.333333333333332,2.3333333333333335,0.0,4.0,17.0,0.0,0,0
0,4,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,31,W,401547501,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,6,162.0,14.0,0.0,22.0,32.4,2.8,0.0,4.4,32.0,3.0,0.0,5.0,9.8,0.0,0,0
5,7,56,11.2,1,15,0,0,0.0,0,0,1,1,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,W,401547513,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,7,162.0,14.0,0.0,26.0,27.0,2.3333333333333335,0.0,4.333333333333333,27.666666666666668,2.3333333333333335,0.0,5.0,0.0,0.0,0,1
1,2,40,40.0,1,40,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,31,33,L,401547531,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,8,218.0,19.0,1.0,33.0,31.142857142857142,2.7142857142857144,0.14285714285714285,4.714285714285714,35.0,3.3333333333333335,0.3333333333333333,6.0,11.2,0.0,0,1
4,7,116,29.0,0,51,0,0,0.0,0,0,0,0,0,0,11,2023-11-17T01:15:00.000+00:00,34,20,W,401547538,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,9,258.0,20.0,2.0,35.0,32.25,2.5,0.25,4.375,32.0,2.0,0.6666666666666666,4.333333333333333,40.0,0.030303030303030304,0,0
3,5,34,11.3,0,14,0,0,0.0,0,0,0,0,0,0,12,2023-11-27T01:20:00.000+00:00,10,20,W,401547564,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,10,374.0,24.0,2.0,42.0,41.55555555555556,2.6666666666666665,0.2222222222222222,4.666666666666667,70.66666666666667,3.3333333333333335,0.6666666666666666,5.333333333333333,29.0,0.05714285714285714,0,0
4,10,97,24.3,1,46,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,37,31,W,401547585,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,11,408.0,27.0,2.0,47.0,40.8,2.7,0.2,4.7,63.333333333333336,2.6666666666666665,0.3333333333333333,4.666666666666667,11.333333333333334,0.047619047619047616,0,1
1,3,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,15,2023-12-18T01:20:00.000+00:00,7,23,W,401547602,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,12,505.0,31.0,3.0,57.0,45.90909090909091,2.8181818181818183,0.2727272727272727,5.181818181818182,82.33333333333333,3.6666666666666665,0.3333333333333333,7.333333333333333,24.25,0.0425531914893617,0,0
2,3,13,6.5,0,8,0,0,0.0,0,0,0,0,0,0,16,2023-12-26T01:15:00.000+00:00,19,33,W,401547622,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,13,519.0,32.0,3.0,60.0,43.25,2.6666666666666665,0.25,5.0,48.333333333333336,2.6666666666666665,0.3333333333333333,6.0,14.0,0.05263157894736842,0,0
1,1,33,33.0,0,33,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,56,19,W,401547625,2023 Regular Season,Odell Beckham Jr.,2023,Regular Season,14,532.0,34.0,3.0,63.0,40.92307692307692,2.6153846153846154,0.23076923076923078,4.846153846153846,41.333333333333336,2.3333333333333335,0.3333333333333333,5.333333333333333,6.5,0.05,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,10,15,W,401671700,2024 Regular Season,Odell Beckham Jr.,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
