receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,4,49,12.3,0,22,0,0,0.0,0,0,1,1,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,L,401437650,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,21,10.5,1,11,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,31,27,L,401437733,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,2,49.0,4.0,0.0,4.0,49.0,4.0,0.0,4.0,49.0,4.0,0.0,4.0,12.25,0.0,0,1
2,2,49,24.5,0,26,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,W,401437745,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,3,70.0,6.0,1.0,6.0,35.0,3.0,0.5,3.0,35.0,3.0,0.5,3.0,10.5,0.0,0,0
2,2,55,27.5,0,42,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,23,20,W,401437749,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,4,119.0,8.0,1.0,8.0,39.666666666666664,2.6666666666666665,0.3333333333333333,2.6666666666666665,39.666666666666664,2.6666666666666665,0.3333333333333333,2.6666666666666665,24.5,0.16666666666666666,0,0
2,4,39,19.5,1,20,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,21,15,L,401437770,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,5,174.0,10.0,1.0,10.0,43.5,2.5,0.25,2.5,41.666666666666664,2.0,0.3333333333333333,2.0,27.5,0.125,0,1
4,4,58,14.5,0,37,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,28,14,W,401437778,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,6,213.0,12.0,2.0,14.0,42.6,2.4,0.4,2.8,47.666666666666664,2.0,0.3333333333333333,2.6666666666666665,19.5,0.1,0,0
3,4,31,10.3,0,12,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,35,17,L,401437794,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,7,271.0,16.0,2.0,18.0,45.166666666666664,2.6666666666666665,0.3333333333333333,3.0,50.666666666666664,2.6666666666666665,0.3333333333333333,3.3333333333333335,14.5,0.14285714285714285,0,0
1,1,10,10.0,0,10,1,-6,-6.0,-6,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,37,34,W,401437806,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,8,302.0,19.0,2.0,22.0,43.142857142857146,2.7142857142857144,0.2857142857142857,3.142857142857143,42.666666666666664,3.0,0.3333333333333333,4.0,10.333333333333334,0.1111111111111111,0,0
2,2,19,9.5,0,15,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,L,401437820,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,9,312.0,20.0,2.0,23.0,39.0,2.5,0.25,2.875,33.0,2.6666666666666665,0.0,3.0,10.0,0.09090909090909091,0,0
2,4,34,17.0,0,28,0,0,0.0,0,0,0,0,0,0,10,2022-11-11T01:15:00.000+00:00,25,15,L,401437832,2022 Regular Season,Olamide Zaccheaus,2022,Regular Season,10,331.0,22.0,2.0,25.0,36.77777777777778,2.4444444444444446,0.2222222222222222,2.7777777777777777,20.0,2.0,0.0,2.3333333333333335,9.5,0.08695652173913043,0,0
