receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T13:30:00.000+00:00,23,7,W,401547227,2023 Regular Season,Parker Washington,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,34,14,W,401547541,2023 Regular Season,Parker Washington,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,21,24,W,401547555,2023 Regular Season,Parker Washington,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,6,61,10.2,1,18,0,0,0.0,0,0,1,0,0,0,13,2023-12-05T01:15:00.000+00:00,31,34,L,401547577,2023 Regular Season,Parker Washington,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2,3,27,13.5,1,19,0,0,0.0,0,0,1,1,0,0,14,2023-12-10T18:00:00.000+00:00,31,27,L,401547581,2023 Regular Season,Parker Washington,2023,Regular Season,5,61.0,6.0,1.0,6.0,15.25,1.5,0.25,1.5,20.333333333333332,2.0,0.3333333333333333,2.0,10.166666666666666,0.0,0,1
4,6,12,3.0,0,6,0,0,0.0,0,0,0,0,0,0,15,2023-12-18T01:20:00.000+00:00,7,23,L,401547602,2023 Regular Season,Parker Washington,2023,Regular Season,6,88.0,8.0,2.0,9.0,17.6,1.6,0.4,1.8,29.333333333333332,2.6666666666666665,0.6666666666666666,3.0,13.5,0.16666666666666666,0,0
2,4,19,9.5,0,13,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T21:05:00.000+00:00,30,12,L,401547615,2023 Regular Season,Parker Washington,2023,Regular Season,7,100.0,12.0,2.0,15.0,16.666666666666668,2.0,0.3333333333333333,2.5,33.333333333333336,4.0,0.6666666666666666,5.0,3.0,0.2222222222222222,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,26,0,W,401547629,2023 Regular Season,Parker Washington,2023,Regular Season,8,119.0,14.0,2.0,19.0,17.0,2.0,0.2857142857142857,2.7142857142857144,19.333333333333332,2.6666666666666665,0.3333333333333333,4.333333333333333,9.5,0.13333333333333333,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,28,20,L,401547652,2023 Regular Season,Parker Washington,2023,Regular Season,9,121.0,15.0,2.0,20.0,15.125,1.875,0.25,2.5,11.0,2.3333333333333335,0.0,3.6666666666666665,2.0,0.10526315789473684,0,0
1,1,3,3.0,0,3,0,0,0.0,0,0,1,0,0,0,1,2024-09-08T17:00:00.000+00:00,20,17,L,401671849,2024 Regular Season,Parker Washington,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
