receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
5,10,75,15.0,0,31,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,23,W,401437634,2022 Regular Season,Pat Freiermuth,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,7,22,5.5,1,8,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,14,17,L,401437636,2022 Regular Season,Pat Freiermuth,2022,Regular Season,2,75.0,5.0,0.0,10.0,75.0,5.0,0.0,10.0,75.0,5.0,0.0,10.0,15.0,0.0,0,1
2,4,41,20.5,0,26,0,0,0.0,0,0,0,0,0,0,3,2022-09-23T00:15:00.000+00:00,29,17,L,401437735,2022 Regular Season,Pat Freiermuth,2022,Regular Season,3,97.0,9.0,1.0,17.0,48.5,4.5,0.5,8.5,48.5,4.5,0.5,8.5,5.5,0.0,0,0
7,9,85,12.1,0,24,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,24,L,401437757,2022 Regular Season,Pat Freiermuth,2022,Regular Season,4,138.0,11.0,1.0,21.0,46.0,3.6666666666666665,0.3333333333333333,7.0,46.0,3.6666666666666665,0.3333333333333333,7.0,20.5,0.058823529411764705,0,0
2,2,12,6.0,0,8,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,38,3,L,401437763,2022 Regular Season,Pat Freiermuth,2022,Regular Season,5,223.0,18.0,1.0,30.0,55.75,4.5,0.25,7.5,49.333333333333336,4.333333333333333,0.3333333333333333,6.666666666666667,12.142857142857142,0.047619047619047616,0,0
8,9,75,9.4,0,21,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,L,401437803,2022 Regular Season,Pat Freiermuth,2022,Regular Season,6,235.0,20.0,1.0,32.0,47.0,4.0,0.2,6.4,46.0,3.6666666666666665,0.0,5.0,6.0,0.03333333333333333,0,0
4,7,57,14.3,0,21,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,L,401437812,2022 Regular Season,Pat Freiermuth,2022,Regular Season,7,310.0,28.0,1.0,41.0,51.666666666666664,4.666666666666667,0.16666666666666666,6.833333333333333,57.333333333333336,5.666666666666667,0.0,6.666666666666667,9.375,0.03125,0,0
4,7,36,9.0,0,12,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,20,10,W,401437838,2022 Regular Season,Pat Freiermuth,2022,Regular Season,8,367.0,32.0,1.0,48.0,52.42857142857143,4.571428571428571,0.14285714285714285,6.857142857142857,48.0,4.666666666666667,0.0,6.0,14.25,0.024390243902439025,0,0
8,12,79,9.9,0,27,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,30,37,L,401437856,2022 Regular Season,Pat Freiermuth,2022,Regular Season,9,403.0,36.0,1.0,55.0,50.375,4.5,0.125,6.875,56.0,5.333333333333333,0.0,7.666666666666667,9.0,0.020833333333333332,0,0
3,4,39,13.0,0,17,0,0,0.0,0,0,0,0,0,0,12,2022-11-29T01:15:00.000+00:00,17,24,W,401437872,2022 Regular Season,Pat Freiermuth,2022,Regular Season,10,482.0,44.0,1.0,67.0,53.55555555555556,4.888888888888889,0.1111111111111111,7.444444444444445,57.333333333333336,5.333333333333333,0.0,8.666666666666666,9.875,0.01818181818181818,0,0
3,5,76,25.3,0,57,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,16,19,W,401437874,2022 Regular Season,Pat Freiermuth,2022,Regular Season,11,521.0,47.0,1.0,71.0,52.1,4.7,0.1,7.1,51.333333333333336,5.0,0.0,7.666666666666667,13.0,0.014925373134328358,0,0
3,6,33,11.0,1,14,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,14,16,L,401437894,2022 Regular Season,Pat Freiermuth,2022,Regular Season,12,597.0,50.0,1.0,76.0,54.27272727272727,4.545454545454546,0.09090909090909091,6.909090909090909,64.66666666666667,4.666666666666667,0.0,7.0,25.333333333333332,0.014084507042253521,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,16,24,W,401437907,2022 Regular Season,Pat Freiermuth,2022,Regular Season,13,630.0,53.0,2.0,82.0,52.5,4.416666666666667,0.16666666666666666,6.833333333333333,49.333333333333336,3.0,0.3333333333333333,5.0,11.0,0.013157894736842105,0,0
7,8,66,9.4,0,17,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T01:15:00.000+00:00,13,10,W,401437928,2022 Regular Season,Pat Freiermuth,2022,Regular Season,14,630.0,53.0,2.0,82.0,48.46153846153846,4.076923076923077,0.15384615384615385,6.3076923076923075,36.333333333333336,2.0,0.3333333333333333,3.6666666666666665,0.0,0.024390243902439025,0,0
3,6,36,12.0,0,20,0,0,0.0,0,0,0,0,0,0,17,2023-01-02T01:20:00.000+00:00,13,16,W,401437934,2022 Regular Season,Pat Freiermuth,2022,Regular Season,15,696.0,60.0,2.0,90.0,49.714285714285715,4.285714285714286,0.14285714285714285,6.428571428571429,33.0,3.3333333333333335,0.3333333333333333,4.666666666666667,9.428571428571429,0.024390243902439025,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,28,14,W,401437958,2022 Regular Season,Pat Freiermuth,2022,Regular Season,16,732.0,63.0,2.0,96.0,48.8,4.2,0.13333333333333333,6.4,34.0,3.3333333333333335,0.0,4.666666666666667,12.0,0.022222222222222223,0,0
1,4,3,3.0,1,3,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,7,30,L,401547405,2023 Regular Season,Pat Freiermuth,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,1,0,2,2023-09-19T00:15:00.000+00:00,26,22,W,401547424,2023 Regular Season,Pat Freiermuth,2023,Regular Season,2,3.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,3.0,0.0,0,0
3,4,41,13.7,1,14,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T00:20:00.000+00:00,18,23,W,401547439,2023 Regular Season,Pat Freiermuth,2023,Regular Season,3,5.0,2.0,1.0,5.0,2.5,1.0,0.5,2.5,2.5,1.0,0.5,2.5,2.0,0.25,0,1
3,4,7,2.3,0,9,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,30,6,L,401547446,2023 Regular Season,Pat Freiermuth,2023,Regular Season,4,46.0,5.0,2.0,9.0,15.333333333333334,1.6666666666666667,0.6666666666666666,3.0,15.333333333333334,1.6666666666666667,0.6666666666666666,3.0,13.666666666666666,0.2,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,13,10,L,401547539,2023 Regular Season,Pat Freiermuth,2023,Regular Season,5,53.0,8.0,2.0,13.0,13.25,2.0,0.5,3.25,16.666666666666668,2.3333333333333335,0.3333333333333333,3.0,2.3333333333333335,0.2222222222222222,0,0
9,11,120,13.3,0,29,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,16,W,401547554,2023 Regular Season,Pat Freiermuth,2023,Regular Season,6,60.0,9.0,2.0,14.0,12.0,1.8,0.4,2.8,18.333333333333332,2.3333333333333335,0.3333333333333333,3.0,7.0,0.15384615384615385,0,0
