receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,6,20,L,401547478,2023 Regular Season,Payne Durham,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,13,16,L,401547491,2023 Regular Season,Payne Durham,2023,Regular Season,2,8.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0,8.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-27T00:15:00.000+00:00,24,18,L,401547496,2023 Regular Season,Payne Durham,2023,Regular Season,3,8.0,1.0,0.0,2.0,4.0,0.5,0.0,1.0,4.0,0.5,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,39,37,L,401547515,2023 Regular Season,Payne Durham,2023,Regular Season,4,8.0,1.0,0.0,3.0,2.6666666666666665,0.3333333333333333,0.0,1.0,2.6666666666666665,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,20,6,W,401547528,2023 Regular Season,Payne Durham,2023,Regular Season,5,8.0,1.0,0.0,3.0,2.0,0.25,0.0,0.75,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
2,2,13,6.5,0,8,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:05:00.000+00:00,27,14,L,401547549,2023 Regular Season,Payne Durham,2023,Regular Season,6,8.0,1.0,0.0,3.0,1.6,0.2,0.0,0.6,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,27,20,L,401547556,2023 Regular Season,Payne Durham,2023,Regular Season,7,21.0,3.0,0.0,5.0,3.5,0.5,0.0,0.8333333333333334,4.333333333333333,0.6666666666666666,0.0,0.6666666666666666,6.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T21:05:00.000+00:00,21,18,W,401547569,2023 Regular Season,Payne Durham,2023,Regular Season,8,33.0,4.0,0.0,6.0,4.714285714285714,0.5714285714285714,0.0,0.8571428571428571,8.333333333333334,1.0,0.0,1.0,12.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,25,29,W,401547579,2023 Regular Season,Payne Durham,2023,Regular Season,9,33.0,4.0,0.0,6.0,4.125,0.5,0.0,0.75,8.333333333333334,1.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,20,34,W,401547598,2023 Regular Season,Payne Durham,2023,Regular Season,10,33.0,4.0,0.0,6.0,3.6666666666666665,0.4444444444444444,0.0,0.6666666666666666,4.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
