receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,17,17.0,0,17,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,20,T,401437637,2022 Regular Season,Pharaoh Brown,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,5,24,8.0,0,18,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,16,9,L,401437641,2022 Regular Season,Pharaoh Brown,2022,Regular Season,2,17.0,1.0,0.0,1.0,17.0,1.0,0.0,1.0,17.0,1.0,0.0,1.0,17.0,0.0,0,0
3,4,31,10.3,0,30,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,23,20,L,401437737,2022 Regular Season,Pharaoh Brown,2022,Regular Season,3,41.0,4.0,0.0,6.0,20.5,2.0,0.0,3.0,20.5,2.0,0.0,3.0,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,28,30,L,401437764,2022 Regular Season,Pharaoh Brown,2022,Regular Season,4,72.0,7.0,0.0,10.0,24.0,2.3333333333333335,0.0,3.3333333333333335,24.0,2.3333333333333335,0.0,3.3333333333333335,10.333333333333334,0.0,0,0
2,3,21,10.5,0,11,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,L,401437779,2022 Regular Season,Pharaoh Brown,2022,Regular Season,5,72.0,7.0,0.0,10.0,18.0,1.75,0.0,2.5,18.333333333333332,2.0,0.0,3.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,L,401437792,2022 Regular Season,Pharaoh Brown,2022,Regular Season,6,93.0,9.0,0.0,13.0,18.6,1.8,0.0,2.6,17.333333333333332,1.6666666666666667,0.0,2.3333333333333335,10.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-11-01T00:15:00.000+00:00,32,13,W,401437818,2022 Regular Season,Pharaoh Brown,2022,Regular Season,7,93.0,9.0,0.0,13.0,15.5,1.5,0.0,2.1666666666666665,7.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
2,5,13,6.5,0,8,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,L,401437836,2022 Regular Season,Pharaoh Brown,2022,Regular Season,8,93.0,9.0,0.0,13.0,13.285714285714286,1.2857142857142858,0.0,1.8571428571428572,7.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,31,23,L,401437847,2022 Regular Season,Pharaoh Brown,2022,Regular Season,9,106.0,11.0,0.0,18.0,13.25,1.375,0.0,2.25,4.333333333333333,0.6666666666666666,0.0,1.6666666666666667,6.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,17,W,401437861,2022 Regular Season,Pharaoh Brown,2022,Regular Season,10,106.0,11.0,0.0,19.0,11.777777777777779,1.2222222222222223,0.0,2.111111111111111,4.333333333333333,0.6666666666666666,0.0,2.0,0.0,0.0,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,14,27,W,401437878,2022 Regular Season,Pharaoh Brown,2022,Regular Season,11,106.0,11.0,0.0,19.0,10.6,1.1,0.0,1.9,4.333333333333333,0.6666666666666666,0.0,2.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,23,10,L,401437890,2022 Regular Season,Pharaoh Brown,2022,Regular Season,12,117.0,12.0,0.0,20.0,10.636363636363637,1.0909090909090908,0.0,1.8181818181818181,3.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,11.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-17T21:40:00.000+00:00,13,3,W,401437903,2022 Regular Season,Pharaoh Brown,2022,Regular Season,13,117.0,12.0,0.0,20.0,9.75,1.0,0.0,1.6666666666666667,3.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,10,17,L,401437921,2022 Regular Season,Pharaoh Brown,2022,Regular Season,14,117.0,12.0,0.0,20.0,9.0,0.9230769230769231,0.0,1.5384615384615385,3.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,24,W,401437942,2022 Regular Season,Pharaoh Brown,2022,Regular Season,15,117.0,12.0,0.0,20.0,8.357142857142858,0.8571428571428571,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,28,14,L,401437958,2022 Regular Season,Pharaoh Brown,2022,Regular Season,16,117.0,12.0,0.0,20.0,7.8,0.8,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,25,L,401547402,2023 Regular Season,Pharaoh Brown,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-18T00:20:00.000+00:00,17,24,L,401547423,2023 Regular Season,Pharaoh Brown,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,71,35.5,1,58,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,10,15,W,401547430,2023 Regular Season,Pharaoh Brown,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:25:00.000+00:00,38,3,L,401547453,2023 Regular Season,Pharaoh Brown,2023,Regular Season,4,71.0,2.0,1.0,2.0,23.666666666666668,0.6666666666666666,0.3333333333333333,0.6666666666666666,23.666666666666668,0.6666666666666666,0.3333333333333333,0.6666666666666666,35.5,0.0,0,0
