receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
10,15,119,11.9,0,21,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,13,30,W,401547408,2023 Regular Season,Puka Nacua,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
15,20,147,9.8,0,20,2,4,2.0,4,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,23,30,L,401547422,2023 Regular Season,Puka Nacua,2023,Regular Season,2,119.0,10.0,0.0,15.0,119.0,10.0,0.0,15.0,119.0,10.0,0.0,15.0,11.9,0.0,0,0
5,7,72,14.4,0,37,0,0,0.0,0,0,0,0,0,0,3,2023-09-26T00:15:00.000+00:00,19,16,L,401547441,2023 Regular Season,Puka Nacua,2023,Regular Season,3,266.0,25.0,0.0,35.0,133.0,12.5,0.0,17.5,133.0,12.5,0.0,17.5,9.8,0.0,0,0
9,10,163,18.1,1,32,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,23,29,W,401547449,2023 Regular Season,Puka Nacua,2023,Regular Season,4,338.0,30.0,0.0,42.0,112.66666666666667,10.0,0.0,14.0,112.66666666666667,10.0,0.0,14.0,14.4,0.0,0,1
7,11,71,10.1,1,22,0,0,0.0,0,0,1,0,0,0,5,2023-10-08T20:05:00.000+00:00,14,23,L,401547467,2023 Regular Season,Puka Nacua,2023,Regular Season,5,501.0,39.0,1.0,52.0,125.25,9.75,0.25,13.0,127.33333333333333,9.666666666666666,0.3333333333333333,12.333333333333334,18.11111111111111,0.0,0,1
4,7,26,6.5,0,9,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,26,9,W,401547479,2023 Regular Season,Puka Nacua,2023,Regular Season,6,572.0,46.0,2.0,63.0,114.4,9.2,0.4,12.6,102.0,7.0,0.6666666666666666,9.333333333333334,10.142857142857142,0.019230769230769232,0,0
8,12,154,19.3,0,36,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,17,24,L,401547492,2023 Regular Season,Puka Nacua,2023,Regular Season,7,598.0,50.0,2.0,70.0,99.66666666666667,8.333333333333334,0.3333333333333333,11.666666666666666,86.66666666666667,6.666666666666667,0.6666666666666666,9.333333333333334,6.5,0.031746031746031744,0,0
3,7,43,14.3,0,22,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,43,20,L,401547505,2023 Regular Season,Puka Nacua,2023,Regular Season,8,752.0,58.0,2.0,82.0,107.42857142857143,8.285714285714286,0.2857142857142857,11.714285714285714,83.66666666666667,6.333333333333333,0.3333333333333333,10.0,19.25,0.02857142857142857,0,0
3,7,32,10.7,0,18,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,20,3,L,401547519,2023 Regular Season,Puka Nacua,2023,Regular Season,9,795.0,61.0,2.0,89.0,99.375,7.625,0.25,11.125,74.33333333333333,5.0,0.0,8.666666666666666,14.333333333333334,0.024390243902439025,0,0
5,7,70,14.0,1,32,1,7,7.0,7,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,17,16,W,401547544,2023 Regular Season,Puka Nacua,2023,Regular Season,10,827.0,64.0,2.0,96.0,91.88888888888889,7.111111111111111,0.2222222222222222,10.666666666666666,76.33333333333333,4.666666666666667,0.0,8.666666666666666,10.666666666666666,0.02247191011235955,0,1
4,8,27,6.8,0,14,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:05:00.000+00:00,14,37,W,401547562,2023 Regular Season,Puka Nacua,2023,Regular Season,11,897.0,69.0,3.0,103.0,89.7,6.9,0.3,10.3,48.333333333333336,3.6666666666666665,0.3333333333333333,7.0,14.0,0.020833333333333332,0,0
4,7,105,26.3,1,70,2,34,17.0,31,0,0,0,0,0,13,2023-12-03T21:25:00.000+00:00,36,19,W,401547575,2023 Regular Season,Puka Nacua,2023,Regular Season,12,924.0,73.0,3.0,111.0,84.0,6.636363636363637,0.2727272727272727,10.090909090909092,43.0,4.0,0.3333333333333333,7.333333333333333,6.75,0.02912621359223301,0,1
5,9,84,16.8,0,34,1,6,6.0,6,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,37,31,L,401547585,2023 Regular Season,Puka Nacua,2023,Regular Season,13,1029.0,77.0,4.0,118.0,85.75,6.416666666666667,0.3333333333333333,9.833333333333334,67.33333333333333,4.333333333333333,0.6666666666666666,7.333333333333333,26.25,0.02702702702702703,0,0
5,8,50,10.0,0,18,2,3,1.5,2,0,0,0,0,0,15,2023-12-17T21:05:00.000+00:00,28,20,W,401547597,2023 Regular Season,Puka Nacua,2023,Regular Season,14,1113.0,82.0,4.0,127.0,85.61538461538461,6.3076923076923075,0.3076923076923077,9.76923076923077,72.0,4.333333333333333,0.3333333333333333,8.0,16.8,0.03389830508474576,0,0
9,11,164,18.2,1,41,2,16,8.0,9,0,0,0,0,0,16,2023-12-22T01:15:00.000+00:00,30,22,W,401547609,2023 Regular Season,Puka Nacua,2023,Regular Season,15,1163.0,87.0,4.0,135.0,83.07142857142857,6.214285714285714,0.2857142857142857,9.642857142857142,79.66666666666667,4.666666666666667,0.3333333333333333,8.0,10.0,0.031496062992125984,0,1
5,8,118,23.6,0,80,2,19,9.5,15,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,25,26,W,401547632,2023 Regular Season,Puka Nacua,2023,Regular Season,16,1327.0,96.0,5.0,146.0,88.46666666666667,6.4,0.3333333333333333,9.733333333333333,99.33333333333333,6.333333333333333,0.3333333333333333,9.333333333333334,18.22222222222222,0.02962962962962963,0,0
4,6,41,10.3,1,19,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,20,21,W,401547651,2023 Regular Season,Puka Nacua,2023,Regular Season,17,1445.0,101.0,5.0,154.0,90.3125,6.3125,0.3125,9.625,110.66666666666667,6.333333333333333,0.3333333333333333,9.0,23.6,0.03424657534246575,0,1
4,4,35,8.8,0,16,1,7,7.0,7,0,0,0,0,0,1,2024-09-09T00:20:00.000+00:00,26,20,L,401671792,2024 Regular Season,Puka Nacua,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7,9,106,15.1,0,21,2,5,2.5,7,0,0,0,0,0,8,2024-10-25T00:15:00.000+00:00,30,20,W,401671817,2024 Regular Season,Puka Nacua,2024,Regular Season,2,35.0,4.0,0.0,4.0,35.0,4.0,0.0,4.0,35.0,4.0,0.0,4.0,8.75,0.0,0,0
1,4,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:25:00.000+00:00,20,26,W,401671776,2024 Regular Season,Puka Nacua,2024,Regular Season,3,141.0,11.0,0.0,13.0,70.5,5.5,0.0,6.5,70.5,5.5,0.0,6.5,15.142857142857142,0.0,0,0
9,14,98,10.9,0,21,0,0,0.0,0,0,0,0,0,0,10,2024-11-12T01:15:00.000+00:00,15,23,L,401671693,2024 Regular Season,Puka Nacua,2024,Regular Season,4,152.0,12.0,0.0,17.0,50.666666666666664,4.0,0.0,5.666666666666667,50.666666666666664,4.0,0.0,5.666666666666667,11.0,0.0,0,0
7,9,123,17.6,1,37,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,22,28,W,401671701,2024 Regular Season,Puka Nacua,2024,Regular Season,5,250.0,21.0,0.0,31.0,62.5,5.25,0.0,7.75,71.66666666666667,5.666666666666667,0.0,9.0,10.88888888888889,0.0,0,1
9,13,117,13.0,0,29,0,0,0.0,0,0,0,0,-,-,12,2024-11-25T01:20:00.000+00:00,20,37,L,401671794,2024 Regular Season,Puka Nacua,2024,Regular Season,6,373.0,28.0,1.0,40.0,74.6,5.6,0.2,8.0,77.33333333333333,5.666666666666667,0.3333333333333333,9.0,17.571428571428573,0.0,0,0
5,8,56,11.2,1,19,1,7,7.0,7,0,0,0,-,-,13,2024-12-01T21:05:00.000+00:00,14,21,W,401671753,2024 Regular Season,Puka Nacua,2024,Regular Season,7,490.0,37.0,1.0,53.0,81.66666666666667,6.166666666666667,0.16666666666666666,8.833333333333334,112.66666666666667,8.333333333333334,0.3333333333333333,12.0,13.0,0.025,0,1
