receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,3,9,4.5,0,11,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,34,36,L,401547401,2023 Regular Season,Quentin Johnston,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,24,L,401547414,2023 Regular Season,Quentin Johnston,2023,Regular Season,2,9.0,2.0,0.0,3.0,9.0,2.0,0.0,3.0,9.0,2.0,0.0,3.0,4.5,0.0,0,0
2,3,10,5.0,0,7,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,24,28,W,401547436,2023 Regular Season,Quentin Johnston,2023,Regular Season,3,16.0,3.0,0.0,5.0,8.0,1.5,0.0,2.5,8.0,1.5,0.0,2.5,7.0,0.0,0,0
1,3,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:05:00.000+00:00,24,17,W,401547447,2023 Regular Season,Quentin Johnston,2023,Regular Season,4,26.0,5.0,0.0,8.0,8.666666666666666,1.6666666666666667,0.0,2.6666666666666665,8.666666666666666,1.6666666666666667,0.0,2.6666666666666665,5.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-17T00:15:00.000+00:00,17,20,L,401547482,2023 Regular Season,Quentin Johnston,2023,Regular Season,5,44.0,6.0,0.0,11.0,11.0,1.5,0.0,2.75,11.666666666666666,1.3333333333333333,0.0,2.6666666666666665,18.0,0.0,0,0
1,2,20,20.0,0,20,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:25:00.000+00:00,31,17,L,401547488,2023 Regular Season,Quentin Johnston,2023,Regular Season,6,44.0,6.0,0.0,13.0,8.8,1.2,0.0,2.6,9.333333333333334,1.0,0.0,2.6666666666666665,0.0,0.0,0,0
5,6,50,10.0,0,18,0,0,0.0,0,0,0,0,0,0,8,2023-10-30T00:20:00.000+00:00,30,13,W,401547510,2023 Regular Season,Quentin Johnston,2023,Regular Season,7,64.0,7.0,0.0,15.0,10.666666666666666,1.1666666666666667,0.0,2.5,12.666666666666666,0.6666666666666666,0.0,2.3333333333333335,20.0,0.0,0,0
2,3,14,7.0,0,10,1,2,2.0,2,0,0,0,0,0,9,2023-11-07T01:15:00.000+00:00,6,27,W,401547524,2023 Regular Season,Quentin Johnston,2023,Regular Season,8,114.0,12.0,0.0,21.0,16.285714285714285,1.7142857142857142,0.0,3.0,23.333333333333332,2.0,0.0,3.3333333333333335,10.0,0.0,0,0
4,4,34,8.5,1,17,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,38,41,L,401547530,2023 Regular Season,Quentin Johnston,2023,Regular Season,9,128.0,14.0,0.0,24.0,16.0,1.75,0.0,3.0,28.0,2.6666666666666665,0.0,3.6666666666666665,7.0,0.0,0,1
2,6,21,10.5,0,17,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,23,20,L,401547547,2023 Regular Season,Quentin Johnston,2023,Regular Season,10,162.0,18.0,1.0,28.0,18.0,2.0,0.1111111111111111,3.111111111111111,32.666666666666664,3.6666666666666665,0.3333333333333333,4.333333333333333,8.5,0.0,0,0
