receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,1,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,17,20,W,401547398,2023 Regular Season,Rakim Jarrett,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,17,W,401547420,2023 Regular Season,Rakim Jarrett,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T23:15:00.000+00:00,11,25,L,401547440,2023 Regular Season,Rakim Jarrett,2023,Regular Season,3,7.0,1.0,0.0,1.0,3.5,0.5,0.0,0.5,3.5,0.5,0.0,0.5,7.0,0.0,0,0
1,1,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,9,26,W,401547450,2023 Regular Season,Rakim Jarrett,2023,Regular Season,4,7.0,1.0,0.0,1.0,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,6,20,L,401547478,2023 Regular Season,Rakim Jarrett,2023,Regular Season,5,10.0,2.0,0.0,2.0,2.5,0.5,0.0,0.5,3.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,3.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,13,16,L,401547491,2023 Regular Season,Rakim Jarrett,2023,Regular Season,6,10.0,2.0,0.0,2.0,2.0,0.4,0.0,0.4,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,3,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,8,2023-10-27T00:15:00.000+00:00,24,18,L,401547496,2023 Regular Season,Rakim Jarrett,2023,Regular Season,7,10.0,2.0,0.0,4.0,1.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,39,37,L,401547515,2023 Regular Season,Rakim Jarrett,2023,Regular Season,8,19.0,3.0,0.0,7.0,2.7142857142857144,0.42857142857142855,0.0,1.0,3.0,0.3333333333333333,0.0,1.6666666666666667,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,20,6,W,401547528,2023 Regular Season,Rakim Jarrett,2023,Regular Season,9,19.0,3.0,0.0,7.0,2.375,0.375,0.0,0.875,3.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
1,2,41,41.0,0,41,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:05:00.000+00:00,27,14,L,401547549,2023 Regular Season,Rakim Jarrett,2023,Regular Season,10,19.0,3.0,0.0,7.0,2.111111111111111,0.3333333333333333,0.0,0.7777777777777778,3.0,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
3,3,58,19.3,0,20,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,26,31,L,401671739,2024 Regular Season,Rakim Jarrett,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,9,2024-11-05T01:15:00.000+00:00,30,24,L,401671688,2024 Regular Season,Rakim Jarrett,2024,Regular Season,2,58.0,3.0,0.0,3.0,58.0,3.0,0.0,3.0,58.0,3.0,0.0,3.0,19.333333333333332,0.0,0,0
2,4,10,5.0,0,6,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,20,23,L,401671742,2024 Regular Season,Rakim Jarrett,2024,Regular Season,3,67.0,4.0,0.0,4.0,33.5,2.0,0.0,2.0,33.5,2.0,0.0,2.0,9.0,0.0,0,0
1,1,30,30.0,0,30,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,7,30,W,401671638,2024 Regular Season,Rakim Jarrett,2024,Regular Season,4,77.0,6.0,0.0,8.0,25.666666666666668,2.0,0.0,2.6666666666666665,25.666666666666668,2.0,0.0,2.6666666666666665,5.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T21:05:00.000+00:00,23,26,W,401671752,2024 Regular Season,Rakim Jarrett,2024,Regular Season,5,107.0,7.0,0.0,9.0,26.75,1.75,0.0,2.25,16.333333333333332,1.3333333333333333,0.0,2.0,30.0,0.0,0,0
