receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,5,59,29.5,1,55,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,W,401437632,2022 Regular Season,Rashod Bateman,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
4,7,108,27.0,1,75,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,L,401437633,2022 Regular Season,Rashod Bateman,2022,Regular Season,2,59.0,2.0,1.0,5.0,59.0,2.0,1.0,5.0,59.0,2.0,1.0,5.0,29.5,0.0,0,1
2,4,59,29.5,0,35,0,0,0.0,0,0,1,1,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,W,401437631,2022 Regular Season,Rashod Bateman,2022,Regular Season,3,167.0,6.0,2.0,12.0,83.5,3.0,1.0,6.0,83.5,3.0,1.0,6.0,27.0,0.2,0,0
3,6,17,5.7,0,13,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,L,401437750,2022 Regular Season,Rashod Bateman,2022,Regular Season,4,226.0,8.0,2.0,16.0,75.33333333333333,2.6666666666666665,0.6666666666666666,5.333333333333333,75.33333333333333,2.6666666666666665,0.6666666666666666,5.333333333333333,29.5,0.16666666666666666,0,0
4,5,42,10.5,0,26,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,W,401437792,2022 Regular Season,Rashod Bateman,2022,Regular Season,5,243.0,11.0,2.0,22.0,60.75,2.75,0.5,5.5,61.333333333333336,3.0,0.3333333333333333,5.666666666666667,5.666666666666667,0.125,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,W,401437805,2022 Regular Season,Rashod Bateman,2022,Regular Season,6,285.0,15.0,2.0,27.0,57.0,3.0,0.4,5.4,39.333333333333336,3.0,0.0,5.0,10.5,0.09090909090909091,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-08T01:15:00.000+00:00,13,27,W,401437831,2022 Regular Season,Rashod Bateman,2022,Regular Season,7,285.0,15.0,2.0,28.0,47.5,2.5,0.3333333333333333,4.666666666666667,19.666666666666668,2.3333333333333335,0.0,4.0,0.0,0.07407407407407407,0,0
3,3,35,11.7,0,18,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,25,9,W,401547396,2023 Regular Season,Rashod Bateman,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,3,18,6.0,0,9,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,W,401547412,2023 Regular Season,Rashod Bateman,2023,Regular Season,2,35.0,3.0,0.0,3.0,35.0,3.0,0.0,3.0,35.0,3.0,0.0,3.0,11.666666666666666,0.0,0,0
1,3,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,19,22,L,401547427,2023 Regular Season,Rashod Bateman,2023,Regular Season,3,53.0,6.0,0.0,6.0,26.5,3.0,0.0,3.0,26.5,3.0,0.0,3.0,6.0,0.0,0,0
1,3,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,17,10,L,401547460,2023 Regular Season,Rashod Bateman,2023,Regular Season,4,59.0,7.0,0.0,9.0,19.666666666666668,2.3333333333333335,0.0,3.0,19.666666666666668,2.3333333333333335,0.0,3.0,6.0,0.0,0,0
2,3,15,7.5,0,8,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T13:30:00.000+00:00,16,24,W,401547229,2023 Regular Season,Rashod Bateman,2023,Regular Season,5,67.0,8.0,0.0,12.0,16.75,2.0,0.0,3.0,10.666666666666666,1.6666666666666667,0.0,3.0,8.0,0.0,0,0
2,3,36,18.0,0,20,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,6,W,401547489,2023 Regular Season,Rashod Bateman,2023,Regular Season,6,82.0,10.0,0.0,15.0,16.4,2.0,0.0,3.0,9.666666666666666,1.3333333333333333,0.0,3.0,7.5,0.0,0,0
2,2,34,17.0,0,29,1,18,18.0,18,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,31,W,401547501,2023 Regular Season,Rashod Bateman,2023,Regular Season,7,118.0,12.0,0.0,18.0,19.666666666666668,2.0,0.0,3.0,19.666666666666668,1.6666666666666667,0.0,3.0,18.0,0.0,0,0
3,5,28,9.3,0,15,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,W,401547513,2023 Regular Season,Rashod Bateman,2023,Regular Season,8,152.0,14.0,0.0,20.0,21.714285714285715,2.0,0.0,2.857142857142857,28.333333333333332,2.0,0.0,2.6666666666666665,17.0,0.0,0,0
2,4,25,12.5,0,18,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,31,33,L,401547531,2023 Regular Season,Rashod Bateman,2023,Regular Season,9,180.0,17.0,0.0,25.0,22.5,2.125,0.0,3.125,32.666666666666664,2.3333333333333335,0.0,3.3333333333333335,9.333333333333334,0.0,0,0
1,2,10,10.0,1,10,0,0,0.0,0,0,0,0,0,0,11,2023-11-17T01:15:00.000+00:00,34,20,W,401547538,2023 Regular Season,Rashod Bateman,2023,Regular Season,10,205.0,19.0,0.0,29.0,22.77777777777778,2.111111111111111,0.0,3.2222222222222223,29.0,2.3333333333333335,0.0,3.6666666666666665,12.5,0.0,0,1
2,5,21,10.5,0,12,0,0,0.0,0,0,0,0,0,0,12,2023-11-27T01:20:00.000+00:00,10,20,W,401547564,2023 Regular Season,Rashod Bateman,2023,Regular Season,11,215.0,20.0,1.0,31.0,21.5,2.0,0.1,3.1,21.0,2.0,0.3333333333333333,3.6666666666666665,10.0,0.0,0,0
2,4,24,12.0,0,14,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,37,31,W,401547585,2023 Regular Season,Rashod Bateman,2023,Regular Season,12,236.0,22.0,1.0,36.0,21.454545454545453,2.0,0.09090909090909091,3.272727272727273,18.666666666666668,1.6666666666666667,0.3333333333333333,3.6666666666666665,10.5,0.03225806451612903,0,0
3,6,39,13.0,0,18,0,0,0.0,0,0,0,0,0,0,15,2023-12-18T01:20:00.000+00:00,7,23,W,401547602,2023 Regular Season,Rashod Bateman,2023,Regular Season,13,260.0,24.0,1.0,40.0,21.666666666666668,2.0,0.08333333333333333,3.3333333333333335,18.333333333333332,1.6666666666666667,0.3333333333333333,3.6666666666666665,12.0,0.027777777777777776,0,0
