receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,20,20.0,0,20,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,19,10,L,401437647,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,27,7,W,401437605,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,2,20.0,1.0,0.0,2.0,20.0,1.0,0.0,2.0,20.0,1.0,0.0,2.0,20.0,0.0,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,1,0,0,0,3,2022-09-26T00:20:00.000+00:00,11,10,L,401437746,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,3,36.0,2.0,0.0,4.0,18.0,1.0,0.0,2.0,18.0,1.0,0.0,2.0,16.0,0.0,0,0
1,3,6,6.0,0,6,0,0,0.0,0,0,1,0,0,0,4,2022-10-04T00:15:00.000+00:00,24,9,W,401437761,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,4,47.0,3.0,0.0,5.0,15.666666666666666,1.0,0.0,1.6666666666666667,15.666666666666666,1.0,0.0,1.6666666666666667,11.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:05:00.000+00:00,15,37,W,401437772,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,5,53.0,4.0,0.0,8.0,13.25,1.0,0.0,2.0,11.0,1.0,0.0,2.0,6.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,28,14,L,401437778,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,6,53.0,4.0,0.0,8.0,10.6,0.8,0.0,1.6,5.666666666666667,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,0
4,4,65,16.3,1,22,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,44,L,401437802,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,7,53.0,4.0,0.0,9.0,8.833333333333334,0.6666666666666666,0.0,1.5,2.0,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,1
1,2,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,14,31,W,401437815,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,8,118.0,8.0,1.0,13.0,16.857142857142858,1.1428571428571428,0.14285714285714285,1.8571428571428572,21.666666666666668,1.3333333333333333,0.3333333333333333,1.6666666666666667,16.25,0.0,0,0
1,1,33,33.0,0,33,0,0,0.0,0,0,0,0,0,0,10,2022-11-14T01:20:00.000+00:00,22,16,W,401437842,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,9,129.0,9.0,1.0,15.0,16.125,1.125,0.125,1.875,25.333333333333332,1.6666666666666667,0.3333333333333333,2.3333333333333335,11.0,0.07692307692307693,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-22T01:15:00.000+00:00,10,38,W,401435642,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,10,162.0,10.0,1.0,16.0,18.0,1.1111111111111112,0.1111111111111111,1.7777777777777777,36.333333333333336,2.0,0.3333333333333333,2.3333333333333335,33.0,0.06666666666666667,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,13,0,W,401437870,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,11,162.0,10.0,1.0,17.0,16.2,1.0,0.1,1.7,14.666666666666666,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0625,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,W,401437883,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,12,174.0,11.0,1.0,18.0,15.818181818181818,1.0,0.09090909090909091,1.6363636363636365,15.0,0.6666666666666666,0.0,1.0,12.0,0.058823529411764705,0,0
1,1,11,11.0,0,11,3,7,2.3,3,0,0,0,0,0,14,2022-12-11T21:25:00.000+00:00,35,7,W,401437897,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,13,174.0,11.0,1.0,18.0,14.5,0.9166666666666666,0.08333333333333333,1.5,4.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.05555555555555555,0,0
1,3,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,15,2022-12-16T01:15:00.000+00:00,13,21,W,401437901,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,14,185.0,12.0,1.0,19.0,14.23076923076923,0.9230769230769231,0.07692307692307693,1.4615384615384615,7.666666666666667,0.6666666666666666,0.0,0.6666666666666666,11.0,0.05555555555555555,0,0
0,1,0,0.0,0,0,1,71,71.0,71,1,0,0,0,0,16,2022-12-24T21:05:00.000+00:00,37,20,W,401437926,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,15,201.0,13.0,1.0,22.0,14.357142857142858,0.9285714285714286,0.07142857142857142,1.5714285714285714,9.0,0.6666666666666666,0.0,1.3333333333333333,16.0,0.05263157894736842,0,0
1,2,42,42.0,0,42,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:05:00.000+00:00,34,37,W,401437943,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,16,201.0,13.0,1.0,23.0,13.4,0.8666666666666667,0.06666666666666667,1.5333333333333334,9.0,0.6666666666666666,0.0,1.6666666666666667,0.0,0.045454545454545456,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,38,13,W,401437962,2022 Regular Season,Ray-Ray McCloud III,2022,Regular Season,17,243.0,14.0,1.0,25.0,15.1875,0.875,0.0625,1.5625,19.333333333333332,0.6666666666666666,0.0,2.0,42.0,0.043478260869565216,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,7,30,W,401547405,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,23,30,W,401547422,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-22T00:15:00.000+00:00,30,12,W,401547426,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,22,11.0,0,14,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:25:00.000+00:00,35,16,W,401547454,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,5,2023-10-09T00:20:00.000+00:00,42,10,W,401547354,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,5,22.0,2.0,0.0,2.0,5.5,0.5,0.0,0.5,7.333333333333333,0.6666666666666666,0.0,0.6666666666666666,11.0,0.0,0,0
1,2,4,4.0,0,4,2,23,11.5,15,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,19,17,L,401547476,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,6,23.0,3.0,0.0,3.0,4.6,0.6,0.0,0.6,7.666666666666667,1.0,0.0,1.0,1.0,0.0,0,0
2,3,20,10.0,0,11,0,0,0.0,0,0,0,0,0,0,7,2023-10-24T00:15:00.000+00:00,22,17,L,401547495,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,7,27.0,4.0,0.0,5.0,4.5,0.6666666666666666,0.0,0.8333333333333334,9.0,1.3333333333333333,0.0,1.6666666666666667,4.0,0.0,0,0
2,2,43,21.5,0,41,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,17,31,L,401547503,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,8,47.0,6.0,0.0,8.0,6.714285714285714,0.8571428571428571,0.0,1.1428571428571428,8.333333333333334,1.3333333333333333,0.0,2.0,10.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,3,34,W,401547532,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,9,90.0,8.0,0.0,10.0,11.25,1.0,0.0,1.25,22.333333333333332,1.6666666666666667,0.0,2.3333333333333335,21.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:05:00.000+00:00,27,14,W,401547549,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,10,90.0,8.0,0.0,10.0,10.0,0.8888888888888888,0.0,1.1111111111111112,21.0,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
1,1,23,23.0,0,23,0,0,0.0,0,0,1,0,0,0,12,2023-11-24T01:20:00.000+00:00,13,31,W,401547553,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,11,90.0,8.0,0.0,10.0,9.0,0.8,0.0,1.0,14.333333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
3,4,22,7.3,0,11,1,7,7.0,7,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,20,21,L,401547651,2023 Regular Season,Ray-Ray McCloud III,2023,Regular Season,12,113.0,9.0,0.0,11.0,10.272727272727273,0.8181818181818182,0.0,1.0,7.666666666666667,0.3333333333333333,0.0,0.3333333333333333,23.0,0.0,0,0
4,7,52,13.0,0,20,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,10,18,L,401671744,2024 Regular Season,Ray-Ray McCloud III,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,5,42,14.0,0,18,1,3,3.0,3,0,0,0,0,0,2,2024-09-17T00:15:00.000+00:00,21,22,W,401671691,2024 Regular Season,Ray-Ray McCloud III,2024,Regular Season,2,52.0,4.0,0.0,7.0,52.0,4.0,0.0,7.0,52.0,4.0,0.0,7.0,13.0,0.0,0,0
2,3,17,8.5,0,15,1,20,20.0,20,0,0,0,0,0,3,2024-09-23T00:20:00.000+00:00,17,22,L,401671793,2024 Regular Season,Ray-Ray McCloud III,2024,Regular Season,3,94.0,7.0,0.0,12.0,47.0,3.5,0.0,6.0,47.0,3.5,0.0,6.0,14.0,0.0,0,0
