receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,W,401437630,2022 Regular Season,River Cracraft,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,2,2.0,1,2,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,W,401437633,2022 Regular Season,River Cracraft,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1,1,11,11.0,1,11,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,21,19,W,401437738,2022 Regular Season,River Cracraft,2022,Regular Season,3,2.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,2.0,0.0,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-09-30T00:15:00.000+00:00,27,15,L,401437748,2022 Regular Season,River Cracraft,2022,Regular Season,4,13.0,2.0,2.0,3.0,4.333333333333333,0.6666666666666666,0.6666666666666666,1.0,4.333333333333333,0.6666666666666666,0.6666666666666666,1.0,11.0,0.5,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,L,401437769,2022 Regular Season,River Cracraft,2022,Regular Season,5,13.0,2.0,2.0,4.0,3.25,0.5,0.5,1.0,4.333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,L,401437782,2022 Regular Season,River Cracraft,2022,Regular Season,6,13.0,2.0,2.0,5.0,2.6,0.4,0.4,1.0,3.6666666666666665,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,W,401437803,2022 Regular Season,River Cracraft,2022,Regular Season,7,13.0,2.0,2.0,6.0,2.1666666666666665,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0,0
4,4,55,13.8,0,22,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,W,401437863,2022 Regular Season,River Cracraft,2022,Regular Season,8,13.0,2.0,2.0,6.0,1.8571428571428572,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0,0
2,3,29,14.5,0,18,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,L,401437883,2022 Regular Season,River Cracraft,2022,Regular Season,9,68.0,6.0,2.0,10.0,8.5,0.75,0.25,1.25,18.333333333333332,1.3333333333333333,0.0,1.6666666666666667,13.75,0.3333333333333333,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,23,21,L,401437938,2022 Regular Season,River Cracraft,2022,Regular Season,10,97.0,8.0,2.0,13.0,10.777777777777779,0.8888888888888888,0.2222222222222222,1.4444444444444444,28.0,2.0,0.0,2.3333333333333335,14.5,0.2,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,11,6,W,401437955,2022 Regular Season,River Cracraft,2022,Regular Season,11,97.0,8.0,2.0,13.0,9.7,0.8,0.2,1.3,28.0,2.0,0.0,2.3333333333333335,0.0,0.15384615384615385,0,0
3,5,40,13.3,1,24,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,34,36,W,401547401,2023 Regular Season,River Cracraft,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
