receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,20,21,L,401437640,2022 Regular Season,Robert Woods,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,5,39,9.8,0,17,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T23:15:00.000+00:00,41,7,L,401436831,2022 Regular Season,Robert Woods,2022,Regular Season,2,13.0,1.0,0.0,2.0,13.0,1.0,0.0,2.0,13.0,1.0,0.0,2.0,13.0,0.0,0,0
4,9,85,21.3,0,41,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,24,22,W,401437741,2022 Regular Season,Robert Woods,2022,Regular Season,3,52.0,5.0,0.0,7.0,26.0,2.5,0.0,3.5,26.0,2.5,0.0,3.5,9.75,0.0,0,0
4,4,30,7.5,1,10,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,17,24,W,401437754,2022 Regular Season,Robert Woods,2022,Regular Season,4,137.0,9.0,0.0,16.0,45.666666666666664,3.0,0.0,5.333333333333333,45.666666666666664,3.0,0.0,5.333333333333333,21.25,0.0,0,1
4,8,37,9.3,0,13,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,17,21,W,401437771,2022 Regular Season,Robert Woods,2022,Regular Season,5,167.0,13.0,1.0,20.0,41.75,3.25,0.25,5.0,51.333333333333336,4.0,0.3333333333333333,6.0,7.5,0.0,0,0
3,4,26,8.7,0,13,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,19,10,W,401437797,2022 Regular Season,Robert Woods,2022,Regular Season,6,204.0,17.0,1.0,28.0,40.8,3.4,0.2,5.6,50.666666666666664,4.0,0.3333333333333333,7.0,9.25,0.05,0,0
2,2,26,13.0,0,16,0,0,0.0,0,0,1,1,0,0,8,2022-10-30T20:05:00.000+00:00,10,17,W,401437813,2022 Regular Season,Robert Woods,2022,Regular Season,7,230.0,20.0,1.0,32.0,38.333333333333336,3.3333333333333335,0.16666666666666666,5.333333333333333,31.0,3.6666666666666665,0.3333333333333333,5.333333333333333,8.666666666666666,0.03571428571428571,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,L,401437830,2022 Regular Season,Robert Woods,2022,Regular Season,8,256.0,22.0,1.0,34.0,36.57142857142857,3.142857142857143,0.14285714285714285,4.857142857142857,29.666666666666668,3.0,0.0,4.666666666666667,13.0,0.03125,0,0
2,7,10,5.0,0,6,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,17,10,W,401437839,2022 Regular Season,Robert Woods,2022,Regular Season,9,256.0,22.0,1.0,36.0,32.0,2.75,0.125,4.5,17.333333333333332,1.6666666666666667,0.0,2.6666666666666665,0.0,0.029411764705882353,0,0
6,7,69,11.5,0,32,0,0,0.0,0,0,0,0,0,0,11,2022-11-18T01:15:00.000+00:00,17,27,W,401437844,2022 Regular Season,Robert Woods,2022,Regular Season,10,266.0,24.0,1.0,43.0,29.555555555555557,2.6666666666666665,0.1111111111111111,4.777777777777778,12.0,1.3333333333333333,0.0,3.6666666666666665,5.0,0.027777777777777776,0,0
