receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,4,11,11.0,0,11,0,0,0.0,0,0,1,0,0,0,1,2024-09-08T17:00:00.000+00:00,24,17,W,401671719,2024 Regular Season,Rome Odunze,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,5,33,16.5,0,27,0,0,0.0,0,0,0,0,0,0,2,2024-09-16T00:20:00.000+00:00,19,13,L,401671786,2024 Regular Season,Rome Odunze,2024,Regular Season,2,11.0,1.0,0.0,4.0,11.0,1.0,0.0,4.0,11.0,1.0,0.0,4.0,11.0,0.0,0,0
6,11,112,18.7,1,47,1,2,2.0,2,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,21,16,L,401671865,2024 Regular Season,Rome Odunze,2024,Regular Season,3,44.0,3.0,0.0,9.0,22.0,1.5,0.0,4.5,22.0,1.5,0.0,4.5,16.5,0.0,0,1
1,3,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,18,W,401671871,2024 Regular Season,Rome Odunze,2024,Regular Season,4,156.0,9.0,1.0,20.0,52.0,3.0,0.3333333333333333,6.666666666666667,52.0,3.0,0.3333333333333333,6.666666666666667,18.666666666666668,0.0,0,0
5,6,40,8.0,0,11,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,36,10,W,401671872,2024 Regular Season,Rome Odunze,2024,Regular Season,5,166.0,10.0,1.0,23.0,41.5,2.5,0.25,5.75,51.666666666666664,3.0,0.3333333333333333,6.333333333333333,10.0,0.05,0,0
2,2,40,20.0,0,28,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T13:30:00.000+00:00,35,16,W,401671802,2024 Regular Season,Rome Odunze,2024,Regular Season,6,206.0,15.0,1.0,29.0,41.2,3.0,0.2,5.8,54.0,4.0,0.3333333333333333,6.666666666666667,8.0,0.043478260869565216,0,0
3,6,41,13.7,0,16,2,13,6.5,8,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,18,15,L,401671599,2024 Regular Season,Rome Odunze,2024,Regular Season,7,246.0,17.0,1.0,31.0,41.0,2.8333333333333335,0.16666666666666666,5.166666666666667,30.0,2.6666666666666665,0.0,3.6666666666666665,20.0,0.034482758620689655,0,0
5,7,104,20.8,0,44,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:05:00.000+00:00,29,9,L,401671661,2024 Regular Season,Rome Odunze,2024,Regular Season,8,287.0,20.0,1.0,37.0,41.0,2.857142857142857,0.14285714285714285,5.285714285714286,40.333333333333336,3.3333333333333335,0.0,4.666666666666667,13.666666666666666,0.03225806451612903,0,0
3,6,23,7.7,0,11,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,3,19,L,401671873,2024 Regular Season,Rome Odunze,2024,Regular Season,9,391.0,25.0,1.0,44.0,48.875,3.125,0.125,5.5,61.666666666666664,3.3333333333333335,0.0,5.0,20.8,0.02702702702702703,0,0
6,10,65,10.8,0,21,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,19,20,L,401671869,2024 Regular Season,Rome Odunze,2024,Regular Season,10,414.0,28.0,1.0,50.0,46.0,3.111111111111111,0.1111111111111111,5.555555555555555,56.0,3.6666666666666665,0.0,6.333333333333333,7.666666666666667,0.022727272727272728,0,0
5,10,39,7.8,0,14,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,27,30,L,401671870,2024 Regular Season,Rome Odunze,2024,Regular Season,11,479.0,34.0,1.0,60.0,47.9,3.4,0.1,6.0,64.0,4.666666666666667,0.0,7.666666666666667,10.833333333333334,0.02,0,0
2,6,25,12.5,0,19,0,0,0.0,0,0,0,0,-,-,13,2024-11-28T17:30:00.000+00:00,23,20,L,401671492,2024 Regular Season,Rome Odunze,2024,Regular Season,12,518.0,39.0,1.0,70.0,47.09090909090909,3.5454545454545454,0.09090909090909091,6.363636363636363,42.333333333333336,4.666666666666667,0.0,8.666666666666666,7.8,0.016666666666666666,0,0
