receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,5,37,9.3,0,23,1,11,11.0,11,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,23,7,L,401437649,2022 Regular Season,Romeo Doubs,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,27,13.5,0,20,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T00:20:00.000+00:00,27,10,W,401437606,2022 Regular Season,Romeo Doubs,2022,Regular Season,2,37.0,4.0,0.0,5.0,37.0,4.0,0.0,5.0,37.0,4.0,0.0,5.0,9.25,0.0,0,0
8,8,73,9.1,1,21,0,0,0.0,0,0,1,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,14,W,401437607,2022 Regular Season,Romeo Doubs,2022,Regular Season,3,64.0,6.0,0.0,8.0,32.0,3.0,0.0,4.0,32.0,3.0,0.0,4.0,13.5,0.0,0,1
5,8,47,9.4,1,16,0,0,0.0,0,0,1,1,0,0,4,2022-10-02T20:25:00.000+00:00,27,24,W,401437759,2022 Regular Season,Romeo Doubs,2022,Regular Season,4,137.0,14.0,1.0,16.0,45.666666666666664,4.666666666666667,0.3333333333333333,5.333333333333333,45.666666666666664,4.666666666666667,0.3333333333333333,5.333333333333333,9.125,0.0,0,1
3,5,29,9.7,0,22,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T13:30:00.000+00:00,22,27,L,401435640,2022 Regular Season,Romeo Doubs,2022,Regular Season,5,184.0,19.0,2.0,24.0,46.0,4.75,0.5,6.0,49.0,5.0,0.6666666666666666,6.333333333333333,9.4,0.0625,0,0
4,9,21,5.3,0,8,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,10,27,L,401437780,2022 Regular Season,Romeo Doubs,2022,Regular Season,6,213.0,22.0,2.0,29.0,42.6,4.4,0.4,5.8,49.666666666666664,5.333333333333333,0.6666666666666666,7.0,9.666666666666666,0.08333333333333333,0,0
0,4,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,21,L,401437798,2022 Regular Season,Romeo Doubs,2022,Regular Season,7,234.0,26.0,2.0,38.0,39.0,4.333333333333333,0.3333333333333333,6.333333333333333,32.333333333333336,4.0,0.3333333333333333,7.333333333333333,5.25,0.06896551724137931,0,0
4,7,62,15.5,1,26,0,0,0.0,0,0,0,0,0,0,8,2022-10-31T00:20:00.000+00:00,27,17,L,401437817,2022 Regular Season,Romeo Doubs,2022,Regular Season,8,234.0,26.0,2.0,42.0,33.42857142857143,3.7142857142857144,0.2857142857142857,6.0,16.666666666666668,2.3333333333333335,0.0,6.0,0.0,0.05263157894736842,0,1
1,1,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,15,9,L,401437823,2022 Regular Season,Romeo Doubs,2022,Regular Season,9,296.0,30.0,3.0,49.0,37.0,3.75,0.375,6.125,27.666666666666668,2.6666666666666665,0.3333333333333333,6.666666666666667,15.5,0.047619047619047616,0,0
5,5,55,11.0,0,23,0,0,0.0,0,0,0,0,0,0,15,2022-12-20T01:15:00.000+00:00,24,12,W,401437916,2022 Regular Season,Romeo Doubs,2022,Regular Season,10,314.0,31.0,3.0,50.0,34.888888888888886,3.4444444444444446,0.3333333333333333,5.555555555555555,26.666666666666668,1.6666666666666667,0.3333333333333333,4.0,18.0,0.061224489795918366,0,0
3,6,36,12.0,0,22,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T18:00:00.000+00:00,20,26,W,401437929,2022 Regular Season,Romeo Doubs,2022,Regular Season,11,369.0,36.0,3.0,55.0,36.9,3.6,0.3,5.5,45.0,3.3333333333333335,0.3333333333333333,4.333333333333333,11.0,0.06,0,0
3,4,20,6.7,0,11,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:25:00.000+00:00,41,17,W,401437945,2022 Regular Season,Romeo Doubs,2022,Regular Season,12,405.0,39.0,3.0,61.0,36.81818181818182,3.5454545454545454,0.2727272727272727,5.545454545454546,36.333333333333336,3.0,0.0,4.0,12.0,0.05454545454545454,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-09T01:20:00.000+00:00,16,20,L,401437952,2022 Regular Season,Romeo Doubs,2022,Regular Season,13,425.0,42.0,3.0,65.0,35.416666666666664,3.5,0.25,5.416666666666667,37.0,3.6666666666666665,0.0,5.0,6.666666666666667,0.04918032786885246,0,0
4,5,26,6.5,2,13,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,38,W,401547407,2023 Regular Season,Romeo Doubs,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,3,30,15.0,0,15,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,25,24,L,401547417,2023 Regular Season,Romeo Doubs,2023,Regular Season,2,26.0,4.0,2.0,5.0,26.0,4.0,2.0,5.0,26.0,4.0,2.0,5.0,6.5,0.0,0,0
