receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
5,5,39,7.8,0,14,0,0,0.0,0,0,0,0,0,0,1,2023-09-08T00:20:00.000+00:00,20,21,W,401547353,2023 Regular Season,Sam LaPorta,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,63,12.6,0,23,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,31,37,L,401547418,2023 Regular Season,Sam LaPorta,2023,Regular Season,2,39.0,5.0,0.0,5.0,39.0,5.0,0.0,5.0,39.0,5.0,0.0,5.0,7.8,0.0,0,0
8,11,84,10.5,1,45,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,20,6,W,401547433,2023 Regular Season,Sam LaPorta,2023,Regular Season,3,102.0,10.0,0.0,11.0,51.0,5.0,0.0,5.5,51.0,5.0,0.0,5.5,12.6,0.0,0,1
4,5,56,14.0,0,35,0,0,0.0,0,0,0,0,0,0,4,2023-09-29T00:15:00.000+00:00,20,34,W,401547442,2023 Regular Season,Sam LaPorta,2023,Regular Season,4,186.0,18.0,1.0,22.0,62.0,6.0,0.3333333333333333,7.333333333333333,62.0,6.0,0.3333333333333333,7.333333333333333,10.5,0.0,0,0
3,4,47,15.7,2,31,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,42,24,W,401547464,2023 Regular Season,Sam LaPorta,2023,Regular Season,5,242.0,22.0,1.0,27.0,60.5,5.5,0.25,6.75,67.66666666666667,5.666666666666667,0.3333333333333333,7.333333333333333,14.0,0.045454545454545456,0,1
4,11,36,9.0,0,19,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,6,20,W,401547478,2023 Regular Season,Sam LaPorta,2023,Regular Season,6,289.0,25.0,3.0,31.0,57.8,5.0,0.6,6.2,62.333333333333336,5.0,1.0,6.666666666666667,15.666666666666666,0.037037037037037035,0,0
6,7,52,8.7,0,13,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,6,L,401547489,2023 Regular Season,Sam LaPorta,2023,Regular Season,7,325.0,29.0,3.0,42.0,54.166666666666664,4.833333333333333,0.5,7.0,46.333333333333336,3.6666666666666665,0.6666666666666666,6.666666666666667,9.0,0.0967741935483871,0,0
8,10,57,7.1,1,18,0,0,0.0,0,0,0,0,0,0,8,2023-10-31T00:15:00.000+00:00,26,14,W,401547511,2023 Regular Season,Sam LaPorta,2023,Regular Season,8,377.0,35.0,3.0,49.0,53.857142857142854,5.0,0.42857142857142855,7.0,45.0,4.333333333333333,0.6666666666666666,7.333333333333333,8.666666666666666,0.07142857142857142,0,1
4,5,40,10.0,0,19,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,38,41,W,401547530,2023 Regular Season,Sam LaPorta,2023,Regular Season,9,434.0,43.0,4.0,59.0,54.25,5.375,0.5,7.375,48.333333333333336,6.0,0.3333333333333333,9.333333333333334,7.125,0.061224489795918366,0,0
3,5,18,6.0,0,8,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,31,26,W,401547546,2023 Regular Season,Sam LaPorta,2023,Regular Season,10,474.0,47.0,4.0,64.0,52.666666666666664,5.222222222222222,0.4444444444444444,7.111111111111111,49.666666666666664,6.0,0.3333333333333333,7.333333333333333,10.0,0.06779661016949153,0,0
5,8,47,9.4,1,31,0,0,0.0,0,0,0,0,0,0,12,2023-11-23T17:30:00.000+00:00,22,29,L,401547552,2023 Regular Season,Sam LaPorta,2023,Regular Season,11,492.0,50.0,4.0,69.0,49.2,5.0,0.4,6.9,38.333333333333336,5.0,0.3333333333333333,6.666666666666667,6.0,0.0625,0,1
9,9,140,15.6,1,48,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,33,W,401547572,2023 Regular Season,Sam LaPorta,2023,Regular Season,12,539.0,55.0,5.0,77.0,49.0,5.0,0.45454545454545453,7.0,35.0,4.0,0.3333333333333333,6.0,9.4,0.057971014492753624,0,1
2,6,23,11.5,0,13,1,4,4.0,4,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,28,13,L,401547586,2023 Regular Season,Sam LaPorta,2023,Regular Season,13,679.0,64.0,6.0,86.0,56.583333333333336,5.333333333333333,0.5,7.166666666666667,68.33333333333333,5.666666666666667,0.6666666666666666,7.333333333333333,15.555555555555555,0.06493506493506493,0,0
5,6,56,11.2,3,19,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T01:15:00.000+00:00,42,17,W,401547606,2023 Regular Season,Sam LaPorta,2023,Regular Season,14,702.0,66.0,6.0,92.0,54.0,5.076923076923077,0.46153846153846156,7.076923076923077,70.0,5.333333333333333,0.6666666666666666,7.666666666666667,11.5,0.06976744186046512,0,1
3,3,18,6.0,0,7,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,24,30,W,401547618,2023 Regular Season,Sam LaPorta,2023,Regular Season,15,758.0,71.0,9.0,98.0,54.142857142857146,5.071428571428571,0.6428571428571429,7.0,73.0,5.333333333333333,1.3333333333333333,7.0,11.2,0.06521739130434782,0,0
7,12,84,12.0,0,25,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T01:15:00.000+00:00,20,19,L,401547624,2023 Regular Season,Sam LaPorta,2023,Regular Season,16,776.0,74.0,9.0,101.0,51.733333333333334,4.933333333333334,0.6,6.733333333333333,32.333333333333336,3.3333333333333335,1.0,5.0,6.0,0.09183673469387756,0,0
5,7,29,5.8,1,9,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,30,20,W,401547642,2023 Regular Season,Sam LaPorta,2023,Regular Season,17,860.0,81.0,9.0,113.0,53.75,5.0625,0.5625,7.0625,52.666666666666664,5.0,1.0,7.0,12.0,0.0891089108910891,0,1
4,5,45,11.3,0,18,0,0,0.0,0,0,0,0,0,0,1,2024-09-09T00:20:00.000+00:00,26,20,W,401671792,2024 Regular Season,Sam LaPorta,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,13,6.5,0,7,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,16,20,L,401671721,2024 Regular Season,Sam LaPorta,2024,Regular Season,2,45.0,4.0,0.0,5.0,45.0,4.0,0.0,5.0,45.0,4.0,0.0,5.0,11.25,0.0,0,0
2,2,36,18.0,0,24,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,13,20,W,401671771,2024 Regular Season,Sam LaPorta,2024,Regular Season,3,58.0,6.0,0.0,8.0,29.0,3.0,0.0,4.0,29.0,3.0,0.0,4.0,6.5,0.0,0,0
4,4,53,13.3,0,30,0,0,0.0,0,0,0,0,0,0,4,2024-10-01T00:15:00.000+00:00,42,29,W,401671491,2024 Regular Season,Sam LaPorta,2024,Regular Season,4,94.0,8.0,0.0,10.0,31.333333333333332,2.6666666666666665,0.0,3.3333333333333335,31.333333333333332,2.6666666666666665,0.0,3.3333333333333335,18.0,0.0,0,0
1,1,52,52.0,1,52,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T20:25:00.000+00:00,9,47,W,401671764,2024 Regular Season,Sam LaPorta,2024,Regular Season,5,147.0,12.0,0.0,14.0,36.75,3.0,0.0,3.5,34.0,2.6666666666666665,0.0,3.0,13.25,0.0,0,1
