receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,8,34,11.3,0,23,1,8,8.0,8,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,10,20,W,401437652,2022 Regular Season,Scotty Miller,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,5,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,14,L,401437607,2022 Regular Season,Scotty Miller,2022,Regular Season,2,34.0,3.0,0.0,8.0,34.0,3.0,0.0,8.0,34.0,3.0,0.0,8.0,11.333333333333334,0.0,0,0
4,7,35,8.8,0,12,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,21,15,W,401437770,2022 Regular Season,Scotty Miller,2022,Regular Season,3,38.0,4.0,0.0,13.0,19.0,2.0,0.0,6.5,19.0,2.0,0.0,6.5,4.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,20,18,L,401437785,2022 Regular Season,Scotty Miller,2022,Regular Season,4,73.0,8.0,0.0,20.0,24.333333333333332,2.6666666666666665,0.0,6.666666666666667,24.333333333333332,2.6666666666666665,0.0,6.666666666666667,8.75,0.0,0,0
2,2,6,3.0,0,4,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,21,3,L,401437793,2022 Regular Season,Scotty Miller,2022,Regular Season,5,73.0,8.0,0.0,20.0,18.25,2.0,0.0,5.0,13.0,1.6666666666666667,0.0,4.0,0.0,0.0,0,0
2,2,13,6.5,0,7,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,L,401437805,2022 Regular Season,Scotty Miller,2022,Regular Season,6,79.0,10.0,0.0,22.0,15.8,2.0,0.0,4.4,13.666666666666666,2.0,0.0,3.0,3.0,0.0,0,0
7,8,53,7.6,0,14,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:25:00.000+00:00,16,13,W,401437829,2022 Regular Season,Scotty Miller,2022,Regular Season,7,92.0,12.0,0.0,24.0,15.333333333333334,2.0,0.0,4.0,6.333333333333333,1.3333333333333333,0.0,1.3333333333333333,6.5,0.0,0,0
2,2,25,12.5,0,22,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,W,401435638,2022 Regular Season,Scotty Miller,2022,Regular Season,8,145.0,19.0,0.0,32.0,20.714285714285715,2.7142857142857144,0.0,4.571428571428571,24.0,3.6666666666666665,0.0,4.0,7.571428571428571,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,17,L,401437861,2022 Regular Season,Scotty Miller,2022,Regular Season,9,170.0,21.0,0.0,34.0,21.25,2.625,0.0,4.25,30.333333333333332,3.6666666666666665,0.0,4.0,12.5,0.0,0,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,13,2022-12-06T01:15:00.000+00:00,17,16,W,401437887,2022 Regular Season,Scotty Miller,2022,Regular Season,10,170.0,21.0,0.0,34.0,18.88888888888889,2.3333333333333335,0.0,3.7777777777777777,26.0,3.0,0.0,3.3333333333333335,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:25:00.000+00:00,35,7,L,401437897,2022 Regular Season,Scotty Miller,2022,Regular Season,11,177.0,22.0,0.0,36.0,17.7,2.2,0.0,3.6,10.666666666666666,1.0,0.0,1.3333333333333333,7.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,23,34,L,401437914,2022 Regular Season,Scotty Miller,2022,Regular Season,12,177.0,22.0,0.0,37.0,16.09090909090909,2.0,0.0,3.3636363636363638,2.3333333333333335,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-26T01:20:00.000+00:00,16,19,W,401437930,2022 Regular Season,Scotty Miller,2022,Regular Season,13,177.0,22.0,0.0,37.0,14.75,1.8333333333333333,0.0,3.0833333333333335,2.3333333333333335,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,30,24,W,401437941,2022 Regular Season,Scotty Miller,2022,Regular Season,14,177.0,22.0,0.0,38.0,13.615384615384615,1.6923076923076923,0.0,2.923076923076923,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,30,17,L,401437948,2022 Regular Season,Scotty Miller,2022,Regular Season,15,177.0,22.0,0.0,38.0,12.642857142857142,1.5714285714285714,0.0,2.7142857142857144,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,10,W,401547403,2023 Regular Season,Scotty Miller,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,25,24,W,401547417,2023 Regular Season,Scotty Miller,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,20,6,L,401547433,2023 Regular Season,Scotty Miller,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T13:30:00.000+00:00,23,7,L,401547227,2023 Regular Season,Scotty Miller,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,10,5.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,21,19,W,401547463,2023 Regular Season,Scotty Miller,2023,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,16,24,L,401547470,2023 Regular Season,Scotty Miller,2023,Regular Season,6,10.0,2.0,0.0,2.0,2.0,0.4,0.0,0.4,3.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,5.0,0.0,0,0
1,1,46,46.0,0,46,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,13,16,W,401547491,2023 Regular Season,Scotty Miller,2023,Regular Season,7,14.0,3.0,0.0,4.0,2.3333333333333335,0.5,0.0,0.6666666666666666,4.666666666666667,1.0,0.0,1.3333333333333333,4.0,0.0,0,0
2,2,14,7.0,1,8,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,28,23,L,401547500,2023 Regular Season,Scotty Miller,2023,Regular Season,8,60.0,4.0,0.0,5.0,8.571428571428571,0.5714285714285714,0.0,0.7142857142857143,20.0,1.3333333333333333,0.0,1.6666666666666667,46.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,28,31,L,401547518,2023 Regular Season,Scotty Miller,2023,Regular Season,9,74.0,6.0,1.0,7.0,9.25,0.75,0.125,0.875,21.333333333333332,1.3333333333333333,0.3333333333333333,1.6666666666666667,7.0,0.0,0,0
1,1,2,2.0,1,2,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,25,23,L,401547529,2023 Regular Season,Scotty Miller,2023,Regular Season,10,74.0,6.0,1.0,7.0,8.222222222222221,0.6666666666666666,0.1111111111111111,0.7777777777777778,20.0,1.0,0.3333333333333333,1.0,0.0,0.14285714285714285,0,1
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,24,15,W,401547559,2023 Regular Season,Scotty Miller,2023,Regular Season,11,76.0,7.0,2.0,8.0,7.6,0.7,0.2,0.8,5.333333333333333,1.0,0.6666666666666666,1.0,2.0,0.14285714285714285,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,8,13,W,401547573,2023 Regular Season,Scotty Miller,2023,Regular Season,12,80.0,8.0,2.0,10.0,7.2727272727272725,0.7272727272727273,0.18181818181818182,0.9090909090909091,2.0,0.6666666666666666,0.3333333333333333,1.0,4.0,0.25,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,25,29,L,401547579,2023 Regular Season,Scotty Miller,2023,Regular Season,13,80.0,8.0,2.0,10.0,6.666666666666667,0.6666666666666666,0.16666666666666666,0.8333333333333334,2.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.2,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,9,7,L,401547603,2023 Regular Season,Scotty Miller,2023,Regular Season,14,80.0,8.0,2.0,13.0,6.153846153846154,0.6153846153846154,0.15384615384615385,1.0,1.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,0.0,0.2,0,0
1,1,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,29,10,W,401547616,2023 Regular Season,Scotty Miller,2023,Regular Season,15,80.0,8.0,2.0,13.0,5.714285714285714,0.5714285714285714,0.14285714285714285,0.9285714285714286,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0,0
