receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,4,71,35.5,1,65,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,20,21,W,401437640,2022 Regular Season,Sterling Shepard,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,10,34,5.7,0,12,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,19,16,W,401437645,2022 Regular Season,Sterling Shepard,2022,Regular Season,2,71.0,2.0,1.0,4.0,71.0,2.0,1.0,4.0,71.0,2.0,1.0,4.0,35.5,0.0,0,0
5,10,49,9.8,0,16,0,0,0.0,0,0,0,0,0,0,3,2022-09-27T00:15:00.000+00:00,16,23,L,401437747,2022 Regular Season,Sterling Shepard,2022,Regular Season,3,105.0,8.0,1.0,14.0,52.5,4.0,0.5,7.0,52.5,4.0,0.5,7.0,5.666666666666667,0.25,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-11T00:20:00.000+00:00,0,40,L,401547409,2023 Regular Season,Sterling Shepard,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,28,31,W,401547421,2023 Regular Season,Sterling Shepard,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-22T00:15:00.000+00:00,30,12,L,401547426,2023 Regular Season,Sterling Shepard,2023,Regular Season,3,4.0,1.0,0.0,2.0,2.0,0.5,0.0,1.0,2.0,0.5,0.0,1.0,4.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,4,2023-10-03T00:15:00.000+00:00,3,24,L,401547456,2023 Regular Season,Sterling Shepard,2023,Regular Season,4,4.0,1.0,0.0,2.0,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
1,2,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,31,16,L,401547465,2023 Regular Season,Sterling Shepard,2023,Regular Season,5,10.0,2.0,0.0,3.0,2.5,0.5,0.0,0.75,3.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,6,2023-10-16T00:20:00.000+00:00,14,9,L,401547481,2023 Regular Season,Sterling Shepard,2023,Regular Season,6,23.0,3.0,0.0,5.0,4.6,0.6,0.0,1.0,6.333333333333333,0.6666666666666666,0.0,1.0,13.0,0.0,0,0
1,1,3,3.0,0,3,0,0,0.0,0,0,1,1,0,0,7,2023-10-22T17:00:00.000+00:00,14,7,W,401547486,2023 Regular Season,Sterling Shepard,2023,Regular Season,7,23.0,3.0,0.0,5.0,3.8333333333333335,0.5,0.0,0.8333333333333334,6.333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T21:25:00.000+00:00,30,6,L,401547521,2023 Regular Season,Sterling Shepard,2023,Regular Season,8,26.0,4.0,0.0,6.0,3.7142857142857144,0.5714285714285714,0.0,0.8571428571428571,5.333333333333333,0.6666666666666666,0.0,1.0,3.0,0.0,0,0
1,4,2,2.0,1,2,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:25:00.000+00:00,49,17,L,401547534,2023 Regular Season,Sterling Shepard,2023,Regular Season,9,26.0,4.0,0.0,6.0,3.25,0.5,0.0,0.75,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,1
1,3,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,19,31,W,401547548,2023 Regular Season,Sterling Shepard,2023,Regular Season,10,28.0,5.0,1.0,10.0,3.111111111111111,0.5555555555555556,0.1111111111111111,1.1111111111111112,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.0,0.0,0,0
1,3,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,7,W,401547560,2023 Regular Season,Sterling Shepard,2023,Regular Season,11,33.0,6.0,1.0,13.0,3.3,0.6,0.1,1.3,2.3333333333333335,0.6666666666666666,0.3333333333333333,2.3333333333333335,5.0,0.1,0,0
